town,repo_holders,cp_holders,matched,repo_only_names,cp_only_names
acton,0,6,0,,alissa nicol; david d martin; dean a charter; francesca arsenault; jo-ann m berry; pam nourse
acushnet,0,4,0,,kevin gaspar; pamela labonte; robert j hinckley; ryan rezendes
andover,0,5,0,,alexander j vispoli; ellen townson; kevin coffey; laura m gregory; melissa danisch
ashland,0,5,0,,brandi kinsman; claudia bennett; joseph j magnani; makeda keegan; yolanda greaves
athol,0,5,0,,alex p blake; marc b maxwell; mitchell r grosky; russell l raymond; william b chiasson
auburn,0,5,0,,anne m cavanaugh; daniel s carpenter; sara k rufli; steven chambers; todd m kirrane
avon,0,3,0,,eric s beckerman; jason lyle suzor; shannon m coffey
becket,3,3,1,jeffrey piemont; william elovirta,jeff piemont; william h elovirta
bedford,0,7,0,,bopha malone; dan brosgol; daniel brosgol; david e powell; paul mortenson; shawn hanegan; terrence parker
belchertown,0,5,0,,jennifer d turner; jonathan ritter; lesa lessard pearson; nicole miner; whitney jorns-kuhnlenz
bellingham,0,6,0,,cody spencer; don martinis; jennifer altomonte; john keeler; kim o'neal; michael hennessy
belmont,0,3,0,,carol kennedy berberian; matt taylor; taylor yates
berlin,0,3,0,,carolyn macdonald; lisa j wysocki; margaret stone
boxborough,0,5,0,,kristin hilberg; priya sundaram; robert stemple; samuel anderson; wesley fowlks
boylston,0,3,0,,bill filsinger; david marzo; vin sasso
brewster,0,5,0,,amanda bebrin; caroline mccarley; harvey dahl; laurel labdon; mary chaffee
brookline,0,5,0,,amanda zimmerman; anthony buono; bernard greene; david pearlman; michael rubenstein
buckland,0,3,0,,clint phillips; joan livingston; larry wells
burlington,0,5,0,,james m tigges; joseph e morandi; michael w espejo; nicholas c priest; sarah cawley
canton,0,5,0,,john mccourt; julie beckham; michael loughran; patricia boyden; susan harrington
carlisle,0,5,0,,christine stevens; david thomas; rebekah vieira; scott triola; travis snell
charlton,0,5,0,,barbara zurawski; david singer; karen spiewak; michael kavorkian; stephen koronis
chelmsford,0,5,0,,aaron d cunningham; david r boisvert; jeffrey a hardy; jon h kurland; pat wojtas
chilmark,0,4,0,,janet weidner; jeffrey maida; matthew poole; rebecca lynn haag
colrain,0,3,0,,ben eastman; emily thurber; katie korby
concord,0,5,0,,cameron mckennitt; dean banfield; mary hartman; paul boehm; wendy rovelli
dalton,0,5,0,,antonio pagliarulo; bob bishop; jeannie ingram; john boyle; marc strout
dedham,0,5,0,,dimitria sullivan; erin boles welsh; james a macdonald; michelle persson reilly; stephen acosta
deerfield,0,3,0,,blake gilmore; tim hilchey; trevor mcdaniel
dighton,0,3,0,,glen cabbage; mark pacheco; peter d caron
douglas,0,5,0,,harold r davis; leslie m stevens; michael e fitzpatrick; ross i smith; timothy p bonin
dracut,5,5,4,kristie wohlander,kristie wohlander - clerk
dunstable,3,3,3,,
east-brookfield,3,3,3,,
essex,3,3,2,peter d phippen,peter phippen
fairhaven,5,5,5,,
falmouth,0,6,0,,colin w reed; david t vieira; douglas c brown; elizabeth klein; heather m h goldstone; robert p mascali
florida,3,3,3,,
freetown,3,3,3,,
georgetown,5,6,5,,david surface
gosnold,0,3,0,,g stewart young; sarah berry; win sanford
granville,0,3,0,,david ripley; nicole berndt; scott bergeron
hamilton,0,5,0,,benjamin galuza; lee mccoy; rosemary i kennedy; thomas b myers; william a olson
hampden,3,3,3,,
hanover,4,5,3,steve louko,james hoyes; steven louko
hanson,4,5,2,david george; frank degrazia,ann rein; edwin heal; frank milisi
hardwick,1,3,0,zach spencer,jeffrey s schaaf; william f tinker; zachary e spencer
hatfield,3,4,3,,robert e betsold
hawley,1,3,1,,bob maclean; hussain hamdan
heath,1,3,1,,elissa viarengo; will emmet
hingham,3,3,3,,
holbrook,5,5,5,,
holliston,0,3,0,,benjamin sparrell; damon dimmick; tina hein
hopedale,3,3,3,,
hubbardston,0,4,0,,katie young; kris e pareago; peter j walker; terry tyler
hudson,0,4,0,,diane g bemis; lauren dubreuil; patrick thayer; steven c sharek
hull,5,5,3,brian s mccarthy; susan short green,brian mccarthy; susan green
ipswich,5,5,5,,
lakeville,5,5,3,evagelia (lia) fabian; lorraine carboni,lia fabian; lorraine a carboni
lancaster,3,4,3,,mary e arata
lanesborough,0,5,0,,deborah maynard; jason breault; jeffery m walter; juli baker; michael murphy
lee,1,3,0,gordon duncan bailey,bob jones; gordon d bailey; sean regnier
lenox,5,5,5,,
leverett,0,3,0,,jed proujansky; patricia duffy; tom hankinson
lexington,0,5,0,,douglas m lucente; jill i hai; joseph n pato; mark d sandeen; vineeta kumar
leyden,0,3,0,,erica jensen; jeffrey baker; katherine dimatteo
littleton,0,5,0,,charles decoste; gary wilson; karen morrison; kyle bubp; mark rambacher
ludlow,5,5,3,anthony michael alves; antonio l sanches,anthony alves; tony sanches
lynnfield,3,3,3,,
marblehead,5,5,5,,
marion,3,3,2,"carleton ""toby"" burr",carleton (toby) burr
marshfield,3,3,2,eric kelley,erik s kelley
mattapoisett,5,5,5,,
maynard,5,5,5,,
medfield,3,3,2,osler peterson,osler l peterson
medway,5,5,5,,
merrimac,5,5,5,,
middleborough,5,5,4,thomas s white,thomas white
middlefield,3,3,3,,
millbury,0,5,0,,brian a sora; brian tagg; mary krumsiek; michael r gilchrist; nicholas lazzaro
millville,5,5,5,,
milton,5,5,0,john e driscoll; megan kathleen nolan; meghan elizabeth haggerty; peter c obersheimer; winston anthony daley,john driscoll; megan nolan; meghan haggerty; peter obersheimer; winston daley
monson,3,3,0,john morrell; patricia oney; ronald keith valley,john r morrell; patricia a oney; r keith valley
montague,3,3,1,nathanael card schiffbauer; richard j kuklewicz,nathaniel card schiffbauer; richard kuklewicz
monterey,2,3,2,,kenn basler
nahant,0,3,0,,patrick o’reilly; patty karras; robert tibbo
newbury,0,5,0,,alicia greco; geoffrey walker; leslie matthews; patrick heffernan; william f dimaio
north-andover,5,5,5,,
north-brookfield,3,3,3,,
northbridge,5,6,5,,thomas melia
northfield,5,5,5,,
norton,0,5,0,,alec e rich; denise luciano; kevin o'neil; robert kimball; roger marsan
oak-bluffs,5,5,5,,
oakham,3,3,2,frederick j gehring,frederick gehring
otis,3,3,3,,
oxford,5,5,2,david p cornacchioli; joshua k boyda; russell c rheault,david cornacchioli; joshua boyda; russell rheault
paxton,5,5,4,jeffrey wentzell,jeffrey arthur wentzell
pembroke,5,5,1,daniel trabucco; john brown; steven a ciciotti; tracy a marino,daniel w trabucco; john g brown; steve ciciotti; tracy marino
pepperell,3,3,3,,
phillipston,2,3,2,,gerard fandreyer
plainfield,3,3,2,judith cole,elizabeth lambert
plainville,3,3,3,,
plymouth,5,5,3,kevin canty; richard j quintal,jr quintal richard j; kevin b canty
plympton,3,2,1,daniel m cadogan; nathaniel b sides,nathaniel sides
provincetown,5,5,4,dave abramson,david abramson
raynham,3,3,3,,
reading,5,5,4,salvatore bramante,sal bramante
rehoboth,2,5,1,robert e johnson,david j pereira; frederick e vadnais; george solas; robert johnson
rochester,3,3,3,,
rowley,3,6,1,christine kneeland; cliff pierce,christine a kneeland; clifford m pierce; robert l snow; sheri a david; thomas amoroso
rutland,5,5,4,alex mowatt,alexander mowatt
sandisfield,2,4,1,robert fedell,douglas miner; jeff bye; steven seddon
saugus,5,6,5,,meredith casagrande
seekonk,5,5,4,elizabeth elmasian,elizabeth a elmasian
sharon,4,5,4,,hanna switlekowski
sheffield,0,3,0,,lee buttala; patrick silk; robert c kilmer
sherborn,5,5,4,steven tsai,steven l tsai
shirley,3,3,2,andree lourdes jean-jacques,andree lourdes jean jacques
south-hadley,5,5,5,,
stockbridge,0,3,0,,ernest j cardillo; jamie minacci; jorja marsden
stoneham,0,5,0,,david p pignone; heidi bilbo; raymie parker; ryan foreman; troy m lau
stow,0,5,0,,brian patuto; dan petersen; hector constantzos; ingeborg hegemann; john toole
sudbury,0,5,0,,charles g russo; daniel e carty; janie w dretler; lisa v kouchakdjian; radha r gargeya
swampscott,0,5,0,,danielle leonard; katie phelan; maryellen fletcher; ted dooley; wayne spritz
swansea,0,3,0,,alanna b solitro; michael k beaudette; robert c medeiros
tewksbury,0,5,0,,eric ryder; james f mackey; john lombardo; mark kratman; richard russo
tolland,0,3,0,,edwin deming; patrick barrett; steve dellagiustina
tyngsborough,0,5,0,,adele coughlin; eric c eldridge; jackie geilfuss; konstantinos kalabokis; nate marino
tyringham,0,4,0,,james consolati; matthew puntin; michael curtin; molly curtin-schaefer
wakefield,0,8,0,,ami ruehrwein wall; brian fox; douglas s butler; john crisley; john f carney; jonathan p chines; sherri a dalton; stacey constas
walpole,0,5,0,,allyson hamilton; benjamin barrett; glenn maffei; james o'neil; mark gallivan
wareham,0,5,0,,jared s chadwick; joseph m still; judith whiteside; marcus s gomes; sarah corbitt
warwick,0,3,0,,alan genovese; brian snell; keith ross
wellesley,0,5,0,,beth sullivan woods; colette aufranc; kenneth largess; marjorie freiman; tom ulfelder
wellfleet,0,5,0,,barbara carboni; john a wolf; josh yeston; ryan curley; sheila lyons
wendell,0,2,0,,laurie didonato; paul doud
