town,earliest_repo_batch,repo_org_count,repo_total_holders,civicpatch_row_count,civicpatch_distinct_names
acton,20,5,0,6,6
acushnet,20,13,0,4,4
andover,20,3,0,5,5
ashland,20,8,0,5,5
athol,20,2,0,5,5
auburn,20,1,0,5,5
avon,20,7,0,3,3
becket,20,7,12,3,3
bedford,20,9,0,7,7
belchertown,20,1,0,5,5
bellingham,20,3,0,6,6
belmont,20,5,0,3,3
berlin,20,6,0,3,3
boxborough,20,5,0,5,5
boylston,20,1,0,3,3
brewster,20,9,0,5,5
brookline,20,5,0,5,5
buckland,20,5,0,3,3
burlington,20,5,0,5,5
canton,20,3,0,5,5
carlisle,20,7,0,5,5
charlton,20,13,0,5,5
chelmsford,20,10,0,5,5
chilmark,20,2,0,4,4
colrain,20,1,0,3,3
concord,20,4,0,5,5
dalton,20,4,0,5,5
dedham,20,10,0,5,5
deerfield,20,7,3,3,3
dighton,20,5,0,3,3
douglas,20,1,0,5,5
dracut,20,7,11,5,5
dunstable,20,14,20,3,3
east-brookfield,20,14,20,3,3
essex,20,5,8,3,3
fairhaven,20,8,20,5,5
falmouth,20,2,0,6,6
florida,20,7,13,3,3
freetown,20,15,45,3,3
georgetown,20,7,30,6,6
gosnold,20,1,3,3,3
granville,20,6,15,3,3
hamilton,20,5,8,5,5
hampden,20,4,6,3,3
hanover,20,8,8,5,5
hanson,20,5,10,5,5
hardwick,20,2,1,3,3
hatfield,20,4,6,4,4
hawley,20,6,10,3,3
heath,20,12,21,3,3
hingham,20,10,29,3,3
holbrook,20,6,12,5,5
holliston,20,11,43,3,3
hopedale,20,2,6,3,3
hubbardston,20,1,0,4,4
hudson,20,3,12,4,4
hull,20,3,12,5,5
ipswich,20,6,18,5,5
lakeville,20,11,38,5,5
lancaster,20,6,23,4,4
lanesborough,20,7,1,5,5
lee,20,5,3,3,3
lenox,20,6,25,5,5
leverett,56,9,0,3,3
lexington,56,6,3,5,5
leyden,56,8,0,3,3
littleton,56,13,15,5,5
ludlow,20,11,32,5,5
lynnfield,20,7,24,3,3
marblehead,20,13,52,5,5
marion,20,9,31,3,3
marshfield,20,9,19,3,3
mattapoisett,27,12,40,5,5
maynard,27,6,18,5,5
medfield,27,9,22,3,3
medway,27,10,35,5,5
merrimac,27,13,42,5,5
middleborough,27,9,42,5,5
middlefield,27,10,22,3,3
millbury,27,12,37,5,5
millville,27,11,20,5,5
milton,27,14,48,5,5
monson,27,11,28,3,3
montague,27,11,29,3,3
monterey,27,15,19,3,3
nahant,56,9,5,3,3
newbury,27,6,12,5,5
north-andover,30,5,12,5,5
north-brookfield,30,13,32,3,3
northbridge,30,7,25,6,6
northfield,30,11,43,5,5
norton,30,8,0,5,5
oak-bluffs,30,14,30,5,5
oakham,30,10,9,3,3
otis,31,11,22,3,3
oxford,31,6,19,5,5
paxton,32,14,43,5,5
pembroke,32,11,39,5,5
pepperell,32,11,36,3,3
phillipston,33,11,18,3,3
plainfield,33,9,8,3,3
plainville,33,12,31,3,3
plymouth,34,7,187,5,5
plympton,34,12,36,2,2
provincetown,34,6,22,5,5
raynham,35,14,23,3,3
reading,35,7,215,5,5
rehoboth,35,14,9,5,5
rochester,36,17,13,3,3
rowley,37,15,32,6,6
rutland,37,9,23,5,5
sandisfield,38,9,14,4,4
saugus,38,5,12,6,6
seekonk,39,9,16,5,5
sharon,39,8,10,5,5
sheffield,39,4,0,3,3
sherborn,40,11,47,5,5
shirley,40,13,40,3,3
south-hadley,20,12,32,5,5
stockbridge,42,9,19,3,3
stoneham,43,11,19,5,5
stow,43,7,14,5,5
sudbury,43,10,36,5,5
swampscott,44,10,0,5,5
swansea,44,12,0,3,3
tewksbury,45,8,0,5,5
tolland,45,6,0,3,3
tyngsborough,46,15,0,5,5
tyringham,46,8,0,4,4
wakefield,47,14,0,8,8
walpole,47,9,0,5,5
wareham,48,7,0,5,5
warwick,48,12,0,3,3
wellesley,49,13,45,5,5
wellfleet,49,7,0,5,5
wendell,49,15,0,2,2
west-bridgewater,50,12,9,3,3
west-brookfield,50,11,15,2,2
west-tisbury,51,11,15,3,3
westford,52,7,33,5,5
westwood,53,10,15,3,3
whately,53,12,10,4,4
wilbraham,53,10,32,3,3
winchester,54,10,13,4,4
worthington,55,11,0,3,3
