municipality,office_or_body,status,source_url,note
Acushnet,Town Administrator; Town Accountant; Treasurer; Health Agent; ZBA; Conservation and many others,appointed,https://acushnet.ma.us/1203/Appointed-Officials,Official site maintains a separate appointed-officials directory.
Andover,Town Manager; Town Clerk; Town Accountant; Board of Public Health; Planning Board; Assessors; Library Trustees; ZBA; Finance Committee,appointed,https://ecode360.com/15616144,Town bylaw expressly distinguishes elected from appointed bodies.
Ashburnham,Town Clerk; Treasurer; Tax Collector; Assessors; Trust Funds; Parks/Recreation; Water/Sewer Commissioners; Constables; ZBA and others,appointed,https://ecode360.com/38371428,Charter makes these appointive and limits the elective list in Section 13.
Ashland,Town Manager; Town Counsel; registrars and most other bodies not expressly elected,appointed,https://ecode360.com/34030925,Select Board appoints these unless otherwise provided by charter/law.
Belmont,Planning Board; Board of Assessors (changed to appointed in 2026); Conservation; Recreation; Warrant Committee and others,appointed,https://ecode360.com/27111365,Current code separates elected Article 2 bodies from appointed Article 3/4 bodies; former elected Board of Assessors was repealed 2025 and approved 2026.
Belmont,Water Advisory Board,appointed,https://www.belmont-ma.gov/1911/Water-Advisory-Board,The town states the elected Board of Water Commissioners was eliminated in 2003 and replaced by a three-member Water Advisory Board appointed by the Select Board.
Billerica,Board of Health,appointed,https://billerica.gov/wp-content/uploads/2025/04/Billerica-Town-Officials-7-1-25-thru-6-30-26-v2.pdf,Official town directory states five Board of Health members are appointed by the Town Manager for 3-year terms.
Billerica,Board of Appeals; Finance Committee; Agricultural Commission and numerous other boards,appointed,https://billerica.gov/wp-content/uploads/2025/04/Billerica-Town-Officials-7-1-25-thru-6-30-26-v2.pdf,"Official town directory explicitly identifies these as appointed, preventing false positives from general-law assumptions."
Cambridge,Mayor,internally-elected,https://www.cambridgema.gov/departments/electioncommission/cambridgemunicipalelections,Voters elect nine City Councillors; the City Council then elects one of its nine members to serve as Mayor. Mayor is therefore not a separate voter-elected municipal office.
Cambridge,City Manager; City Clerk; City Auditor,appointed,https://www.cambridgema.gov/departments/electioncommission/cambridgemunicipalelections,"Official municipal-election page states the City Council appoints the City Manager, City Clerk, and City Auditor."
Brookline,Audit Committee,appointed,https://www.brooklinema.gov/665/Audit-Committee,Official town page identifies six appointed Audit Committee members.
Brookfield,Communications Committee,appointed,https://www.brookfieldma.us/boards/communications-committee/,Official town page states five members are appointed by the Select Board.
Brookfield,Capital Improvement Planning Committee,appointed,https://www.brookfieldma.us/boards/capital-improvement-planning-committee/,Official town page identifies the committee as appointed by the Select Board.
