municipality,office_body,status,controlling_source_url,note,retrieved_on
Petersham,Cultural Council,appointed,https://townofpetersham.gov/cultural-council/,Official page expressly states council members are appointed for three-year terms.,2026-08-25
Phillipston,Treasurer,appointed,https://www.phillipston-ma.gov/DocumentCenter/View/966/2025-ATR,Treasurer appears in the appointed-official section; current annual report identifies Melanie Jackson as Treasurer/HR Director.,2026-08-25
Phillipston,Tree Warden,appointed,https://www.phillipston-ma.gov/DocumentCenter/View/966/2025-ATR,Tree Warden appears in the appointed-official section; it is not in the elected-offices list.,2026-08-25
Phillipston,Finance Committee,appointed,https://www.phillipston-ma.gov/DocumentCenter/View/966/2025-ATR,"Finance Committee appears in the appointed section, not the elected-offices list.",2026-08-25
Phillipston,Zoning Board of Appeals,appointed,https://www.phillipston-ma.gov/DocumentCenter/View/966/2025-ATR,Zoning Board of Appeals appears in the appointed section.,2026-08-25
Pittsfield,Mayor's ex-officio School Committee role,appointed,https://www.pittsfieldma.gov/Calendar.aspx?EID=952,The Mayor participates ex officio; the six School Committee seats are separately voter-elected.,2026-08-25
Pittsfield,Other municipal boards and commissions,appointed,https://www.pittsfieldma.gov/402/Boards-Commissions,Current city boards/commissions directory describes appointments by the Mayor (some subject to City Council confirmation) unless otherwise provided.,2026-08-25
Plainfield,Planning Board,appointed,https://www.plainfield-ma.us/media/7966,2025 Select Board minutes explicitly record appointment of a Planning Board member.,2026-08-25
Plainfield,Tax Collector,appointed,https://www.plainfield-ma.us/about-town-government/page/personnel-job-descriptions,Official personnel page identifies Tax Collector as appointed by the Select Board.,2026-08-25
Plainfield,Town Treasurer,appointed,https://www.plainfield-ma.us/about-town-government/page/personnel-job-descriptions,Official personnel page identifies Town Treasurer as appointed by the Select Board.,2026-08-25
Plainville,Town Administrator,appointed,https://www.plainvillema.gov/ArchiveCenter/ViewFile/Item/126,Charter expressly provides for Select Board appointment of the Town Administrator.,2026-08-25
Plainville,Constables,appointed,https://www.plainvillema.gov/ArchiveCenter/ViewFile/Item/126,Charter §3-2 gives the Select Board appointment power for constables.,2026-08-25
Plainville,Tree Warden,appointed,https://www.plainvillema.gov/ArchiveCenter/ViewFile/Item/126,Charter §3-2 gives the Select Board appointment power for the tree warden.,2026-08-25
Plainville,Housing Authority state appointee,appointed,https://www.plainvillema.gov/1403/Housing-Authority,State-appointed authority member excluded from three locally elected seats.,2026-08-25
Plainville,Housing Authority tenant appointee,appointed,https://www.plainvillema.gov/1403/Housing-Authority,Tenant-appointed authority member excluded from three locally elected seats.,2026-08-25
Plainville,Redevelopment Authority state appointee,appointed,https://www.plainvillema.gov/ArchiveCenter/ViewFile/Item/126,State-appointed member excluded from four local elected Redevelopment Authority seats.,2026-08-25
Plainville,King Philip Plainville Elementary representative,appointed,https://www.kingphilip.org/about/school-committee/,Regional roster separately labels this member as the Plainville Elementary Representative; not counted as an independently elected regional seat.,2026-08-25
