municipality,office_id,role,elected,seats,seat_structure,term_years,staggered_terms,partisan,legal_source_url,election_source_url,results_source_url,verification_status,notes,local_title
Petersham,petersham-ma/mahar-regional-school-committee-member,Regional School Committee Member,True,,municipality-allocated,,True,,https://townofpetersham.gov/wp-content/uploads/2026/03/Specimen-Ballot-Apr-6-2026.pdf,https://townofpetersham.gov/elections/,https://townofpetersham.gov/document/previous-elections-information/,elected-status-verified-seat-count-unresolved,"2026 ballot proves a Petersham-elected Mahar seat and a two-year contest, but total Petersham allocation and stable regular term were not normalized safely.",Mahar Regional School Committee Member
Petersham,petersham-ma/moderator,Moderator,True,1,at-large,3,False,,https://townofpetersham.gov/wp-content/uploads/2026/03/Specimen-Ballot-Apr-6-2026.pdf,https://townofpetersham.gov/elections/,https://townofpetersham.gov/document/previous-elections-information/,schema-ready,,Moderator
Petersham,petersham-ma/select-board-member,Select Board Member,True,3,at-large,3,True,,https://townofpetersham.gov/wp-content/uploads/2026/03/Specimen-Ballot-Apr-6-2026.pdf,https://townofpetersham.gov/elections/,https://townofpetersham.gov/document/previous-elections-information/,schema-ready,"Current official Selectboard page has three positions; the third was subject to the August 24, 2026 special election.",Selectboard Member
Petersham,petersham-ma/school-committee-member,School Committee Member,True,,at-large,3,True,,https://townofpetersham.gov/wp-content/uploads/2026/03/Specimen-Ballot-Apr-6-2026.pdf,https://townofpetersham.gov/elections/,https://townofpetersham.gov/document/previous-elections-information/,elected-status-verified-seat-count-unresolved,"2026 ballot proves an elected local school-committee seat, but total committee size was not established from controlling/current sources.",Petersham School Committee Member
Petersham,petersham-ma/treasurer,Treasurer,True,1,at-large,3,False,,https://townofpetersham.gov/wp-content/uploads/2026/03/Specimen-Ballot-Apr-6-2026.pdf,https://townofpetersham.gov/elections/,https://townofpetersham.gov/document/previous-elections-information/,schema-ready,,Treasurer
Petersham,petersham-ma/planning-board-member,Planning Board Member,True,5,at-large,3,True,,https://townofpetersham.gov/wp-content/uploads/2026/03/Specimen-Ballot-Apr-6-2026.pdf,https://townofpetersham.gov/elections/,https://townofpetersham.gov/document/previous-elections-information/,schema-ready,2026 ballot has two regular three-year seats plus one one-year unexpired contest; current official roster has five members.,Planning Board Member
Petersham,petersham-ma/assessor,Assessor,True,3,at-large,3,True,,https://townofpetersham.gov/wp-content/uploads/2026/03/Specimen-Ballot-Apr-6-2026.pdf,https://townofpetersham.gov/elections/,https://townofpetersham.gov/document/previous-elections-information/,schema-ready,,Board of Assessors Member
Petersham,petersham-ma/board-of-health-member,Board of Health Member,True,3,at-large,3,True,,https://townofpetersham.gov/wp-content/uploads/2026/03/Specimen-Ballot-Apr-6-2026.pdf,https://townofpetersham.gov/elections/,https://townofpetersham.gov/document/previous-elections-information/,schema-ready,Current official page separately lists two advisory members; only the three regular elected members are modeled.,Board of Health Member
Petersham,petersham-ma/library-trustee,Library Trustee,True,,at-large,3,True,,https://townofpetersham.gov/wp-content/uploads/2026/03/Specimen-Ballot-Apr-6-2026.pdf,https://townofpetersham.gov/elections/,https://townofpetersham.gov/document/previous-elections-information/,elected-status-verified-seat-count-unresolved,2026 ballot proves an elected trustee seat but total elected trustee count was not established safely.,Trustee of Public Library
Phillipston,phillipston-ma/select-board-member,Select Board Member,True,3,at-large,3,True,,https://www.phillipston-ma.gov/DocumentCenter/View/966/2025-ATR,https://www.phillipston-ma.gov/207/Town-Clerk,https://www.phillipston-ma.gov/m/newsflash,schema-ready,2025 official annual report explicitly separates elected from appointed offices; 2026 seat identities are reconciled conservatively.,Selectman
Phillipston,phillipston-ma/town-clerk,Town Clerk,True,1,at-large,3,False,,https://www.phillipston-ma.gov/DocumentCenter/View/966/2025-ATR,https://www.phillipston-ma.gov/207/Town-Clerk,https://www.phillipston-ma.gov/m/newsflash,schema-ready,2025 official annual report explicitly separates elected from appointed offices; 2026 seat identities are reconciled conservatively.,Town Clerk
Phillipston,phillipston-ma/tax-collector,Tax Collector,True,1,at-large,3,False,,https://www.phillipston-ma.gov/DocumentCenter/View/966/2025-ATR,https://www.phillipston-ma.gov/207/Town-Clerk,https://www.phillipston-ma.gov/m/newsflash,schema-ready,2025 official annual report explicitly separates elected from appointed offices; 2026 seat identities are reconciled conservatively.,Tax Collector
