municipality,office_id,seat,person_name,current_status,source_url,retrieved_on,notes
Plymouth,plymouth-ma/select-board-member,1,Kevin Canty,verified-current,https://www.plymouth-ma.gov/Directory.aspx?DID=54,2026-08-25,
Plymouth,plymouth-ma/select-board-member,2,David Golden Jr.,verified-current,https://www.plymouth-ma.gov/Directory.aspx?DID=54,2026-08-25,
Plymouth,plymouth-ma/select-board-member,3,Deborah Iaquinto,verified-current,https://www.plymouth-ma.gov/Directory.aspx?DID=54,2026-08-25,
Plymouth,plymouth-ma/select-board-member,4,William Keohan,verified-current,https://www.plymouth-ma.gov/Directory.aspx?DID=54,2026-08-25,
Plymouth,plymouth-ma/select-board-member,5,Richard J. Quintal Jr.,verified-current,https://www.plymouth-ma.gov/Directory.aspx?DID=54,2026-08-25,
Plymouth,plymouth-ma/school-committee-member,1,Luis Pizano,verified-current,https://www.plymouth.k12.ma.us/page/school-committee,2026-08-25,
Plymouth,plymouth-ma/school-committee-member,2,Paul Samargedlis,verified-current,https://www.plymouth.k12.ma.us/page/school-committee,2026-08-25,
Plymouth,plymouth-ma/school-committee-member,3,Vedna Lacombe-Heywood,verified-current,https://www.plymouth.k12.ma.us/page/school-committee,2026-08-25,
Plymouth,plymouth-ma/school-committee-member,4,Katherine Jackson,verified-current,https://www.plymouth.k12.ma.us/page/school-committee,2026-08-25,
Plymouth,plymouth-ma/school-committee-member,5,Christina Bryant,verified-current,https://www.plymouth.k12.ma.us/page/school-committee,2026-08-25,
Plymouth,plymouth-ma/school-committee-member,6,Megan Parker,verified-current,https://www.plymouth.k12.ma.us/page/school-committee,2026-08-25,
Plymouth,plymouth-ma/school-committee-member,7,Ashley Shaw,verified-current,https://www.plymouth.k12.ma.us/page/school-committee,2026-08-25,
Plymouth,plymouth-ma/moderator,1,F. Steven Triffletti,verified-current,https://www.plymouth-ma.gov/Directory.aspx?did=38,2026-08-25,
Plymouth,plymouth-ma/planning-board-member,1,Steven Bolotin,verified-current,https://plymouth-ma.gov/AgendaCenter/ViewFile/Minutes/_03252026-3425,2026-08-25,
Plymouth,plymouth-ma/planning-board-member,2,Timothy Grandy,verified-current,https://plymouth-ma.gov/AgendaCenter/ViewFile/Minutes/_03252026-3425,2026-08-25,
Plymouth,plymouth-ma/planning-board-member,3,Carl Donaldson,verified-current,https://plymouth-ma.gov/AgendaCenter/ViewFile/Minutes/_03252026-3425,2026-08-25,
Plymouth,plymouth-ma/planning-board-member,4,Tim Bennett,verified-current,https://plymouth-ma.gov/AgendaCenter/ViewFile/Minutes/_03252026-3425,2026-08-25,
Plymouth,plymouth-ma/planning-board-member,5,Francis Mand,verified-current,https://plymouth-ma.gov/AgendaCenter/ViewFile/Minutes/_03252026-3425,2026-08-25,
Plymouth,plymouth-ma/housing-authority-member,1,Dennis Albert Sampson,verified-current,https://www.plymouth-ma.gov/DocumentCenter/View/5784/May-18-2024---Unofficial-Local-Election-Results-PDF,2026-08-25,
Plymouth,plymouth-ma/housing-authority-member,2,Lisa B. Reilly,verified-current,https://www.plymouth-ma.gov/DocumentCenter/View/8342/May-17-2025---Unofficial-Local-Election-Results-PDF,2026-08-25,
Plymouth,plymouth-ma/housing-authority-member,3,Courtney Curran,verified-current,https://www.plymouth-ma.gov/DocumentCenter/View/10759/May-16-2026---Official-Local-Election-Results-PDF,2026-08-25,
Plymouth,plymouth-ma/redevelopment-authority-member,1,Stephen Michael Palmer,verified-current,https://www.plymouth-ma.gov/DocumentCenter/View/5784/May-18-2024---Unofficial-Local-Election-Results-PDF,2026-08-25,
Plymouth,plymouth-ma/redevelopment-authority-member,2,Anita Rocheteau,verified-current,https://plymouth-ma.gov/AgendaCenter/ViewFile/Agenda/_06252025-2796,2026-08-25,
Plymouth,plymouth-ma/redevelopment-authority-member,3,Paul Curtis,verified-current,https://www.plymouth-ma.gov/DocumentCenter/View/10759/May-16-2026---Official-Local-Election-Results-PDF,2026-08-25,
Plymouth,plymouth-ma/redevelopment-authority-member,4,Barry James Wood,verified-current,https://www.plymouth-ma.gov/DocumentCenter/View/10759/May-16-2026---Official-Local-Election-Results-PDF,2026-08-25,
Plymouth,plymouth-ma/representative-town-meeting-member,Precinct 1 Seat 1,Sarah Lynn Sibley,verified-current,https://onboard.plymouth-ma.gov/board/6667,2026-08-25,
Plymouth,plymouth-ma/representative-town-meeting-member,Precinct 1 Seat 2,Christine K. Pratt,verified-current,https://onboard.plymouth-ma.gov/board/6667,2026-08-25,
Plymouth,plymouth-ma/representative-town-meeting-member,Precinct 1 Seat 3,Kevin F. Leary,verified-current,https://onboard.plymouth-ma.gov/board/6667,2026-08-25,
Plymouth,plymouth-ma/representative-town-meeting-member,Precinct 1 Seat 4,Tammy Berardi,verified-current,https://onboard.plymouth-ma.gov/board/6667,2026-08-25,
Plymouth,plymouth-ma/representative-town-meeting-member,Precinct 1 Seat 5,Meaghan Hutchinson,verified-current,https://onboard.plymouth-ma.gov/board/6667,2026-08-25,Temporary one-year appointment filling an elected Town Meeting seat.
Plymouth,plymouth-ma/representative-town-meeting-member,Precinct 1 Seat 6,Lucile A. Leary,verified-current,https://onboard.plymouth-ma.gov/board/6667,2026-08-25,
Plymouth,plymouth-ma/representative-town-meeting-member,Precinct 1 Seat 7,Richard R. O'Keefe,verified-current,https://onboard.plymouth-ma.gov/board/6667,2026-08-25,
Plymouth,plymouth-ma/representative-town-meeting-member,Precinct 1 Seat 8,Leonard J. Vaz,verified-current,https://onboard.plymouth-ma.gov/board/6667,2026-08-25,
Plymouth,plymouth-ma/representative-town-meeting-member,Precinct 1 Seat 9,Robert Alan Zupperoli,verified-current,https://onboard.plymouth-ma.gov/board/6667,2026-08-25,
Plymouth,plymouth-ma/representative-town-meeting-member,Precinct 2 Seat 1,Matthew Aaron Tavares,verified-current,https://onboard.plymouth-ma.gov/board/6668,2026-08-25,
Plymouth,plymouth-ma/representative-town-meeting-member,Precinct 2 Seat 2,Thomas A. Pinto,verified-current,https://onboard.plymouth-ma.gov/board/6668,2026-08-25,
Plymouth,plymouth-ma/representative-town-meeting-member,Precinct 2 Seat 3,Kathleen Theresa Battles,verified-current,https://onboard.plymouth-ma.gov/board/6668,2026-08-25,
Plymouth,plymouth-ma/representative-town-meeting-member,Precinct 2 Seat 4,Edward Cumbo,verified-current,https://onboard.plymouth-ma.gov/board/6668,2026-08-25,Temporary one-year appointment filling an elected Town Meeting seat.
Plymouth,plymouth-ma/representative-town-meeting-member,Precinct 2 Seat 5,Nancy P. Davis,verified-current,https://onboard.plymouth-ma.gov/board/6668,2026-08-25,
Plymouth,plymouth-ma/representative-town-meeting-member,Precinct 2 Seat 6,Shawn Ireland,verified-current,https://onboard.plymouth-ma.gov/board/6668,2026-08-25,
Plymouth,plymouth-ma/representative-town-meeting-member,Precinct 2 Seat 7,John W. Pinto,verified-current,https://onboard.plymouth-ma.gov/board/6668,2026-08-25,
Plymouth,plymouth-ma/representative-town-meeting-member,Precinct 2 Seat 8,Harrison Quinn,verified-current,https://onboard.plymouth-ma.gov/board/6668,2026-08-25,
Plymouth,plymouth-ma/representative-town-meeting-member,Precinct 2 Seat 9,Richard M. Serkey,verified-current,https://onboard.plymouth-ma.gov/board/6668,2026-08-25,
Plymouth,plymouth-ma/representative-town-meeting-member,Precinct 3 Seat 1,Dale M. Webber,verified-current,https://onboard.plymouth-ma.gov/board/6669,2026-08-25,
Plymouth,plymouth-ma/representative-town-meeting-member,Precinct 3 Seat 2,Gerald E. Sirrico,verified-current,https://onboard.plymouth-ma.gov/board/6669,2026-08-25,
Plymouth,plymouth-ma/representative-town-meeting-member,Precinct 3 Seat 3,Laurence R. Pizer,verified-current,https://onboard.plymouth-ma.gov/board/6669,2026-08-25,
Plymouth,plymouth-ma/representative-town-meeting-member,Precinct 3 Seat 4,Michael F. Babini,verified-current,https://onboard.plymouth-ma.gov/board/6669,2026-08-25,
Plymouth,plymouth-ma/representative-town-meeting-member,Precinct 3 Seat 5,Donna DeFabio Curtin,verified-current,https://onboard.plymouth-ma.gov/board/6669,2026-08-25,
Plymouth,plymouth-ma/representative-town-meeting-member,Precinct 3 Seat 6,Lauren Bechtold,verified-current,https://onboard.plymouth-ma.gov/board/6669,2026-08-25,
Plymouth,plymouth-ma/representative-town-meeting-member,Precinct 3 Seat 7,Margaret A. Keohan,verified-current,https://onboard.plymouth-ma.gov/board/6669,2026-08-25,
