municipality,office_id,role,elected,seats,seat_structure,term_years,staggered_terms,partisan,legal_source_url,election_source_url,results_source_url,verification_status,notes,local_title
Scituate,scituate-ma/select-board-member,Select Board Member,True,5,board,3,True,,https://www.scituatema.gov/sites/g/files/vyhlif11836/f/news/ate_ballot_positions_nom_papers_2025.pdf,https://www.scituatema.gov/m/NewsFlash/Home/Detail/3124,https://www.scituatema.gov/m/NewsFlash/Home/Detail/3124,schema-ready,Current official election/board material establishes office and complement; Housing Authority is normalized to three locally elected seats under current state law.,Select Board Member
Scituate,scituate-ma/moderator,Moderator,True,1,single,1,True,,https://www.scituatema.gov/sites/g/files/vyhlif11836/f/news/ate_ballot_positions_nom_papers_2025.pdf,https://www.scituatema.gov/m/NewsFlash/Home/Detail/3124,https://www.scituatema.gov/m/NewsFlash/Home/Detail/3124,schema-ready,Current official election/board material establishes office and complement; Housing Authority is normalized to three locally elected seats under current state law.,Moderator
Scituate,scituate-ma/town-clerk,Town Clerk,True,1,single,3,True,,https://www.scituatema.gov/sites/g/files/vyhlif11836/f/news/ate_ballot_positions_nom_papers_2025.pdf,https://www.scituatema.gov/m/NewsFlash/Home/Detail/3124,https://www.scituatema.gov/m/NewsFlash/Home/Detail/3124,schema-ready,Current official election/board material establishes office and complement; Housing Authority is normalized to three locally elected seats under current state law.,Town Clerk
Scituate,scituate-ma/school-committee-member,School Committee Member,True,5,board,3,True,,https://www.scituatema.gov/sites/g/files/vyhlif11836/f/pages/10748000_go_ban_june_2025.pdf,https://www.scituatema.gov/m/NewsFlash/Home/Detail/3124,https://www.scituatema.gov/m/NewsFlash/Home/Detail/3124,schema-ready,Current official election/board material establishes office and complement; Housing Authority is normalized to three locally elected seats under current state law.,School Committee Member
Scituate,scituate-ma/board-of-assessors-member,Board of Assessors Member,True,3,board,3,True,,https://www.scituatema.gov/sites/g/files/vyhlif11836/f/pages/10748000_go_ban_june_2025.pdf,https://www.scituatema.gov/m/NewsFlash/Home/Detail/3124,https://www.scituatema.gov/m/NewsFlash/Home/Detail/3124,schema-ready,Current official election/board material establishes office and complement; Housing Authority is normalized to three locally elected seats under current state law.,Board of Assessors Member
Scituate,scituate-ma/planning-board-member,Planning Board Member,True,5,board,3,True,,https://www.scituatema.gov/sites/g/files/vyhlif11836/f/news/ate_ballot_positions_nom_papers_2025.pdf,https://www.scituatema.gov/m/NewsFlash/Home/Detail/3124,https://www.scituatema.gov/m/NewsFlash/Home/Detail/3124,schema-ready,Current official election/board material establishes office and complement; Housing Authority is normalized to three locally elected seats under current state law.,Planning Board Member
Scituate,scituate-ma/planning-board-alternate,Planning Board Alternate,True,1,single,3,True,,https://www.scituatema.gov/sites/g/files/vyhlif11836/f/news/ate_ballot_positions_nom_papers_2025.pdf,https://www.scituatema.gov/m/NewsFlash/Home/Detail/3124,https://www.scituatema.gov/m/NewsFlash/Home/Detail/3124,schema-ready,Current official election/board material establishes office and complement; Housing Authority is normalized to three locally elected seats under current state law.,Planning Board Alternate
Scituate,scituate-ma/library-trustee,Library Trustee,True,6,board,3,True,,https://scituatema.gov/1352/Library-Trustees,https://www.scituatema.gov/m/NewsFlash/Home/Detail/3124,https://www.scituatema.gov/m/NewsFlash/Home/Detail/3124,schema-ready,Current official election/board material establishes office and complement; Housing Authority is normalized to three locally elected seats under current state law.,Library Trustee
Scituate,scituate-ma/housing-authority-member,Housing Authority Member,True,3,board,5,True,,https://malegislature.gov/Laws/GeneralLaws/PartI/TitleXVII/Chapter121B/Section5,https://www.scituatema.gov/m/NewsFlash/Home/Detail/3124,https://www.scituatema.gov/m/NewsFlash/Home/Detail/3124,schema-ready,Current official election/board material establishes office and complement; Housing Authority is normalized to three locally elected seats under current state law.,Housing Authority Member
Seekonk,seekonk-ma/board-of-assessors-member,Board of Assessors Member,True,3,board,3,True,,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,schema-ready,Official 2026 ballot/results establish current election cycle; board-specific sources establish complements where available.,Board of Assessors Member
Seekonk,seekonk-ma/library-trustee,Library Trustee,True,6,board,3,True,,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,schema-ready,Official 2026 ballot/results establish current election cycle; board-specific sources establish complements where available.,Library Trustee
Seekonk,seekonk-ma/planning-board-member,Planning Board Member,True,7,board,5,True,,https://www.seekonk-ma.gov/DocumentCenter/View/3758/Planning-Board-Rules-and-Regulations,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,schema-ready,Official 2026 ballot/results establish current election cycle; board-specific sources establish complements where available.,Planning Board Member
Seekonk,seekonk-ma/school-committee-member,School Committee Member,True,5,board,3,True,,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,schema-ready,Official 2026 ballot/results establish current election cycle; board-specific sources establish complements where available.,School Committee Member
Seekonk,seekonk-ma/select-board-member,Select Board Member,True,5,board,3,True,,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,schema-ready,Official 2026 ballot/results establish current election cycle; board-specific sources establish complements where available.,Select Board Member
Seekonk,seekonk-ma/town-clerk,Town Clerk,True,1,single,3,True,,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,schema-ready,Official 2026 ballot/results establish current election cycle; board-specific sources establish complements where available.,Town Clerk
Seekonk,seekonk-ma/moderator,Moderator,True,1,single,3,True,,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,schema-ready,Official 2026 ballot/results establish current election cycle; board-specific sources establish complements where available.,Moderator
Seekonk,seekonk-ma/water-commissioner,Water Commissioner,True,3,board,3,True,,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,schema-ready,Official 2026 ballot/results establish current election cycle; board-specific sources establish complements where available.,Water Commissioner
Seekonk,seekonk-ma/housing-authority-member,Housing Authority Member,True,3,board,5,True,,https://malegislature.gov/Laws/GeneralLaws/PartI/TitleXVII/Chapter121B/Section5,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,schema-ready,Official 2026 ballot/results establish current election cycle; board-specific sources establish complements where available.,Housing Authority Member
Sharon,sharon-ma/board-of-assessors-member,Board of Assessors Member,True,3,board,3,True,,https://townofsharon.net/DocumentCenter/View/21708/2026-ATM-WARRANT,https://townofsharon.net/DocumentCenter/View/21708/2026-ATM-WARRANT,https://townofsharon.net/DocumentCenter/View/21708/2026-ATM-WARRANT,schema-ready,2026 Annual Town Election warrant enumerates elected offices and terms; recurring seat counts establish multi-member complements.,Board of Assessors Member
Sharon,sharon-ma/library-trustee,Library Trustee,True,6,board,3,True,,https://townofsharon.net/DocumentCenter/View/21708/2026-ATM-WARRANT,https://townofsharon.net/DocumentCenter/View/21708/2026-ATM-WARRANT,https://townofsharon.net/DocumentCenter/View/21708/2026-ATM-WARRANT,schema-ready,2026 Annual Town Election warrant enumerates elected offices and terms; recurring seat counts establish multi-member complements.,Library Trustee
Sharon,sharon-ma/housing-authority-member,Housing Authority Member,True,3,board,5,True,,https://malegislature.gov/Laws/GeneralLaws/PartI/TitleXVII/Chapter121B/Section5,https://townofsharon.net/DocumentCenter/View/21708/2026-ATM-WARRANT,https://townofsharon.net/DocumentCenter/View/21708/2026-ATM-WARRANT,schema-ready,2026 Annual Town Election warrant enumerates elected offices and terms; recurring seat counts establish multi-member complements.,Housing Authority Member
Sharon,sharon-ma/moderator,Moderator,True,1,single,3,True,,https://townofsharon.net/DocumentCenter/View/21708/2026-ATM-WARRANT,https://townofsharon.net/DocumentCenter/View/21708/2026-ATM-WARRANT,https://townofsharon.net/DocumentCenter/View/21708/2026-ATM-WARRANT,schema-ready,2026 Annual Town Election warrant enumerates elected offices and terms; recurring seat counts establish multi-member complements.,Moderator
Sharon,sharon-ma/planning-board-member,Planning Board Member,True,5,board,3,True,,https://townofsharon.net/DocumentCenter/View/21708/2026-ATM-WARRANT,https://townofsharon.net/DocumentCenter/View/21708/2026-ATM-WARRANT,https://townofsharon.net/DocumentCenter/View/21708/2026-ATM-WARRANT,schema-ready,2026 Annual Town Election warrant enumerates elected offices and terms; recurring seat counts establish multi-member complements.,Planning Board Member
Sharon,sharon-ma/school-committee-member,School Committee Member,True,6,board,3,True,,https://townofsharon.net/DocumentCenter/View/21708/2026-ATM-WARRANT,https://townofsharon.net/DocumentCenter/View/21708/2026-ATM-WARRANT,https://townofsharon.net/DocumentCenter/View/21708/2026-ATM-WARRANT,schema-ready,2026 Annual Town Election warrant enumerates elected offices and terms; recurring seat counts establish multi-member complements.,School Committee Member
Sharon,sharon-ma/select-board-member,Select Board Member,True,5,board,3,True,,https://townofsharon.net/DocumentCenter/View/21708/2026-ATM-WARRANT,https://townofsharon.net/DocumentCenter/View/21708/2026-ATM-WARRANT,https://townofsharon.net/DocumentCenter/View/21708/2026-ATM-WARRANT,schema-ready,2026 Annual Town Election warrant enumerates elected offices and terms; recurring seat counts establish multi-member complements.,Select Board Member
Sharon,sharon-ma/town-clerk,Town Clerk,True,1,single,3,True,,https://townofsharon.net/DocumentCenter/View/21708/2026-ATM-WARRANT,https://townofsharon.net/DocumentCenter/View/21708/2026-ATM-WARRANT,https://townofsharon.net/DocumentCenter/View/21708/2026-ATM-WARRANT,schema-ready,2026 Annual Town Election warrant enumerates elected offices and terms; recurring seat counts establish multi-member complements.,Town Clerk
Sheffield,sheffield-ma/select-board-member,Select Board Member,True,3,board,3,True,,https://www.sheffieldma.gov/sites/g/files/vyhlif3806/f/uploads/2022_annual_town_report_web.pdf,https://www.sheffieldma.gov/town-clerk/pages/annual-town-election,https://www.sheffieldma.gov/town-clerk/pages/annual-town-election,schema-ready,Official annual reports establish the elected slate/complements; 2026 election information confirms recurring positions. Current post-election holder identities were not safely resolved.,Select Board Member
Sheffield,sheffield-ma/moderator,Moderator,True,1,single,1,True,,https://www.sheffieldma.gov/sites/g/files/vyhlif3806/f/uploads/2022_annual_town_report_web.pdf,https://www.sheffieldma.gov/town-clerk/pages/annual-town-election,https://www.sheffieldma.gov/town-clerk/pages/annual-town-election,schema-ready,Official annual reports establish the elected slate/complements; 2026 election information confirms recurring positions. Current post-election holder identities were not safely resolved.,Moderator
Sheffield,sheffield-ma/library-trustee,Library Trustee,True,3,board,3,True,,https://www.sheffieldma.gov/sites/g/files/vyhlif3806/f/uploads/2022_annual_town_report_web.pdf,https://www.sheffieldma.gov/town-clerk/pages/annual-town-election,https://www.sheffieldma.gov/town-clerk/pages/annual-town-election,schema-ready,Official annual reports establish the elected slate/complements; 2026 election information confirms recurring positions. Current post-election holder identities were not safely resolved.,Library Trustee
Sheffield,sheffield-ma/planning-board-member,Planning Board Member,True,5,board,3,True,,https://www.sheffieldma.gov/sites/g/files/vyhlif3806/f/uploads/2022_annual_town_report_web.pdf,https://www.sheffieldma.gov/town-clerk/pages/annual-town-election,https://www.sheffieldma.gov/town-clerk/pages/annual-town-election,schema-ready,Official annual reports establish the elected slate/complements; 2026 election information confirms recurring positions. Current post-election holder identities were not safely resolved.,Planning Board Member
Shelburne,shelburne-ma/select-board-member,Select Board Member,True,3,board,3,True,,https://townofshelburnema.gov/files/2022_Annual_Town_Election_Results.pdf,https://townofshelburnema.gov/files/2022_Annual_Town_Election_Results.pdf,https://townofshelburnema.gov/files/2022_Annual_Town_Election_Results.pdf,schema-ready,Official town election results establish the office and term pattern; current municipal activity corroborates continuing board structure. 2026 holder identities remain unresolved unless directly supported.,Select Board Member
Shelburne,shelburne-ma/board-of-assessors-member,Board of Assessors Member,True,3,board,3,True,,https://townofshelburnema.gov/files/2022_Annual_Town_Election_Results.pdf,https://townofshelburnema.gov/files/2022_Annual_Town_Election_Results.pdf,https://townofshelburnema.gov/files/2022_Annual_Town_Election_Results.pdf,schema-ready,Official town election results establish the office and term pattern; current municipal activity corroborates continuing board structure. 2026 holder identities remain unresolved unless directly supported.,Board of Assessors Member
Shelburne,shelburne-ma/town-clerk,Town Clerk,True,1,single,1,True,,https://townofshelburnema.gov/files/2022_Annual_Town_Election_Results.pdf,https://townofshelburnema.gov/files/2022_Annual_Town_Election_Results.pdf,https://townofshelburnema.gov/files/2022_Annual_Town_Election_Results.pdf,schema-ready,Official town election results establish the office and term pattern; current municipal activity corroborates continuing board structure. 2026 holder identities remain unresolved unless directly supported.,Town Clerk
Shelburne,shelburne-ma/moderator,Moderator,True,1,single,1,True,,https://townofshelburnema.gov/files/2022_Annual_Town_Election_Results.pdf,https://townofshelburnema.gov/files/2022_Annual_Town_Election_Results.pdf,https://townofshelburnema.gov/files/2022_Annual_Town_Election_Results.pdf,schema-ready,Official town election results establish the office and term pattern; current municipal activity corroborates continuing board structure. 2026 holder identities remain unresolved unless directly supported.,Moderator
Shelburne,shelburne-ma/free-public-library-trustee,Free Public Library Trustee,True,6,board,3,True,,https://townofshelburnema.gov/files/2022_Annual_Town_Election_Results.pdf,https://townofshelburnema.gov/files/2022_Annual_Town_Election_Results.pdf,https://townofshelburnema.gov/files/2022_Annual_Town_Election_Results.pdf,schema-ready,Official town election results establish the office and term pattern; current municipal activity corroborates continuing board structure. 2026 holder identities remain unresolved unless directly supported.,Free Public Library Trustee
Shelburne,shelburne-ma/planning-board-member,Planning Board Member,True,5,board,5,True,,https://townofshelburnema.gov/files/2022_Annual_Town_Election_Results.pdf,https://townofshelburnema.gov/files/2022_Annual_Town_Election_Results.pdf,https://townofshelburnema.gov/files/2022_Annual_Town_Election_Results.pdf,schema-ready,Official town election results establish the office and term pattern; current municipal activity corroborates continuing board structure. 2026 holder identities remain unresolved unless directly supported.,Planning Board Member
