municipality,office_id,seat,person_name,current_status,source_url,retrieved_on,notes
Scituate,scituate-ma/select-board-member,1,Susan J. Harrison,verified-current,https://www.scituatema.gov/1507/Select-Board,2026-08-25,Current official town page / 2026 municipal update supports this officeholder.
Scituate,scituate-ma/select-board-member,2,James M. Gilmore,verified-current,https://www.scituatema.gov/1507/Select-Board,2026-08-25,Current official town page / 2026 municipal update supports this officeholder.
Scituate,scituate-ma/select-board-member,3,Freya Schlegel,verified-current,https://www.scituatema.gov/1507/Select-Board,2026-08-25,Current official town page / 2026 municipal update supports this officeholder.
Scituate,scituate-ma/select-board-member,4,Andrew W. Goodrich,verified-current,https://www.scituatema.gov/1507/Select-Board,2026-08-25,Current official town page / 2026 municipal update supports this officeholder.
Scituate,scituate-ma/select-board-member,5,Nico Afanasenko,verified-current,https://www.scituatema.gov/1507/Select-Board,2026-08-25,Current official town page / 2026 municipal update supports this officeholder.
Scituate,scituate-ma/moderator,1,,unresolved,https://www.scituatema.gov/m/NewsFlash/Home/Detail/3124,2026-08-25,Current post-election holder identity was not safely resolved from authoritative material; marker is intentional and is not presumed vacant.
Scituate,scituate-ma/town-clerk,1,Kathleen A. Gardner,verified-current,https://www.scituatema.gov/1219/Town-Clerk,2026-08-25,Current official town page / 2026 municipal update supports this officeholder.
Scituate,scituate-ma/school-committee-member,1,Nicole Brandolini,verified-current,https://www.scituatema.gov/2330/2026-Select-BoardTASchool-Weekly-Updates,2026-08-25,Current official town page / 2026 municipal update supports this officeholder.
Scituate,scituate-ma/school-committee-member,2,Maria Fenwick,verified-current,https://www.scituatema.gov/2330/2026-Select-BoardTASchool-Weekly-Updates,2026-08-25,Current official town page / 2026 municipal update supports this officeholder.
Scituate,scituate-ma/school-committee-member,3,Janice Lindblom,verified-current,https://www.scituatema.gov/2330/2026-Select-BoardTASchool-Weekly-Updates,2026-08-25,Current official town page / 2026 municipal update supports this officeholder.
Scituate,scituate-ma/school-committee-member,4,Carey Borkoski,verified-current,https://www.scituatema.gov/2330/2026-Select-BoardTASchool-Weekly-Updates,2026-08-25,Current official town page / 2026 municipal update supports this officeholder.
Scituate,scituate-ma/school-committee-member,5,,unresolved,https://www.scituatema.gov/m/NewsFlash/Home/Detail/3124,2026-08-25,Current post-election holder identity was not safely resolved from authoritative material; marker is intentional and is not presumed vacant.
Scituate,scituate-ma/board-of-assessors-member,1,,unresolved,https://www.scituatema.gov/m/NewsFlash/Home/Detail/3124,2026-08-25,Current post-election holder identity was not safely resolved from authoritative material; marker is intentional and is not presumed vacant.
Scituate,scituate-ma/board-of-assessors-member,2,,unresolved,https://www.scituatema.gov/m/NewsFlash/Home/Detail/3124,2026-08-25,Current post-election holder identity was not safely resolved from authoritative material; marker is intentional and is not presumed vacant.
Scituate,scituate-ma/board-of-assessors-member,3,,unresolved,https://www.scituatema.gov/m/NewsFlash/Home/Detail/3124,2026-08-25,Current post-election holder identity was not safely resolved from authoritative material; marker is intentional and is not presumed vacant.
Scituate,scituate-ma/planning-board-member,1,Stephen Pritchard,verified-current,https://www.scituatema.gov/1516/Planning-Board,2026-08-25,Current official town page / 2026 municipal update supports this officeholder.
Scituate,scituate-ma/planning-board-member,2,Patricia Lambert,verified-current,https://www.scituatema.gov/1516/Planning-Board,2026-08-25,Current official town page / 2026 municipal update supports this officeholder.
Scituate,scituate-ma/planning-board-member,3,Rebecca Lewis,verified-current,https://www.scituatema.gov/1516/Planning-Board,2026-08-25,Current official town page / 2026 municipal update supports this officeholder.
Scituate,scituate-ma/planning-board-member,4,Ann Burbine,verified-current,https://www.scituatema.gov/1516/Planning-Board,2026-08-25,Current official town page / 2026 municipal update supports this officeholder.
Scituate,scituate-ma/planning-board-member,5,Maura Burke,verified-current,https://www.scituatema.gov/1516/Planning-Board,2026-08-25,Current official town page / 2026 municipal update supports this officeholder.
Scituate,scituate-ma/planning-board-alternate,1,,unresolved,https://www.scituatema.gov/m/NewsFlash/Home/Detail/3124,2026-08-25,Current post-election holder identity was not safely resolved from authoritative material; marker is intentional and is not presumed vacant.
Scituate,scituate-ma/library-trustee,1,Kevin Carleton,verified-current,https://scituatema.gov/1352/Library-Trustees,2026-08-25,Current official town page / 2026 municipal update supports this officeholder.
Scituate,scituate-ma/library-trustee,2,Elizabeth Holthaus,verified-current,https://scituatema.gov/1352/Library-Trustees,2026-08-25,Current official town page / 2026 municipal update supports this officeholder.
Scituate,scituate-ma/library-trustee,3,Sheila Kukstis,verified-current,https://scituatema.gov/1352/Library-Trustees,2026-08-25,Current official town page / 2026 municipal update supports this officeholder.
Scituate,scituate-ma/library-trustee,4,Carol Sullivan-Hanley,verified-current,https://scituatema.gov/1352/Library-Trustees,2026-08-25,Current official town page / 2026 municipal update supports this officeholder.
Scituate,scituate-ma/library-trustee,5,,unresolved,https://www.scituatema.gov/m/NewsFlash/Home/Detail/3124,2026-08-25,Current post-election holder identity was not safely resolved from authoritative material; marker is intentional and is not presumed vacant.
Scituate,scituate-ma/library-trustee,6,,unresolved,https://www.scituatema.gov/m/NewsFlash/Home/Detail/3124,2026-08-25,Current post-election holder identity was not safely resolved from authoritative material; marker is intentional and is not presumed vacant.
Scituate,scituate-ma/housing-authority-member,1,,unresolved,https://www.scituatema.gov/m/NewsFlash/Home/Detail/3124,2026-08-25,Current post-election holder identity was not safely resolved from authoritative material; marker is intentional and is not presumed vacant.
Scituate,scituate-ma/housing-authority-member,2,,unresolved,https://www.scituatema.gov/m/NewsFlash/Home/Detail/3124,2026-08-25,Current post-election holder identity was not safely resolved from authoritative material; marker is intentional and is not presumed vacant.
Scituate,scituate-ma/housing-authority-member,3,,unresolved,https://www.scituatema.gov/m/NewsFlash/Home/Detail/3124,2026-08-25,Current post-election holder identity was not safely resolved from authoritative material; marker is intentional and is not presumed vacant.
Seekonk,seekonk-ma/board-of-assessors-member,1,Nelson Almeida,verified-current,https://www.seekonk-ma.gov/125/Board-of-Assessors,2026-08-25,Current official roster or certified 2026 result supports this officeholder.
Seekonk,seekonk-ma/board-of-assessors-member,2,Joyce Solomon,verified-current,https://www.seekonk-ma.gov/125/Board-of-Assessors,2026-08-25,Current official roster or certified 2026 result supports this officeholder.
Seekonk,seekonk-ma/board-of-assessors-member,3,Janet Parker,verified-current,https://www.seekonk-ma.gov/125/Board-of-Assessors,2026-08-25,Current official roster or certified 2026 result supports this officeholder.
Seekonk,seekonk-ma/library-trustee,1,Alyssa Richard,verified-current,https://www.seekonk-ma.gov/194/Library-Board-of-Trustees,2026-08-25,Current official roster or certified 2026 result supports this officeholder.
Seekonk,seekonk-ma/library-trustee,2,Catherine Capello,verified-current,https://www.seekonk-ma.gov/194/Library-Board-of-Trustees,2026-08-25,Current official roster or certified 2026 result supports this officeholder.
Seekonk,seekonk-ma/library-trustee,3,Ann Caldwell,verified-current,https://www.seekonk-ma.gov/194/Library-Board-of-Trustees,2026-08-25,Current official roster or certified 2026 result supports this officeholder.
Seekonk,seekonk-ma/library-trustee,4,Cynthia Corbett,verified-current,https://www.seekonk-ma.gov/194/Library-Board-of-Trustees,2026-08-25,Current official roster or certified 2026 result supports this officeholder.
Seekonk,seekonk-ma/library-trustee,5,Sharon Connors,verified-current,https://www.seekonk-ma.gov/194/Library-Board-of-Trustees,2026-08-25,Current official roster or certified 2026 result supports this officeholder.
Seekonk,seekonk-ma/library-trustee,6,Fred Slemon,verified-current,https://www.seekonk-ma.gov/194/Library-Board-of-Trustees,2026-08-25,Current official roster or certified 2026 result supports this officeholder.
Seekonk,seekonk-ma/planning-board-member,1,Sandra F. Escaler,verified-current,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,2026-08-25,Current official roster or certified 2026 result supports this officeholder.
Seekonk,seekonk-ma/planning-board-member,2,,unresolved,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,2026-08-25,Current post-election holder identity was not safely resolved from authoritative material; marker is intentional and is not presumed vacant.
Seekonk,seekonk-ma/planning-board-member,3,,unresolved,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,2026-08-25,Current post-election holder identity was not safely resolved from authoritative material; marker is intentional and is not presumed vacant.
Seekonk,seekonk-ma/planning-board-member,4,,unresolved,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,2026-08-25,Current post-election holder identity was not safely resolved from authoritative material; marker is intentional and is not presumed vacant.
Seekonk,seekonk-ma/planning-board-member,5,,unresolved,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,2026-08-25,Current post-election holder identity was not safely resolved from authoritative material; marker is intentional and is not presumed vacant.
Seekonk,seekonk-ma/planning-board-member,6,,unresolved,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,2026-08-25,Current post-election holder identity was not safely resolved from authoritative material; marker is intentional and is not presumed vacant.
Seekonk,seekonk-ma/planning-board-member,7,,unresolved,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,2026-08-25,Current post-election holder identity was not safely resolved from authoritative material; marker is intentional and is not presumed vacant.
Seekonk,seekonk-ma/school-committee-member,1,Andrew J. Tessier,verified-current,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,2026-08-25,Current official roster or certified 2026 result supports this officeholder.
Seekonk,seekonk-ma/school-committee-member,2,,unresolved,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,2026-08-25,Current post-election holder identity was not safely resolved from authoritative material; marker is intentional and is not presumed vacant.
Seekonk,seekonk-ma/school-committee-member,3,,unresolved,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,2026-08-25,Current post-election holder identity was not safely resolved from authoritative material; marker is intentional and is not presumed vacant.
Seekonk,seekonk-ma/school-committee-member,4,,unresolved,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,2026-08-25,Current post-election holder identity was not safely resolved from authoritative material; marker is intentional and is not presumed vacant.
Seekonk,seekonk-ma/school-committee-member,5,,unresolved,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,2026-08-25,Current post-election holder identity was not safely resolved from authoritative material; marker is intentional and is not presumed vacant.
Seekonk,seekonk-ma/select-board-member,1,Gary Sagar,verified-current,https://www.seekonk-ma.gov/390/Select-Board,2026-08-25,Current official roster or certified 2026 result supports this officeholder.
Seekonk,seekonk-ma/select-board-member,2,Michael P. Healy,verified-current,https://www.seekonk-ma.gov/390/Select-Board,2026-08-25,Current official roster or certified 2026 result supports this officeholder.
Seekonk,seekonk-ma/select-board-member,3,Robert Archambault,verified-current,https://www.seekonk-ma.gov/390/Select-Board,2026-08-25,Current official roster or certified 2026 result supports this officeholder.
Seekonk,seekonk-ma/select-board-member,4,Christopher Zorra,verified-current,https://www.seekonk-ma.gov/390/Select-Board,2026-08-25,Current official roster or certified 2026 result supports this officeholder.
Seekonk,seekonk-ma/select-board-member,5,Elizabeth Elmasian,verified-current,https://www.seekonk-ma.gov/390/Select-Board,2026-08-25,Current official roster or certified 2026 result supports this officeholder.
Seekonk,seekonk-ma/town-clerk,1,,unresolved,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,2026-08-25,Current post-election holder identity was not safely resolved from authoritative material; marker is intentional and is not presumed vacant.
Seekonk,seekonk-ma/moderator,1,,unresolved,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,2026-08-25,Current post-election holder identity was not safely resolved from authoritative material; marker is intentional and is not presumed vacant.
Seekonk,seekonk-ma/water-commissioner,1,,unresolved,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,2026-08-25,Current post-election holder identity was not safely resolved from authoritative material; marker is intentional and is not presumed vacant.
Seekonk,seekonk-ma/water-commissioner,2,,unresolved,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,2026-08-25,Current post-election holder identity was not safely resolved from authoritative material; marker is intentional and is not presumed vacant.
Seekonk,seekonk-ma/water-commissioner,3,,unresolved,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,2026-08-25,Current post-election holder identity was not safely resolved from authoritative material; marker is intentional and is not presumed vacant.
Seekonk,seekonk-ma/housing-authority-member,1,,unresolved,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,2026-08-25,Current post-election holder identity was not safely resolved from authoritative material; marker is intentional and is not presumed vacant.
Seekonk,seekonk-ma/housing-authority-member,2,,unresolved,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,2026-08-25,Current post-election holder identity was not safely resolved from authoritative material; marker is intentional and is not presumed vacant.
Seekonk,seekonk-ma/housing-authority-member,3,,unresolved,https://www.seekonk-ma.gov/DocumentCenter/View/3967/4626-Town-Election-Results-PDF,2026-08-25,Current post-election holder identity was not safely resolved from authoritative material; marker is intentional and is not presumed vacant.
