municipality,office_id,role,elected,seats,seat_structure,term_years,staggered_terms,partisan,legal_source_url,election_source_url,results_source_url,verification_status,notes,local_title
Sherborn,sherborn-ma/moderator,Moderator,True,1,single,1,False,,https://www.sherbornma.org/DocumentCenter/View/4094/2025-Annual-Town-Report,https://www.sherbornma.org/DocumentCenter/View/4190/OFFICIAL-RESULTS--May-12-2026-ATE,https://www.sherbornma.org/DocumentCenter/View/4190/OFFICIAL-RESULTS--May-12-2026-ATE,schema-ready,Current official annual/election materials establish the direct-voter office and complement.,Moderator
Sherborn,sherborn-ma/select-board-member,Select Board Member,True,5,board,3,True,,https://www.sherbornma.org/DocumentCenter/View/4094/2025-Annual-Town-Report,https://www.sherbornma.org/DocumentCenter/View/4190/OFFICIAL-RESULTS--May-12-2026-ATE,https://www.sherbornma.org/DocumentCenter/View/4190/OFFICIAL-RESULTS--May-12-2026-ATE,schema-ready,Current official annual/election materials establish the direct-voter office and complement.,Select Board Member
Sherborn,sherborn-ma/school-committee-member,School Committee Member,True,5,board,3,True,,https://www.sherbornma.org/DocumentCenter/View/4094/2025-Annual-Town-Report,https://www.sherbornma.org/DocumentCenter/View/4190/OFFICIAL-RESULTS--May-12-2026-ATE,https://www.sherbornma.org/DocumentCenter/View/4190/OFFICIAL-RESULTS--May-12-2026-ATE,schema-ready,Current official annual/election materials establish the direct-voter office and complement.,School Committee Member
Sherborn,sherborn-ma/sawin-academy-trustee,Sawin Academy Trustee,True,5,board,5,True,,https://www.sherbornma.org/DocumentCenter/View/4094/2025-Annual-Town-Report,https://www.sherbornma.org/DocumentCenter/View/4190/OFFICIAL-RESULTS--May-12-2026-ATE,https://www.sherbornma.org/DocumentCenter/View/4190/OFFICIAL-RESULTS--May-12-2026-ATE,schema-ready,Current official annual/election materials establish the direct-voter office and complement.,Sawin Academy Trustee
Sherborn,sherborn-ma/library-trustee,Library Trustee,True,9,board,3,True,,https://www.sherbornma.org/DocumentCenter/View/4094/2025-Annual-Town-Report,https://www.sherbornma.org/DocumentCenter/View/4190/OFFICIAL-RESULTS--May-12-2026-ATE,https://www.sherbornma.org/DocumentCenter/View/4190/OFFICIAL-RESULTS--May-12-2026-ATE,schema-ready,Current official annual/election materials establish the direct-voter office and complement.,Library Trustee
Sherborn,sherborn-ma/water-commissioner,Water Commissioner,True,3,board,3,True,,https://www.sherbornma.org/DocumentCenter/View/4094/2025-Annual-Town-Report,https://www.sherbornma.org/DocumentCenter/View/4190/OFFICIAL-RESULTS--May-12-2026-ATE,https://www.sherbornma.org/DocumentCenter/View/4190/OFFICIAL-RESULTS--May-12-2026-ATE,schema-ready,Current official annual/election materials establish the direct-voter office and complement.,Water Commissioner
Sherborn,sherborn-ma/cemetery-commissioner,Cemetery Commissioner,True,3,board,3,True,,https://www.sherbornma.org/DocumentCenter/View/4094/2025-Annual-Town-Report,https://www.sherbornma.org/DocumentCenter/View/4190/OFFICIAL-RESULTS--May-12-2026-ATE,https://www.sherbornma.org/DocumentCenter/View/4190/OFFICIAL-RESULTS--May-12-2026-ATE,schema-ready,Current official annual/election materials establish the direct-voter office and complement.,Cemetery Commissioner
Sherborn,sherborn-ma/planning-board-member,Planning Board Member,True,5,board,3,True,,https://www.sherbornma.org/DocumentCenter/View/4094/2025-Annual-Town-Report,https://www.sherbornma.org/DocumentCenter/View/4190/OFFICIAL-RESULTS--May-12-2026-ATE,https://www.sherbornma.org/DocumentCenter/View/4190/OFFICIAL-RESULTS--May-12-2026-ATE,schema-ready,Current official annual/election materials establish the direct-voter office and complement.,Planning Board Member
Sherborn,sherborn-ma/dover-sherborn-regional-school-committee-member,Dover-Sherborn Regional School Committee Member,True,4,board,3,True,,https://www.sherbornma.org/DocumentCenter/View/4094/2025-Annual-Town-Report,https://www.sherbornma.org/DocumentCenter/View/4190/OFFICIAL-RESULTS--May-12-2026-ATE,https://www.sherbornma.org/DocumentCenter/View/4190/OFFICIAL-RESULTS--May-12-2026-ATE,schema-ready,Current official annual/election materials establish the direct-voter office and complement.,Dover-Sherborn Regional School Committee Member
Sherborn,sherborn-ma/board-of-health-member,Board of Health Member,True,5,board,3,True,,https://www.sherbornma.org/DocumentCenter/View/4094/2025-Annual-Town-Report,https://www.sherbornma.org/DocumentCenter/View/4190/OFFICIAL-RESULTS--May-12-2026-ATE,https://www.sherbornma.org/DocumentCenter/View/4190/OFFICIAL-RESULTS--May-12-2026-ATE,schema-ready,Current official annual/election materials establish the direct-voter office and complement.,Board of Health Member
