municipality,office_id,seat,person_name,current_status,source_url,retrieved_on,notes
Sherborn,sherborn-ma/moderator,1,Michael Giaimo,verified-current,https://www.sherbornma.org/DocumentCenter/View/4190/OFFICIAL-RESULTS--May-12-2026-ATE,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sherborn,sherborn-ma/select-board-member,1,Paul DeRensis,verified-current,https://www.sherbornma.org/311/Select-Board,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sherborn,sherborn-ma/select-board-member,2,Steven Tsai,verified-current,https://www.sherbornma.org/311/Select-Board,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sherborn,sherborn-ma/select-board-member,3,Marian Neutra,verified-current,https://www.sherbornma.org/311/Select-Board,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sherborn,sherborn-ma/select-board-member,4,Dan Sichel,verified-current,https://www.sherbornma.org/311/Select-Board,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sherborn,sherborn-ma/select-board-member,5,Jeff Waldron,verified-current,https://www.sherbornma.org/311/Select-Board,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sherborn,sherborn-ma/school-committee-member,1,Mason Kaye,verified-current,https://www.sherbornma.org/DocumentCenter/View/4094/2025-Annual-Town-Report,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sherborn,sherborn-ma/school-committee-member,2,Nathaniel Jackson,verified-current,https://www.sherbornma.org/DocumentCenter/View/4094/2025-Annual-Town-Report,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sherborn,sherborn-ma/school-committee-member,3,Megha Kadiyala,verified-current,https://www.sherbornma.org/DocumentCenter/View/4094/2025-Annual-Town-Report,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sherborn,sherborn-ma/school-committee-member,4,William Alfano,verified-current,https://www.sherbornma.org/DocumentCenter/View/4094/2025-Annual-Town-Report,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sherborn,sherborn-ma/school-committee-member,5,Katharine Hayes Manzolini,verified-current,https://www.sherbornma.org/DocumentCenter/View/4094/2025-Annual-Town-Report,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sherborn,sherborn-ma/sawin-academy-trustee,1,David Welch,verified-current,https://www.sherbornma.org/DocumentCenter/View/4094/2025-Annual-Town-Report,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sherborn,sherborn-ma/sawin-academy-trustee,2,Kari Toney,verified-current,https://www.sherbornma.org/DocumentCenter/View/4094/2025-Annual-Town-Report,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
