municipality,office_id,role,elected,seats,seat_structure,term_years,staggered_terms,partisan,legal_source_url,election_source_url,results_source_url,verification_status,notes,local_title
Somerville,somerville-ma/mayor,Mayor,True,1,single,2,False,,https://www.somervillema.gov/government,https://www.somervillema.gov/votesomerville,https://www.somervillema.gov/votesomerville,schema-ready,Official city government pages establish direct-voter offices; ex-officio school roles are excluded.,Mayor
Somerville,somerville-ma/city-councilor-at-large,City Councilor At-Large,True,4,board,2,True,,https://www.somervillema.gov/government,https://www.somervillema.gov/votesomerville,https://www.somervillema.gov/votesomerville,schema-ready,Official city government pages establish direct-voter offices; ex-officio school roles are excluded.,City Councilor At-Large
Somerville,somerville-ma/ward-city-councilor,Ward City Councilor,True,7,board,2,True,,https://www.somervillema.gov/government,https://www.somervillema.gov/votesomerville,https://www.somervillema.gov/votesomerville,schema-ready,Official city government pages establish direct-voter offices; ex-officio school roles are excluded.,Ward City Councilor
Somerville,somerville-ma/ward-school-committee-member,Ward School Committee Member,True,7,board,2,True,,https://www.somervillema.gov/government,https://www.somervillema.gov/votesomerville,https://www.somervillema.gov/votesomerville,schema-ready,Official city government pages establish direct-voter offices; ex-officio school roles are excluded.,Ward School Committee Member
South Hadley,south-hadley-ma/moderator,Moderator,True,1,single,3,False,,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,https://www.southhadley.org/DocumentCenter/View/15013/UNOFFICIAL_RESULTS-041426---Elected-Positions---SH-Town-Election-2026?bidId=,schema-ready,Official 2026 election-cycle guide establishes offices and terms; Housing Authority is normalized to three locally elected seats.,Moderator
South Hadley,south-hadley-ma/select-board-member,Select Board Member,True,5,board,3,True,,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,https://www.southhadley.org/DocumentCenter/View/15013/UNOFFICIAL_RESULTS-041426---Elected-Positions---SH-Town-Election-2026?bidId=,schema-ready,Official 2026 election-cycle guide establishes offices and terms; Housing Authority is normalized to three locally elected seats.,Select Board Member
South Hadley,south-hadley-ma/school-committee-member,School Committee Member,True,5,board,3,True,,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,https://www.southhadley.org/DocumentCenter/View/15013/UNOFFICIAL_RESULTS-041426---Elected-Positions---SH-Town-Election-2026?bidId=,schema-ready,Official 2026 election-cycle guide establishes offices and terms; Housing Authority is normalized to three locally elected seats.,School Committee Member
South Hadley,south-hadley-ma/board-of-health-member,Board of Health Member,True,5,board,3,True,,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,https://www.southhadley.org/DocumentCenter/View/15013/UNOFFICIAL_RESULTS-041426---Elected-Positions---SH-Town-Election-2026?bidId=,schema-ready,Official 2026 election-cycle guide establishes offices and terms; Housing Authority is normalized to three locally elected seats.,Board of Health Member
South Hadley,south-hadley-ma/municipal-light-board-member,Municipal Light Board Member,True,5,board,3,True,,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,https://www.southhadley.org/DocumentCenter/View/15013/UNOFFICIAL_RESULTS-041426---Elected-Positions---SH-Town-Election-2026?bidId=,schema-ready,Official 2026 election-cycle guide establishes offices and terms; Housing Authority is normalized to three locally elected seats.,Municipal Light Board Member
South Hadley,south-hadley-ma/board-of-assessors-member,Board of Assessors Member,True,3,board,3,True,,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,https://www.southhadley.org/DocumentCenter/View/15013/UNOFFICIAL_RESULTS-041426---Elected-Positions---SH-Town-Election-2026?bidId=,schema-ready,Official 2026 election-cycle guide establishes offices and terms; Housing Authority is normalized to three locally elected seats.,Board of Assessors Member
South Hadley,south-hadley-ma/housing-authority-member,Housing Authority Member,True,3,board,5,True,,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,https://www.southhadley.org/DocumentCenter/View/15013/UNOFFICIAL_RESULTS-041426---Elected-Positions---SH-Town-Election-2026?bidId=,schema-ready,Official 2026 election-cycle guide establishes offices and terms; Housing Authority is normalized to three locally elected seats.,Housing Authority Member
South Hadley,south-hadley-ma/library-trustee,Library Trustee,True,9,board,3,True,,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,https://www.southhadley.org/DocumentCenter/View/15013/UNOFFICIAL_RESULTS-041426---Elected-Positions---SH-Town-Election-2026?bidId=,schema-ready,Official 2026 election-cycle guide establishes offices and terms; Housing Authority is normalized to three locally elected seats.,Library Trustee
South Hadley,south-hadley-ma/planning-board-member,Planning Board Member,True,5,board,3,True,,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,https://www.southhadley.org/DocumentCenter/View/15013/UNOFFICIAL_RESULTS-041426---Elected-Positions---SH-Town-Election-2026?bidId=,schema-ready,Official 2026 election-cycle guide establishes offices and terms; Housing Authority is normalized to three locally elected seats.,Planning Board Member
South Hadley,south-hadley-ma/representative-town-meeting-member,Representative Town Meeting Member,True,120,board,3,True,,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,https://www.southhadley.org/DocumentCenter/View/15013/UNOFFICIAL_RESULTS-041426---Elected-Positions---SH-Town-Election-2026?bidId=,schema-ready,Official 2026 election-cycle guide establishes offices and terms; Housing Authority is normalized to three locally elected seats.,Representative Town Meeting Member
Southampton,southampton-ma/almoner,Almoner,True,4,board,4,True,,https://resources.finalsite.net/images/v1780950151/townofsouthamptonorg/s8s8pxftmprpjdpyouor/Southampton2025AnnualReportFinal.pdf,https://www.townofsouthampton.org/government/administration/town-clerk/elections,https://www.townofsouthampton.org/government/administration/town-clerk/elections,schema-ready,Official 2025 annual report explicitly lists this body/office in the elected-official roster; post-2026 holder evidence is reconciled conservatively.,Almoner
Southampton,southampton-ma/board-of-assessors-member,Board of Assessors Member,True,3,board,3,True,,https://resources.finalsite.net/images/v1780950151/townofsouthamptonorg/s8s8pxftmprpjdpyouor/Southampton2025AnnualReportFinal.pdf,https://www.townofsouthampton.org/government/administration/town-clerk/elections,https://www.townofsouthampton.org/government/administration/town-clerk/elections,schema-ready,Official 2025 annual report explicitly lists this body/office in the elected-official roster; post-2026 holder evidence is reconciled conservatively.,Board of Assessors Member
