municipality,office_id,seat,person_name,current_status,source_url,retrieved_on,notes
Somerville,somerville-ma/mayor,1,Jake Wilson,verified-current,https://www.somervillema.gov/official/mayor,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Somerville,somerville-ma/city-councilor-at-large,1,Jon Link,verified-current,https://www.somervillema.gov/departments/city-council,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Somerville,somerville-ma/city-councilor-at-large,2,Wilfred N. Mbah,verified-current,https://www.somervillema.gov/departments/city-council,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Somerville,somerville-ma/city-councilor-at-large,3,Kristen Strezo,verified-current,https://www.somervillema.gov/departments/city-council,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Somerville,somerville-ma/city-councilor-at-large,4,Ben Wheeler,verified-current,https://www.somervillema.gov/departments/city-council,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Somerville,somerville-ma/ward-city-councilor,1,Matthew McLaughlin,verified-current,https://www.somervillema.gov/departments/city-council,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Somerville,somerville-ma/ward-city-councilor,2,Jefferson Thomas (J.T.) Scott,verified-current,https://www.somervillema.gov/departments/city-council,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Somerville,somerville-ma/ward-city-councilor,3,Ben Ewen-Campen,verified-current,https://www.somervillema.gov/departments/city-council,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Somerville,somerville-ma/ward-city-councilor,4,Jesse Clingan,verified-current,https://www.somervillema.gov/departments/city-council,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Somerville,somerville-ma/ward-city-councilor,5,Naima Sait,verified-current,https://www.somervillema.gov/departments/city-council,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Somerville,somerville-ma/ward-city-councilor,6,Lance L. Davis,verified-current,https://www.somervillema.gov/departments/city-council,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Somerville,somerville-ma/ward-city-councilor,7,Emily Hardt,verified-current,https://www.somervillema.gov/departments/city-council,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Somerville,somerville-ma/ward-school-committee-member,1,Emily Ackman,verified-current,https://somerville.k12.ma.us/district-leadership/somerville-school-committee,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Somerville,somerville-ma/ward-school-committee-member,2,Elizabeth Eldridge,verified-current,https://somerville.k12.ma.us/district-leadership/somerville-school-committee,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Somerville,somerville-ma/ward-school-committee-member,3,Michele Lippens,verified-current,https://somerville.k12.ma.us/district-leadership/somerville-school-committee,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Somerville,somerville-ma/ward-school-committee-member,4,Andre Green,verified-current,https://somerville.k12.ma.us/district-leadership/somerville-school-committee,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Somerville,somerville-ma/ward-school-committee-member,5,Laura Pitone,verified-current,https://somerville.k12.ma.us/district-leadership/somerville-school-committee,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Somerville,somerville-ma/ward-school-committee-member,6,Emma Stellman,verified-current,https://somerville.k12.ma.us/district-leadership/somerville-school-committee,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Somerville,somerville-ma/ward-school-committee-member,7,Leiran Biton,verified-current,https://somerville.k12.ma.us/district-leadership/somerville-school-committee,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/moderator,1,John Hine,verified-current,https://www.southhadley.org/DocumentCenter/View/14525/2026_SouthHadleyRunningForLocalOfficeGuide-1025-Nav,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/select-board-member,1,Jeff Cyr,verified-current,https://www.southhadley.org/218/Selectboard,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/select-board-member,2,Carol Constant,verified-current,https://www.southhadley.org/218/Selectboard,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/select-board-member,3,Renee Sweeney,verified-current,https://www.southhadley.org/218/Selectboard,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/select-board-member,4,Priscilla Marion,verified-current,https://www.southhadley.org/218/Selectboard,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/select-board-member,5,Kevin Hennessey,verified-current,https://www.southhadley.org/218/Selectboard,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/school-committee-member,1,Tracie Kennedy,verified-current,https://www.southhadley.org/DocumentCenter/View/15013/UNOFFICIAL_RESULTS-041426---Elected-Positions---SH-Town-Election-2026?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/school-committee-member,2,Nicholas Prentiss,verified-current,https://www.southhadley.org/DocumentCenter/View/15013/UNOFFICIAL_RESULTS-041426---Elected-Positions---SH-Town-Election-2026?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/school-committee-member,3,Danielle Cooke,verified-current,https://www.southhadley.org/DocumentCenter/View/15013/UNOFFICIAL_RESULTS-041426---Elected-Positions---SH-Town-Election-2026?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/school-committee-member,4,John Witkowski,verified-current,https://www.southhadley.org/DocumentCenter/View/15013/UNOFFICIAL_RESULTS-041426---Elected-Positions---SH-Town-Election-2026?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/school-committee-member,5,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/15013/UNOFFICIAL_RESULTS-041426---Elected-Positions---SH-Town-Election-2026?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/board-of-health-member,1,Karen Walsh Pio,verified-current,https://www.southhadley.org/DocumentCenter/View/15013/UNOFFICIAL_RESULTS-041426---Elected-Positions---SH-Town-Election-2026?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/board-of-health-member,2,Michael Rosner,verified-current,https://www.southhadley.org/DocumentCenter/View/15013/UNOFFICIAL_RESULTS-041426---Elected-Positions---SH-Town-Election-2026?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/board-of-health-member,3,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/15013/UNOFFICIAL_RESULTS-041426---Elected-Positions---SH-Town-Election-2026?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/board-of-health-member,4,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/15013/UNOFFICIAL_RESULTS-041426---Elected-Positions---SH-Town-Election-2026?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/board-of-health-member,5,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/15013/UNOFFICIAL_RESULTS-041426---Elected-Positions---SH-Town-Election-2026?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/municipal-light-board-member,1,John Hine,verified-current,https://www.southhadley.org/DocumentCenter/View/15013/UNOFFICIAL_RESULTS-041426---Elected-Positions---SH-Town-Election-2026?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/municipal-light-board-member,2,Ronald Coutu,verified-current,https://www.southhadley.org/DocumentCenter/View/15013/UNOFFICIAL_RESULTS-041426---Elected-Positions---SH-Town-Election-2026?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/municipal-light-board-member,3,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/15013/UNOFFICIAL_RESULTS-041426---Elected-Positions---SH-Town-Election-2026?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/municipal-light-board-member,4,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/15013/UNOFFICIAL_RESULTS-041426---Elected-Positions---SH-Town-Election-2026?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/municipal-light-board-member,5,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/15013/UNOFFICIAL_RESULTS-041426---Elected-Positions---SH-Town-Election-2026?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/board-of-assessors-member,1,Kevin Taugher,verified-current,https://www.southhadley.org/Directory.aspx?did=49,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/board-of-assessors-member,2,Lynn Masson,verified-current,https://www.southhadley.org/Directory.aspx?did=49,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/board-of-assessors-member,3,Thomas Reidy,verified-current,https://www.southhadley.org/Directory.aspx?did=49,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/housing-authority-member,1,John Duda,verified-current,https://www.southhadley.org/DocumentCenter/View/15013/UNOFFICIAL_RESULTS-041426---Elected-Positions---SH-Town-Election-2026?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/housing-authority-member,2,Anne Blaney-Perez,verified-current,https://www.southhadley.org/DocumentCenter/View/15013/UNOFFICIAL_RESULTS-041426---Elected-Positions---SH-Town-Election-2026?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/housing-authority-member,3,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/15013/UNOFFICIAL_RESULTS-041426---Elected-Positions---SH-Town-Election-2026?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/library-trustee,1,Susan Obremski-Crowther,verified-current,https://www.southhadley.org/315/Public-Library,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/library-trustee,2,Kelly Woods,verified-current,https://www.southhadley.org/315/Public-Library,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/library-trustee,3,Gail Scanlon,verified-current,https://www.southhadley.org/315/Public-Library,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
