municipality,office_id,seat,person_name,current_status,source_url,retrieved_on,notes
Southwick,southwick-ma/board-assessors,1,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/board-assessors,2,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/board-assessors,3,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/board-health,1,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/board-health,2,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/board-health,3,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/cemetery-commission,1,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/cemetery-commission,2,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/cemetery-commission,3,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/community-preservation-at-large,1,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/community-preservation-at-large,2,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/community-preservation-at-large,3,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/community-preservation-at-large,4,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/constable,1,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/constable,2,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/dickinson-school-trustee,1,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/dickinson-school-trustee,2,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/dickinson-school-trustee,3,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/district-school-committee,1,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/district-school-committee,2,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/district-school-committee,3,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/district-school-committee,4,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
