municipality,office_id,seat,person_name,current_status,source_url,retrieved_on,notes
Stoneham,stoneham-ma/select-board,1,Troy M. Lau,verified-current,https://www.stoneham-ma.gov/244/Select-Board,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Stoneham,stoneham-ma/select-board,2,David P. Pignone Jr.,verified-current,https://www.stoneham-ma.gov/244/Select-Board,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Stoneham,stoneham-ma/select-board,3,Ryan Foreman,verified-current,https://www.stoneham-ma.gov/244/Select-Board,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Stoneham,stoneham-ma/select-board,4,Raymie Parker,verified-current,https://www.stoneham-ma.gov/244/Select-Board,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Stoneham,stoneham-ma/select-board,5,Heidi Bilbo,verified-current,https://www.stoneham-ma.gov/244/Select-Board,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Stoneham,stoneham-ma/school-committee,1,William J. Jordan,verified-current,https://www.stoneham-ma.gov/DocumentCenter/View/12051/2026-Annual-Town-Election,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Stoneham,stoneham-ma/school-committee,2,Jaime Wallace,verified-current,https://www.stoneham-ma.gov/DocumentCenter/View/12051/2026-Annual-Town-Election,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Stoneham,stoneham-ma/school-committee,3,Melanie Fiore,verified-current,https://www.stoneham-ma.gov/DocumentCenter/View/12051/2026-Annual-Town-Election,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Stoneham,stoneham-ma/school-committee,4,Cory Mashburn,verified-current,https://www.stoneham-ma.gov/DocumentCenter/View/12051/2026-Annual-Town-Election,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Stoneham,stoneham-ma/school-committee,5,,unresolved,https://www.stoneham-ma.gov/DocumentCenter/View/12051/2026-Annual-Town-Election,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoneham,stoneham-ma/town-clerk,1,,unresolved,https://www.stoneham-ma.gov/DocumentCenter/View/12051/2026-Annual-Town-Election,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoneham,stoneham-ma/board-assessors,1,Frank A. Vallarelli,verified-current,https://www.stoneham-ma.gov/217/Board-of-Assessors,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Stoneham,stoneham-ma/board-assessors,2,Eric Josephson,verified-current,https://www.stoneham-ma.gov/217/Board-of-Assessors,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Stoneham,stoneham-ma/board-assessors,3,,unresolved,https://www.stoneham-ma.gov/DocumentCenter/View/12051/2026-Annual-Town-Election,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoneham,stoneham-ma/planning-board,1,Frank A. Vallarelli,verified-current,https://www.stoneham-ma.gov/DocumentCenter/View/12051/2026-Annual-Town-Election,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Stoneham,stoneham-ma/planning-board,2,,unresolved,https://www.stoneham-ma.gov/DocumentCenter/View/12051/2026-Annual-Town-Election,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoneham,stoneham-ma/planning-board,3,,unresolved,https://www.stoneham-ma.gov/DocumentCenter/View/12051/2026-Annual-Town-Election,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoneham,stoneham-ma/planning-board,4,,unresolved,https://www.stoneham-ma.gov/DocumentCenter/View/12051/2026-Annual-Town-Election,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoneham,stoneham-ma/planning-board,5,,unresolved,https://www.stoneham-ma.gov/DocumentCenter/View/12051/2026-Annual-Town-Election,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoneham,stoneham-ma/constable,1,,unresolved,https://www.stoneham-ma.gov/DocumentCenter/View/12051/2026-Annual-Town-Election,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoneham,stoneham-ma/constable,2,,unresolved,https://www.stoneham-ma.gov/DocumentCenter/View/12051/2026-Annual-Town-Election,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoneham,stoneham-ma/constable,3,,unresolved,https://www.stoneham-ma.gov/DocumentCenter/View/12051/2026-Annual-Town-Election,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoneham,stoneham-ma/library-trustee,1,Lisa J. Mashburn,verified-current,https://www.stoneham-ma.gov/DocumentCenter/View/12051/2026-Annual-Town-Election,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Stoneham,stoneham-ma/library-trustee,2,Jessica E. Killilea,verified-current,https://www.stoneham-ma.gov/DocumentCenter/View/12051/2026-Annual-Town-Election,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
