municipality,office_id,seat,person_name,current_status,source_url,retrieved_on,notes
Wayland,wayland-ma/moderator,1,,unresolved,https://www.wayland.ma.us/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wayland,wayland-ma/select-board,1,,unresolved,https://www.wayland.ma.us/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wayland,wayland-ma/select-board,2,,unresolved,https://www.wayland.ma.us/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wayland,wayland-ma/select-board,3,,unresolved,https://www.wayland.ma.us/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wayland,wayland-ma/select-board,4,,unresolved,https://www.wayland.ma.us/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wayland,wayland-ma/select-board,5,,unresolved,https://www.wayland.ma.us/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wayland,wayland-ma/school-committee,1,,unresolved,https://www.wayland.ma.us/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wayland,wayland-ma/school-committee,2,,unresolved,https://www.wayland.ma.us/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wayland,wayland-ma/school-committee,3,,unresolved,https://www.wayland.ma.us/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wayland,wayland-ma/school-committee,4,,unresolved,https://www.wayland.ma.us/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wayland,wayland-ma/school-committee,5,,unresolved,https://www.wayland.ma.us/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wayland,wayland-ma/board-of-assessors,1,,unresolved,https://www.wayland.ma.us/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wayland,wayland-ma/board-of-assessors,2,,unresolved,https://www.wayland.ma.us/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wayland,wayland-ma/board-of-assessors,3,,unresolved,https://www.wayland.ma.us/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wayland,wayland-ma/board-of-assessors,4,,unresolved,https://www.wayland.ma.us/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wayland,wayland-ma/board-of-assessors,5,,unresolved,https://www.wayland.ma.us/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wayland,wayland-ma/library-trustees,1,Aida A. Gennis,verified,https://www.wayland.ma.us/254/Board-of-Library-Trustees,2026-08-25,Current holder supported by recent official result or live official roster.
Wayland,wayland-ma/library-trustees,2,Leah B. Hart,verified,https://www.wayland.ma.us/254/Board-of-Library-Trustees,2026-08-25,Current holder supported by recent official result or live official roster.
Wayland,wayland-ma/library-trustees,3,Emily Weintraub,verified,https://www.wayland.ma.us/254/Board-of-Library-Trustees,2026-08-25,Current holder supported by recent official result or live official roster.
Wayland,wayland-ma/library-trustees,4,Candace Hetzner,verified,https://www.wayland.ma.us/254/Board-of-Library-Trustees,2026-08-25,Current holder supported by recent official result or live official roster.
