municipality,office_id,seat,person_name,current_status,source_url,retrieved_on,notes
Uxbridge,uxbridge-ma/select-board,1,,unresolved,https://www.uxbridge-ma.gov/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Uxbridge,uxbridge-ma/select-board,2,,unresolved,https://www.uxbridge-ma.gov/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Uxbridge,uxbridge-ma/select-board,3,,unresolved,https://www.uxbridge-ma.gov/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Uxbridge,uxbridge-ma/select-board,4,,unresolved,https://www.uxbridge-ma.gov/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Uxbridge,uxbridge-ma/select-board,5,,unresolved,https://www.uxbridge-ma.gov/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Uxbridge,uxbridge-ma/school-committee,1,,unresolved,https://www.uxbridge-ma.gov/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Uxbridge,uxbridge-ma/school-committee,2,,unresolved,https://www.uxbridge-ma.gov/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Uxbridge,uxbridge-ma/school-committee,3,,unresolved,https://www.uxbridge-ma.gov/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Uxbridge,uxbridge-ma/school-committee,4,,unresolved,https://www.uxbridge-ma.gov/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Uxbridge,uxbridge-ma/school-committee,5,,unresolved,https://www.uxbridge-ma.gov/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Uxbridge,uxbridge-ma/moderator,1,,unresolved,https://www.uxbridge-ma.gov/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Uxbridge,uxbridge-ma/housing-authority,1,,unresolved,https://www.uxbridge-ma.gov/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Uxbridge,uxbridge-ma/housing-authority,2,,unresolved,https://www.uxbridge-ma.gov/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Uxbridge,uxbridge-ma/housing-authority,3,,unresolved,https://www.uxbridge-ma.gov/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Uxbridge,uxbridge-ma/housing-authority,4,,unresolved,https://www.uxbridge-ma.gov/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Uxbridge,uxbridge-ma/library-trustee,1,,unresolved,https://www.uxbridge-ma.gov/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Uxbridge,uxbridge-ma/library-trustee,2,,unresolved,https://www.uxbridge-ma.gov/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Uxbridge,uxbridge-ma/library-trustee,3,,unresolved,https://www.uxbridge-ma.gov/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Uxbridge,uxbridge-ma/library-trustee,4,,unresolved,https://www.uxbridge-ma.gov/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
