municipality,office_body,status,controlling_source_url,note,retrieved_on
Peru,Accountant,appointed,https://files.heygov.com/townofperuma.com/Annual%20Town%20Report%202024-2025.pdf,Listed under Appointed Positions in the current annual report.,2026-08-26
Peru,Animal Advisory Committee,appointed,https://files.heygov.com/townofperuma.com/Annual%20Town%20Report%202024-2025.pdf,Listed under Appointed Positions in the current annual report.,2026-08-26
Peru,Animal Control Officer / Inspector,appointed,https://files.heygov.com/townofperuma.com/Annual%20Town%20Report%202024-2025.pdf,Listed under Appointed Positions in the current annual report.,2026-08-26
Peru,Board of Assessors,appointed,https://files.heygov.com/townofperuma.com/Annual%20Town%20Report%202024-2025.pdf,Current annual report places Assessors under Appointed Positions; a February 2026 Town posting also solicits applicants for an assessor position rather than candidates.,2026-08-26
Peru,Assistant Town Clerk,appointed,https://townofperuma.com/officials-elected-appointed/,Current Officials page expressly lists Assistant Town Clerk under Appointed Officials and notes appointment by the Town Clerk.,2026-08-26
Peru,Board of Registrars,appointed/ex-officio,https://files.heygov.com/townofperuma.com/Annual%20Town%20Report%202024-2025.pdf,Current annual report places the Board of Registrars under Appointed Positions and identifies the Town Clerk as ex-officio.,2026-08-26
Peru,Cemetery Commission,appointed,https://files.heygov.com/townofperuma.com/Annual%20Town%20Report%202024-2025.pdf,Listed under Appointed Positions in the current annual report.,2026-08-26
Peru,Cemetery Sexton,appointed,https://files.heygov.com/townofperuma.com/Annual%20Town%20Report%202024-2025.pdf,Listed under Appointed Positions in the current annual report.,2026-08-26
Peru,Conservation Commission,appointed,https://files.heygov.com/townofperuma.com/Annual%20Town%20Report%202024-2025.pdf,Listed under Appointed Positions in the current annual report.,2026-08-26
Peru,Parks & Recreation,appointed,https://files.heygov.com/townofperuma.com/Annual%20Town%20Report%202024-2025.pdf,Listed under Appointed Positions in the current annual report.,2026-08-26
Peru,Town Administrator,appointed,https://townofperuma.com/officials-elected-appointed/,Current Officials page lists Administrator under Appointed Officials.,2026-08-26
Peru,Treasurer / Tax Collector,appointed,https://files.heygov.com/townofperuma.com/Annual%20Town%20Report%202024-2025.pdf,Listed under Appointed Positions in the current annual report.,2026-08-26
Peru,Zoning Board of Appeals,appointed,https://files.heygov.com/townofperuma.com/Annual%20Town%20Report%202024-2025.pdf,Listed under Appointed Positions in the current annual report.,2026-08-26
Peru,Tree Warden,classification-conflict,https://files.heygov.com/townofperuma.com/Annual%20Town%20Report%202024-2025.pdf,"Not serialized as appointed or elected: current annual report says appointed, while the current Officials page says elected and older certified election records show direct election.",2026-08-26
