municipality,office_id,seat,person_name,current_status,source_url,retrieved_on,notes
Peru,peru-ma/select-board-member,1,Edward Munch,verified-current,https://www.townofperuma.com/select-board/,2026-08-26,Current official roster; internal seat numbering follows display order and is not an asserted numbered district/seat designation.
Peru,peru-ma/select-board-member,2,Verne Leach,verified-current,https://www.townofperuma.com/select-board/,2026-08-26,Current official roster; internal seat numbering follows display order and is not an asserted numbered district/seat designation.
Peru,peru-ma/select-board-member,3,Samuel Haupt,verified-current,https://www.townofperuma.com/select-board/,2026-08-26,Current official roster; internal seat numbering follows display order and is not an asserted numbered district/seat designation.
Peru,peru-ma/town-clerk,,Kim Leach,verified-current,https://www.townofperuma.com/town-clerk/,2026-08-26,
Peru,peru-ma/finance-committee-member,1,Bruce Cullett,verified-current,https://www.townofperuma.com/finance-committee/,2026-08-26,Current official roster; internal seat numbering follows display order only.
Peru,peru-ma/finance-committee-member,2,Paul Hickling,verified-current,https://www.townofperuma.com/finance-committee/,2026-08-26,Current official roster; internal seat numbering follows display order only.
Peru,peru-ma/finance-committee-member,3,Samuel Haupt,verified-current,https://www.townofperuma.com/finance-committee/,2026-08-26,Current official roster; internal seat numbering follows display order only.
Peru,peru-ma/finance-committee-member,4,Doug Haskins,verified-current,https://www.townofperuma.com/finance-committee/,2026-08-26,Current official roster; internal seat numbering follows display order only.
Peru,peru-ma/finance-committee-member,5,Branden Mascolo,verified-current,https://www.townofperuma.com/finance-committee/,2026-08-26,Current official roster; internal seat numbering follows display order only.
Peru,peru-ma/planning-board-member,1,Samuel Haupt,verified-current,https://www.townofperuma.com/planning-board/,2026-08-26,Current official roster; internal seat numbering follows display order only.
Peru,peru-ma/planning-board-member,2,Paul Hickling,verified-current,https://www.townofperuma.com/planning-board/,2026-08-26,Current official roster; internal seat numbering follows display order only.
Peru,peru-ma/planning-board-member,3,Darryl Darby,verified-current,https://www.townofperuma.com/planning-board/,2026-08-26,Current official roster; internal seat numbering follows display order only.
Peru,peru-ma/planning-board-member,4,Dominick Palumbo,verified-current,https://www.townofperuma.com/planning-board/,2026-08-26,Current official roster; internal seat numbering follows display order only.
Peru,peru-ma/planning-board-member,5,Doug Haskins,verified-current,https://www.townofperuma.com/planning-board/,2026-08-26,Current official roster; internal seat numbering follows display order only.
Peru,peru-ma/board-of-health-member,1,Peggy White,verified-current,https://townofperuma.com/board-of-health/,2026-08-26,Current official roster; internal seat numbering follows display order only.
Peru,peru-ma/board-of-health-member,2,Darryl Darby,verified-current,https://townofperuma.com/board-of-health/,2026-08-26,Current official roster; internal seat numbering follows display order only.
Peru,peru-ma/board-of-health-member,3,James Kenney,verified-current,https://townofperuma.com/board-of-health/,2026-08-26,Current official roster; internal seat numbering follows display order only.
Peru,peru-ma/constable,1,Coralie Pelkey,verified-current,https://www.townofperuma.com/contacts-directory/,2026-08-26,Current Town contacts directory identifies both as Constables; internal seat numbering follows display order only.
Peru,peru-ma/constable,2,Peggy White,verified-current,https://www.townofperuma.com/contacts-directory/,2026-08-26,Current Town contacts directory identifies both as Constables; internal seat numbering follows display order only.
Peru,peru-ma/moderator,,Allan Gordon,verified-current,https://www.townofperuma.com/contacts-directory/,2026-08-26,Current Town contacts directory identifies Allan Gordon as Moderator.
Peru,peru-ma/central-berkshire-regional-school-committee-member,,Kimberly Wetherell,verified-current,https://www.cbrsd.org/school-committee/members,2026-08-26,Current Central Berkshire Regional School District member page identifies the Peru member and term expiration November 2028.
Peru,peru-ma/tree-warden,,Justin Russell,verified-current,https://www.townofperuma.com/contacts-directory/,2026-08-26,"Role holder is current in the Town directory, but elective-versus-appointed classification is unresolved; no Person/Membership is generated from this research-only office row."
