municipality,office_id,role,local_title,elected,seats,seat_structure,term_years,staggered_terms,partisan,legal_source_url,election_source_url,results_source_url,verification_status,notes
Abington,abington-ma/assessor,Assessor,Assessor,True,3,at-large,3,True,,https://ecode360.com/34424196,https://www.abingtonma.gov/article/2162181,https://www.abingtonma.gov/article/2171924,schema-ready,Charter Article III enumerates these offices; several seat/term details remain unresolved.
Abington,abington-ma/board-of-health-member,Board of Health Member,Board of Health Member,True,5,at-large,3,True,,https://ecode360.com/34424196,https://www.abingtonma.gov/article/2162181,https://www.abingtonma.gov/article/2171924,schema-ready,Charter Article III enumerates these offices; several seat/term details remain unresolved.
Abington,abington-ma/housing-authority-member,Housing Authority Member,Housing Authority Member,True,,at-large,,,,https://ecode360.com/34424196,https://www.abingtonma.gov/article/2162181,https://www.abingtonma.gov/article/2171924,elected-status-verified-seat-count-unresolved,Charter Article III enumerates these offices; several seat/term details remain unresolved.
Abington,abington-ma/library-trustee,Library Trustee,Library Trustee,True,9,at-large,3,True,,https://ecode360.com/34424196,https://www.abingtonma.gov/article/2162181,https://www.abingtonma.gov/article/2171924,schema-ready,Charter Article III enumerates these offices; several seat/term details remain unresolved.
Abington,abington-ma/moderator,Moderator,Moderator,True,1,at-large,,False,,https://ecode360.com/34424196,https://www.abingtonma.gov/article/2162181,https://www.abingtonma.gov/article/2171924,schema-ready,Charter Article III enumerates these offices; several seat/term details remain unresolved.
Abington,abington-ma/planning-board-member,Planning Board Member,Planning Board Member,True,,at-large,,,,https://ecode360.com/34424196,https://www.abingtonma.gov/article/2162181,https://www.abingtonma.gov/article/2171924,elected-status-verified-seat-count-unresolved,Charter Article III enumerates these offices; several seat/term details remain unresolved.
Abington,abington-ma/school-committee-member,School Committee Member,School Committee Member,True,5,at-large,3,True,,https://ecode360.com/34424196,https://www.abingtonma.gov/article/2162181,https://www.abingtonma.gov/article/2171924,schema-ready,Charter Article III enumerates these offices; several seat/term details remain unresolved.
Abington,abington-ma/select-board-member,Select Board Member,Select Board Member,True,,at-large,,,,https://ecode360.com/34424196,https://www.abingtonma.gov/article/2162181,https://www.abingtonma.gov/article/2171924,elected-status-verified-seat-count-unresolved,Charter Article III enumerates these offices; several seat/term details remain unresolved.
Abington,abington-ma/sewer-commissioner,Sewer Commissioner,Sewer Commissioner,True,,at-large,,,,https://ecode360.com/34424196,https://www.abingtonma.gov/article/2162181,https://www.abingtonma.gov/article/2171924,elected-status-verified-seat-count-unresolved,Charter Article III enumerates these offices; several seat/term details remain unresolved.
Abington,abington-ma/town-clerk,Town Clerk,Town Clerk,True,1,at-large,,False,,https://ecode360.com/34424196,https://www.abingtonma.gov/article/2162181,https://www.abingtonma.gov/article/2171924,schema-ready,Charter Article III enumerates these offices; several seat/term details remain unresolved.
Abington,abington-ma/water-commissioner,Water Commissioner,Water Commissioner,True,,at-large,,,,https://ecode360.com/34424196,https://www.abingtonma.gov/article/2162181,https://www.abingtonma.gov/article/2171924,elected-status-verified-seat-count-unresolved,Charter Article III enumerates these offices; several seat/term details remain unresolved.
Acton,acton-ma/assistant-moderator,Assistant Moderator,Assistant Moderator,True,1,at-large,,False,,https://actonma.gov/election,https://actonma.gov/election,https://actonma.gov/598,schema-ready,Assistant Moderator and specified fund trustees are elected at Annual Town Meeting rather than by ordinary ballot. Water District and library seat counts need further legal normalization.
Acton,acton-ma/housing-authority-member,Housing Authority Member,Housing Authority Member,True,3,at-large,,,,https://actonma.gov/election,https://actonma.gov/election,https://actonma.gov/598,schema-ready,Assistant Moderator and specified fund trustees are elected at Annual Town Meeting rather than by ordinary ballot. Water District and library seat counts need further legal normalization.
Acton,acton-ma/library-trustee,Library Trustee,Library Trustee,True,,at-large,,,,https://actonma.gov/election,https://actonma.gov/election,https://actonma.gov/598,elected-status-verified-seat-count-unresolved,Assistant Moderator and specified fund trustees are elected at Annual Town Meeting rather than by ordinary ballot. Water District and library seat counts need further legal normalization.
Acton,acton-ma/moderator,Moderator,Moderator,True,1,at-large,,False,,https://actonma.gov/election,https://actonma.gov/election,https://actonma.gov/598,schema-ready,Assistant Moderator and specified fund trustees are elected at Annual Town Meeting rather than by ordinary ballot. Water District and library seat counts need further legal normalization.
Acton,acton-ma/municipal-fund-trustee,Municipal Fund Trustee,Municipal Fund Trustee,True,,at-large,,,,https://actonma.gov/election,https://actonma.gov/election,https://actonma.gov/598,elected-status-verified-seat-count-unresolved,Assistant Moderator and specified fund trustees are elected at Annual Town Meeting rather than by ordinary ballot. Water District and library seat counts need further legal normalization.
Acton,acton-ma/regional-school-committee-member,Regional School Committee Member,Regional School Committee Member,True,7,at-large,,,,https://actonma.gov/election,https://actonma.gov/election,https://actonma.gov/598,schema-ready,Assistant Moderator and specified fund trustees are elected at Annual Town Meeting rather than by ordinary ballot. Water District and library seat counts need further legal normalization.
Acton,acton-ma/select-board-member,Select Board Member,Select Board Member,True,5,at-large,3,True,,https://actonma.gov/election,https://actonma.gov/election,https://actonma.gov/598,schema-ready,Assistant Moderator and specified fund trustees are elected at Annual Town Meeting rather than by ordinary ballot. Water District and library seat counts need further legal normalization.
Acton,acton-ma/water-district-official,Water District Official,Water District Official,True,,district,,,,https://actonma.gov/election,https://actonma.gov/election,https://actonma.gov/598,elected-status-verified-seat-count-unresolved,Assistant Moderator and specified fund trustees are elected at Annual Town Meeting rather than by ordinary ballot. Water District and library seat counts need further legal normalization.
Acushnet,acushnet-ma/assessor,Assessor,Assessor,True,3,at-large,,,,https://acushnet.ma.us/1200/Elected-Officials,https://www.acushnet.ma.us/1206/Town-Clerk,https://www.acushnet.ma.us/1928/2026-Annual-Town-Election-Results,schema-ready,
Acushnet,acushnet-ma/board-of-health-member,Board of Health Member,Board of Health Member,True,3,at-large,,,,https://acushnet.ma.us/1200/Elected-Officials,https://www.acushnet.ma.us/1206/Town-Clerk,https://www.acushnet.ma.us/1928/2026-Annual-Town-Election-Results,schema-ready,
Acushnet,acushnet-ma/cemetery-board-member,Cemetery Board Member,Cemetery Board Member,True,3,at-large,,,,https://acushnet.ma.us/1200/Elected-Officials,https://www.acushnet.ma.us/1206/Town-Clerk,https://www.acushnet.ma.us/1928/2026-Annual-Town-Election-Results,schema-ready,
Acushnet,acushnet-ma/commissioner-of-trust-funds,Commissioner of Trust Funds,Commissioner of Trust Funds,True,3,at-large,,,,https://acushnet.ma.us/1200/Elected-Officials,https://www.acushnet.ma.us/1206/Town-Clerk,https://www.acushnet.ma.us/1928/2026-Annual-Town-Election-Results,schema-ready,
Acushnet,acushnet-ma/housing-authority-member,Housing Authority Member,Housing Authority Member,True,3,at-large,,,,https://acushnet.ma.us/1200/Elected-Officials,https://www.acushnet.ma.us/1206/Town-Clerk,https://www.acushnet.ma.us/1928/2026-Annual-Town-Election-Results,schema-ready,"Official elected-official list shows five authority members, of whom one is Governor-appointed and one is tenant-appointed; three are treated here as locally elected seats."
Acushnet,acushnet-ma/library-trustee,Library Trustee,Library Trustee,True,6,at-large,,,,https://acushnet.ma.us/1200/Elected-Officials,https://www.acushnet.ma.us/1206/Town-Clerk,https://www.acushnet.ma.us/1928/2026-Annual-Town-Election-Results,schema-ready,
