municipality,official_website_url,office_rows,schema_ready_rows,unresolved_rows,legal_source_urls,election_source_urls,results_source_urls,current_officeholder_verified_rows,known_vacancies,officeholder_unresolved_markers,person_validation_status,conflicts_notes,status
Abington,https://www.abingtonma.gov/,11,6,5,https://ecode360.com/34424196,https://www.abingtonma.gov/article/2162181,https://www.abingtonma.gov/article/2171924,0,0,0,schema-valid-for-serialized-persons,Charter Article III enumerates these offices; several seat/term details remain unresolved. | Charter Article III enumerates these offices; several seat/term details remain unresolved. | Charter Article III enumerates these offices; several seat/term details remain unresolved. | Charter Article III enumerates these offices; several seat/term details remain unresolved. | Charter Article III enumerates these offices; several seat/term details remain unresolved.,locally-researched-partial-or-substantial
Acton,,8,5,3,https://actonma.gov/election,https://actonma.gov/election,https://actonma.gov/598,0,0,0,schema-valid-for-serialized-persons,Assistant Moderator and specified fund trustees are elected at Annual Town Meeting rather than by ordinary ballot. Water District and library seat counts need further legal normalization. | Assistant Moderator and specified fund trustees are elected at Annual Town Meeting rather than by ordinary ballot. Water District and library seat counts need further legal normalization. | Assistant Moderator and specified fund trustees are elected at Annual Town Meeting rather than by ordinary ballot. Water District and library seat counts need further legal normalization.,locally-researched-partial-or-substantial
Acushnet,,13,13,0,https://acushnet.ma.us/1200/Elected-Officials | https://www.acushnet.ma.us/1291/Board-of-Selectmen | https://www.acushnet.ma.us/1206/Town-Clerk,https://www.acushnet.ma.us/1206/Town-Clerk,https://www.acushnet.ma.us/1928/2026-Annual-Town-Election-Results,0,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Adams,,15,7,8,https://www.town.adams.ma.us/town-administrator/pages/act-establishing-selectmen-administrator-form-government-town-adams | https://www.town.adams.ma.us/planning-board | https://www.town.adams.ma.us/board-selectmen/pages/what-we-do,https://www.town.adams.ma.us/town-clerk/pages/elections-voting,,0,0,0,schema-valid-for-serialized-persons,Elected status established by the Adams selectmen-administrator special act; total board/authority seat count still being normalized where null. | Elected status established by the Adams selectmen-administrator special act; total board/authority seat count still being normalized where null. | Elected status established by the Adams selectmen-administrator special act; total board/authority seat count still being normalized where null. | Elected status established by the Adams selectmen-administrator special act; total board/authority seat count still being normalized where null. | Elected status established by the Adams selectmen-administrator special act; total board/authority seat count still being normalized where null. | Elected status established by the Adams selectmen-administrator special act; total board/authority seat count still being normalized where null. | Elected status established by the Adams selectmen-administrator special act; total board/authority seat count still being normalized where null. | Representative Town Meeting; exact elected member count/precinct allocation remains to be normalized from the representative-town-meeting special act.,locally-researched-partial-or-substantial
Agawam,,3,3,0,https://www.agawam.ma.us/190/City-Council | https://ecode360.com/12065192 | https://ecode360.com/12065211?searchId=14400851291514820,https://www.agawam.ma.us/231/Election-Information,https://www.agawam.ma.us/231/Election-Information,0,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Alford,,4,1,3,https://www.townofalford.org/home/town-clerk-office/news/nomination-papers-available-annual-town-election-may-19-2026 | https://www.townofalford.org/select-board,https://www.townofalford.org/home/town-clerk-office/news/nomination-papers-available-annual-town-election-may-19-2026,,0,0,0,schema-valid-for-serialized-persons,2026 nomination notice confirms elected Finance Committee seats; total committee size remains unresolved.,locally-researched-partial-or-substantial
Amesbury,,5,2,3,https://malegislature.gov/Laws/SessionLaws/Acts/2021/Chapter46,https://www.amesburyma.gov/329/Elections,https://www.amesburyma.gov/329/Elections,0,0,0,schema-valid-for-serialized-persons,"School Committee has 6 elected citywide members plus Mayor ex officio, 7 total. | School Committee has 6 elected citywide members plus Mayor ex officio, 7 total. | School Committee has 6 elected citywide members plus Mayor ex officio, 7 total.",locally-researched-partial-or-substantial
Amherst,,6,6,0,https://www.amherstma.gov/1079/Running-for-Elected-Office,https://www.amherstma.gov/1079/Running-for-Elected-Office,,0,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Andover,,7,3,4,https://ecode360.com/15616144 | https://ecode360.com/15615550 | https://www.andoverma.gov/27/Governance,https://www.andoverma.gov/348/Elections,https://www.andoverma.gov/348/Elections,0,0,0,schema-valid-for-serialized-persons,"Elected at Town Meeting from the floor, not by ordinary ballot. | Charter/bylaw confirms elected status; total current elected trustee count not normalized in this pass.",locally-researched-partial-or-substantial
Aquinnah,,7,2,5,https://www.aquinnah-ma.gov/home/news/aq-annual-town-meeting-and-election-information-nominations-papers-are-available-0,https://www.aquinnah-ma.gov/home/news/aq-annual-town-meeting-and-election-information-nominations-papers-are-available-0,https://www.aquinnah-ma.gov/home/news/may-15th-2025-aquinnah-town-election-results,0,0,0,schema-valid-for-serialized-persons,2026 official nomination notice confirms this is an elected office; total board/committee size remains unresolved where seats is null. | 2026 official nomination notice confirms this is an elected office; total board/committee size remains unresolved where seats is null. | 2026 official nomination notice confirms this is an elected office; total board/committee size remains unresolved where seats is null. | 2026 official nomination notice confirms this is an elected office; total board/committee size remains unresolved where seats is null. | 2026 official nomination notice confirms this is an elected office; total board/committee size remains unresolved where seats is null.,locally-researched-partial-or-substantial
Arlington,,5,2,3,https://www.arlingtonma.gov/Home/Components/News/News/11488/191 | https://www.arlingtonma.gov/i-want-to/learn-about/arlington-history-facts,https://www.arlingtonma.gov/Home/Components/News/News/11488/191,https://www.arlingtonma.gov/i-want-to/advanced-components/custom-documents-images-calendar/-item-22885/-selcat-86/-sortn-EName/-folder-6426/-toggle-next30days/-sortd-asc,0,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Ashburnham,,7,7,0,https://www.ashburnham-ma.gov/350/Elected-Town-Officials | https://ecode360.com/38371406 | https://ashburnham-ma.gov/387/Select-Board,https://ashburnham-ma.gov/743/ELECTION-INFO---2026,https://ashburnham-ma.gov/743/ELECTION-INFO---2026,0,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Ashby,,11,4,7,https://www.ashbyma.gov/departments/town-clerk/elected-appointed-offices/ | https://www.ashbyma.gov/departments/selectboard/,https://www.ashbyma.gov/departments/town-clerk/elected-appointed-offices/,https://www.ashbyma.gov/,0,0,0,schema-valid-for-serialized-persons,Official elected/appointed office page confirms elected status and term; total board size unresolved where seats is null. | Official elected/appointed office page confirms elected status and term; total board size unresolved where seats is null. | Official elected/appointed office page confirms elected status and term; total board size unresolved where seats is null. | Official elected/appointed office page confirms elected status and term; total board size unresolved where seats is null. | Official elected/appointed office page confirms elected status and term; total board size unresolved where seats is null. | Official elected/appointed office page confirms elected status and term; total board size unresolved where seats is null. | Official elected/appointed office page confirms elected status and term; total board size unresolved where seats is null.,locally-researched-partial-or-substantial
