municipality,office_body,status,controlling_source_url,note,retrieved_on
Orange,Finance Committee,appointed,https://malegislature.gov/Laws/SessionLaws/Acts/2026/Chapter116,Charter provides for a seven-member Finance Committee appointed by the Moderator.,2026-08-25
Orange,Deputy Moderator,appointed,https://malegislature.gov/Laws/SessionLaws/Acts/2026/Chapter116,"Deputy Moderator is appointed, not separately elected.",2026-08-25
Orange,Sewer and Wastewater Commission,appointed,https://malegislature.gov/Laws/SessionLaws/Acts/2026/Chapter116,Charter establishes an appointed three-member Sewer and Wastewater Commission.,2026-08-25
Orange,Planning Board,appointed,https://townoforange.org/31/About-Us,Official town materials identify the Planning Board as appointed by the Select Board.,2026-08-25
Orange,Zoning Board of Appeals,appointed,https://malegislature.gov/Laws/SessionLaws/Acts/2026/Chapter116,Charter provides for Select Board appointment of members/associates.,2026-08-25
Orange,Town Manager,appointed,https://malegislature.gov/Laws/SessionLaws/Acts/2026/Chapter116,Town Manager is appointed by the Select Board.,2026-08-25
Orange,Treasurer,appointed,https://www.townoforange.org/DocumentCenter/View/1119,Official town-vote history records conversion of Treasurer to appointed status.,2026-08-25
Orange,Tree Warden,appointed,https://www.townoforange.org/DocumentCenter/View/1119,Official town-vote history records conversion of Tree Warden to appointed status.,2026-08-25
Orange,Housing Authority state-appointed seat,appointed,https://malegislature.gov/Laws/SessionLaws/Acts/2026/Chapter116,Excluded from the three locally elected Housing Authority seats.,2026-08-25
Orange,Housing Authority tenant/resident-appointed seat,appointed,https://malegislature.gov/Laws/SessionLaws/Acts/2026/Chapter116,Excluded from the three locally elected Housing Authority seats.,2026-08-25
Orleans,Board of Water and Sewer Commissioners,appointed,https://www.orleansma.gov/880/Boards-Committees,Current town composition is appointment-based rather than a voter-elected municipal office.,2026-08-25
Orleans,Finance Committee,appointed,https://www.orleansma.gov/880/Boards-Committees,Finance Committee members are appointed by the Moderator.,2026-08-25
Orleans,Housing Authority Governor's appointee,appointed,https://www.orleansma.gov/743/Housing-Authority,Governor-appointed seat is excluded from the three locally elected seats.,2026-08-25
Otis,Treasurer,appointed,https://townofotisma.com/Documents/Boards%20Commissions/Elections%20Board%20of%20Registrars/Town%20Meeting%20Minutes/Annual%20Town%20Meeting%20Minutes%20May%2018%202021.pdf?t=202510230809540,2021 Annual Town Meeting converted Treasurer from elected to appointed.,2026-08-25
Otis,Library Trustee appointed seats,appointed,https://townofotisma.com/departments/library/index.php,"Current official library roster explicitly labels Greg Dow, Celeste Watman, Katharine Meehan, and Thomas Burke as appointed; they are excluded from the three elected trustee seats.",2026-08-25
Oxford,Finance Committee,appointed,https://oxfordma.us/Archive/ViewFile/Item/238,Official town officer listing places Finance Committee under appointments by the Town Moderator.,2026-08-25
Oxford,Housing Authority state appointee,appointed,https://www.oxfordma.us/895/Housing-Authority,State-appointed member is excluded from the three elected Housing Authority seats.,2026-08-25
Oxford,Housing Authority tenant member,appointed,https://www.oxfordma.us/895/Housing-Authority,Tenant member is not counted among the three elected seats.,2026-08-25
Oxford,Town Manager,appointed,https://oxfordma.us/Archive/ViewFile/Item/238,"Town Manager is an appointive town officer, not a voter-elected office.",2026-08-25
Palmer,Town Manager,appointed,https://www.townofpalmer.com/vertical/sites/%7B034F9CAE-5196-4551-90C2-FBFD76374BDB%7D/uploads/Town_Charter_1-7-13.pdf,Council-manager charter provides for an appointed professional Town Manager.,2026-08-25
Palmer,Palmer Fire/Water District No. 1 Treasurer,appointed,https://malegislature.gov/Journal/Senate/186/14776/sj01042011_1100AM.pdf,Special legislation changed the District No. 1 Treasurer to appointment; it is not modeled as elected.,2026-08-25
