municipality,office_id,role,elected,seats,seat_structure,term_years,staggered_terms,partisan,legal_source_url,election_source_url,results_source_url,verification_status,notes,local_title
Littleton,littleton-ma/select-board,Select Board Member,True,5,board,3,True,,https://www.littletonma.org/DocumentCenter/View/10320/2026-Annual-Town-Election-Warrant-PDF,https://www.littletonma.org/DocumentCenter/View/10320/2026-Annual-Town-Election-Warrant-PDF,https://www.littletonma.org/179/Elections,schema-ready,,Select Board Member
Littleton,littleton-ma/moderator,Town Moderator,True,1,single,3,False,,https://www.littletonma.org/DocumentCenter/View/10320/2026-Annual-Town-Election-Warrant-PDF,https://www.littletonma.org/DocumentCenter/View/10320/2026-Annual-Town-Election-Warrant-PDF,https://www.littletonma.org/179/Elections,schema-ready,,Town Moderator
Littleton,littleton-ma/board-of-assessors,Assessor,True,3,board,3,True,,https://www.littletonma.org/DocumentCenter/View/10320/2026-Annual-Town-Election-Warrant-PDF,https://www.littletonma.org/DocumentCenter/View/10320/2026-Annual-Town-Election-Warrant-PDF,https://www.littletonma.org/179/Elections,schema-ready,,Assessor
Littleton,littleton-ma/board-of-health,Board of Health Member,True,3,board,3,True,,https://www.littletonma.org/DocumentCenter/View/10320/2026-Annual-Town-Election-Warrant-PDF,https://www.littletonma.org/DocumentCenter/View/10320/2026-Annual-Town-Election-Warrant-PDF,https://www.littletonma.org/179/Elections,schema-ready,,Board of Health Member
Littleton,littleton-ma/cemetery-commission,Cemetery Commissioner,True,3,board,3,True,,https://www.littletonma.org/DocumentCenter/View/10320/2026-Annual-Town-Election-Warrant-PDF,https://www.littletonma.org/DocumentCenter/View/10320/2026-Annual-Town-Election-Warrant-PDF,https://www.littletonma.org/179/Elections,schema-ready,,Cemetery Commissioner
Littleton,littleton-ma/electric-light-commission,Electric Light Commissioner,True,5,board,3,True,,https://www.littletonma.org/DocumentCenter/View/10320/2026-Annual-Town-Election-Warrant-PDF,https://www.littletonma.org/DocumentCenter/View/10320/2026-Annual-Town-Election-Warrant-PDF,https://www.littletonma.org/179/Elections,schema-ready,,Electric Light Commissioner
Littleton,littleton-ma/library-trustees,Library Trustee,True,6,board,3,True,,https://www.littletonma.org/DocumentCenter/View/10320/2026-Annual-Town-Election-Warrant-PDF,https://www.littletonma.org/DocumentCenter/View/10320/2026-Annual-Town-Election-Warrant-PDF,https://www.littletonma.org/179/Elections,schema-ready,,Library Trustee
Littleton,littleton-ma/parks-recreation-commission,Park and Recreation Commissioner,True,5,board,3,True,,https://www.littletonma.org/DocumentCenter/View/10320/2026-Annual-Town-Election-Warrant-PDF,https://www.littletonma.org/DocumentCenter/View/10320/2026-Annual-Town-Election-Warrant-PDF,https://www.littletonma.org/179/Elections,schema-ready,,Park and Recreation Commissioner
Littleton,littleton-ma/housing-authority,Housing Authority Member,True,3,board,5,True,,https://www.littletonma.org/DocumentCenter/View/10320/2026-Annual-Town-Election-Warrant-PDF,https://www.littletonma.org/DocumentCenter/View/10320/2026-Annual-Town-Election-Warrant-PDF,https://www.littletonma.org/179/Elections,schema-ready,Three voter-elected seats; tenant/state appointees excluded.,Housing Authority Member
Littleton,littleton-ma/planning-board,Planning Board Member,True,5,board,5,True,,https://www.littletonma.org/DocumentCenter/View/10320/2026-Annual-Town-Election-Warrant-PDF,https://www.littletonma.org/DocumentCenter/View/10320/2026-Annual-Town-Election-Warrant-PDF,https://www.littletonma.org/179/Elections,schema-ready,,Planning Board Member
Littleton,littleton-ma/school-committee,School Committee Member,True,5,board,3,True,,https://www.littletonma.org/DocumentCenter/View/10320/2026-Annual-Town-Election-Warrant-PDF,https://www.littletonma.org/DocumentCenter/View/10320/2026-Annual-Town-Election-Warrant-PDF,https://www.littletonma.org/179/Elections,schema-ready,,School Committee Member
Littleton,littleton-ma/commissioners-of-trust-funds,Commissioner of Trust Funds,True,3,board,3,True,,https://www.littletonma.org/DocumentCenter/View/10320/2026-Annual-Town-Election-Warrant-PDF,https://www.littletonma.org/DocumentCenter/View/10320/2026-Annual-Town-Election-Warrant-PDF,https://www.littletonma.org/179/Elections,schema-ready,,Commissioner of Trust Funds
Littleton,littleton-ma/water-commission,Water Commissioner,True,5,board,3,True,,https://www.littletonma.org/DocumentCenter/View/10320/2026-Annual-Town-Election-Warrant-PDF,https://www.littletonma.org/DocumentCenter/View/10320/2026-Annual-Town-Election-Warrant-PDF,https://www.littletonma.org/179/Elections,schema-ready,,Water Commissioner
Longmeadow,longmeadow-ma/moderator,Town Moderator,True,1,single,3,False,,https://www.longmeadowma.gov/DocumentCenter/View/10640/2026-Candidate-Packet-PDF,https://www.longmeadowma.gov/169/Election-Information,https://www.longmeadowma.gov/169/Election-Information,schema-ready,,Town Moderator
Longmeadow,longmeadow-ma/select-board,Select Board Member,True,5,board,3,True,,https://www.longmeadowma.gov/DocumentCenter/View/10640/2026-Candidate-Packet-PDF,https://www.longmeadowma.gov/169/Election-Information,https://www.longmeadowma.gov/169/Election-Information,schema-ready,,Select Board Member
Longmeadow,longmeadow-ma/school-committee,School Committee Member,True,7,board,3,True,,https://www.longmeadowma.gov/DocumentCenter/View/10640/2026-Candidate-Packet-PDF,https://www.longmeadowma.gov/169/Election-Information,https://www.longmeadowma.gov/169/Election-Information,schema-ready,,School Committee Member
Longmeadow,longmeadow-ma/planning-board,Planning Board Member,True,5,board,5,True,,https://www.longmeadowma.gov/DocumentCenter/View/10640/2026-Candidate-Packet-PDF,https://www.longmeadowma.gov/169/Election-Information,https://www.longmeadowma.gov/169/Election-Information,schema-ready,,Planning Board Member
Longmeadow,longmeadow-ma/housing-authority,Housing Authority Member,True,3,board,5,True,,https://www.longmeadowma.gov/DocumentCenter/View/10640/2026-Candidate-Packet-PDF,https://www.longmeadowma.gov/169/Election-Information,https://www.longmeadowma.gov/169/Election-Information,schema-ready,Three local voter-elected seats; tenant and Commonwealth appointees excluded.,Housing Authority Member
Lowell,lowell-ma/councilor-at-large,City Councilor At-Large,True,3,board,2,False,,https://www.lowellma.gov/DocumentCenter/View/23063/2025-Municipal-Election-Candidate-List-PDF,https://www.lowellma.gov/294/Elections,https://www.lowellma.gov/294/Elections,schema-ready,,City Councilor At-Large
Lowell,lowell-ma/district-councilor,District City Councilor,True,8,districted-board,2,False,,https://www.lowellma.gov/DocumentCenter/View/23063/2025-Municipal-Election-Candidate-List-PDF,https://www.lowellma.gov/294/Elections,https://www.lowellma.gov/294/Elections,schema-ready,One seat in each of eight council districts.,District City Councilor
Lowell,lowell-ma/school-committee-at-large,School Committee Member At-Large,True,2,board,2,False,,https://www.lowellma.gov/DocumentCenter/View/23063/2025-Municipal-Election-Candidate-List-PDF,https://www.lowellma.gov/294/Elections,https://www.lowellma.gov/294/Elections,schema-ready,,School Committee Member At-Large
Lowell,lowell-ma/district-school-committee,District School Committee Member,True,4,districted-board,2,False,,https://www.lowellma.gov/DocumentCenter/View/23063/2025-Municipal-Election-Candidate-List-PDF,https://www.lowellma.gov/294/Elections,https://www.lowellma.gov/294/Elections,schema-ready,One seat in each of four school districts.,District School Committee Member
Montgomery,montgomery-ma/select-board,Select Board Member,True,3,board,3,True,,https://montgomeryma.gov/wp-content/uploads/2026/05/MT-Breeze-MAY-2026.pdf,https://montgomeryma.gov/,https://montgomeryma.gov/,schema-ready,,Select Board Member
Montgomery,montgomery-ma/town-clerk,Town Clerk,True,1,single,3,False,,https://montgomeryma.gov/wp-content/uploads/2026/05/MT-Breeze-MAY-2026.pdf,https://montgomeryma.gov/,https://montgomeryma.gov/,schema-ready,,Town Clerk
Montgomery,montgomery-ma/treasurer-collector,Treasurer/Collector,True,1,single,3,False,,https://montgomeryma.gov/wp-content/uploads/2023/04/MT-Breeze-APRIL2023-sm.pdf,https://montgomeryma.gov/,https://montgomeryma.gov/,schema-ready,,Treasurer/Collector
Montgomery,montgomery-ma/board-of-assessors,Assessor,True,3,board,3,True,,https://montgomeryma.gov/wp-content/uploads/2026/05/MT-Breeze-MAY-2026.pdf,https://montgomeryma.gov/,https://montgomeryma.gov/,schema-ready,,Assessor
Montgomery,montgomery-ma/planning-board,Planning Board Member,True,5,board,5,True,,https://montgomeryma.gov/wp-content/uploads/2026/05/MT-Breeze-MAY-2026.pdf,https://montgomeryma.gov/,https://montgomeryma.gov/,schema-ready,,Planning Board Member
Montgomery,montgomery-ma/school-committee-representative,Gateway Regional School Committee Representative,True,1,single,3,False,,https://montgomeryma.gov/wp-content/uploads/2026/05/MT-Breeze-MAY-2026.pdf,https://montgomeryma.gov/,https://montgomeryma.gov/,schema-ready,,Gateway Regional School Committee Representative
Montgomery,montgomery-ma/moderator,Town Moderator,True,1,single,1,False,,https://montgomeryma.gov/wp-content/uploads/2026/05/MT-Breeze-MAY-2026.pdf,https://montgomeryma.gov/,https://montgomeryma.gov/,schema-ready,,Town Moderator
