municipality,office_id,role,elected,seats,seat_structure,term_years,staggered_terms,partisan,legal_source_url,election_source_url,results_source_url,verification_status,notes,local_title
Abington,abington-ma/assessor,Assessor,True,3,at-large,3,True,,https://ecode360.com/34424196,https://www.abingtonma.gov/article/2162181,https://www.abingtonma.gov/article/2171924,schema-ready,Charter Article III enumerates these offices; several seat/term details remain unresolved.,Assessor
Abington,abington-ma/board-of-health-member,Board of Health Member,True,5,at-large,3,True,,https://ecode360.com/34424196,https://www.abingtonma.gov/article/2162181,https://www.abingtonma.gov/article/2171924,schema-ready,Charter Article III enumerates these offices; several seat/term details remain unresolved.,Board of Health Member
Abington,abington-ma/housing-authority-member,Housing Authority Member,True,,at-large,,,,https://ecode360.com/34424196,https://www.abingtonma.gov/article/2162181,https://www.abingtonma.gov/article/2171924,elected-status-verified-seat-count-unresolved,Charter Article III enumerates these offices; several seat/term details remain unresolved.,Housing Authority Member
Abington,abington-ma/library-trustee,Library Trustee,True,9,at-large,3,True,,https://ecode360.com/34424196,https://www.abingtonma.gov/article/2162181,https://www.abingtonma.gov/article/2171924,schema-ready,Charter Article III enumerates these offices; several seat/term details remain unresolved.,Library Trustee
Abington,abington-ma/moderator,Moderator,True,1,at-large,,False,,https://ecode360.com/34424196,https://www.abingtonma.gov/article/2162181,https://www.abingtonma.gov/article/2171924,schema-ready,Charter Article III enumerates these offices; several seat/term details remain unresolved.,Moderator
Abington,abington-ma/planning-board-member,Planning Board Member,True,,at-large,,,,https://ecode360.com/34424196,https://www.abingtonma.gov/article/2162181,https://www.abingtonma.gov/article/2171924,elected-status-verified-seat-count-unresolved,Charter Article III enumerates these offices; several seat/term details remain unresolved.,Planning Board Member
Abington,abington-ma/school-committee-member,School Committee Member,True,5,at-large,3,True,,https://ecode360.com/34424196,https://www.abingtonma.gov/article/2162181,https://www.abingtonma.gov/article/2171924,schema-ready,Charter Article III enumerates these offices; several seat/term details remain unresolved.,School Committee Member
Abington,abington-ma/select-board-member,Select Board Member,True,,at-large,,,,https://ecode360.com/34424196,https://www.abingtonma.gov/article/2162181,https://www.abingtonma.gov/article/2171924,elected-status-verified-seat-count-unresolved,Charter Article III enumerates these offices; several seat/term details remain unresolved.,Select Board Member
Abington,abington-ma/sewer-commissioner,Sewer Commissioner,True,,at-large,,,,https://ecode360.com/34424196,https://www.abingtonma.gov/article/2162181,https://www.abingtonma.gov/article/2171924,elected-status-verified-seat-count-unresolved,Charter Article III enumerates these offices; several seat/term details remain unresolved.,Sewer Commissioner
Abington,abington-ma/town-clerk,Town Clerk,True,1,at-large,,False,,https://ecode360.com/34424196,https://www.abingtonma.gov/article/2162181,https://www.abingtonma.gov/article/2171924,schema-ready,Charter Article III enumerates these offices; several seat/term details remain unresolved.,Town Clerk
