dist_code,dist_name,town_count,towns,type_guess
00010000,Abington,1,Abington,single-town
00030000,Acushnet,1,Acushnet,single-town
00050000,Agawam,1,Agawam,single-town
00070000,Amesbury,1,Amesbury,single-town
00080000,Amherst,1,Amherst,single-town
00090000,Andover,1,Andover,single-town
00100000,Arlington,1,Arlington,single-town
00140000,Ashland,1,Ashland,single-town
00160000,Attleboro,1,Attleboro,single-town
00170000,Auburn,1,Auburn,single-town
00180000,Avon,1,Avon,single-town
00200000,Barnstable,1,Barnstable,single-town
00230000,Bedford,1,Bedford,single-town
00240000,Belchertown,1,Belchertown,single-town
00250000,Bellingham,1,Bellingham,single-town
00260000,Belmont,1,Belmont,single-town
00270000,Berkley,1,Berkley,single-town
00300000,Beverly,1,Beverly,single-town
00310000,Billerica,1,Billerica,single-town
00350000,Boston,1,Boston,single-town
00360000,Bourne,1,Bourne,single-town
00380000,Boxford,1,Boxford,single-town
00400000,Braintree,1,Braintree,single-town
00410000,Brewster,1,Brewster,single-town
00430000,Brimfield,1,Brimfield,single-town
00440000,Brockton,1,Brockton,single-town
00450000,Brookfield,1,Brookfield,single-town
00460000,Brookline,1,Brookline,single-town
00480000,Burlington,1,Burlington,single-town
00490000,Cambridge,1,Cambridge,single-town
00500000,Canton,1,Canton,single-town
00510000,Carlisle,1,Carlisle,single-town
00520000,Carver,1,Carver,single-town
00560000,Chelmsford,1,Chelmsford,single-town
00570000,Chelsea,1,Chelsea,single-town
00610000,Chicopee,1,Chicopee,single-town
00630000,Clarksburg,1,Clarksburg,single-town
00640000,Clinton,1,Clinton,single-town
00650000,Cohasset,1,Cohasset,single-town
00670000,Concord,1,Concord,single-town
00680000,Conway,1,Conway,single-town
00710000,Danvers,1,Danvers,single-town
00720000,Dartmouth,1,Dartmouth,single-town
00730000,Dedham,1,Dedham,single-town
00740000,Deerfield,1,Deerfield,single-town
00770000,Douglas,1,Douglas,single-town
00780000,Dover,1,Dover,single-town
00790000,Dracut,1,Dracut,single-town
00820000,Duxbury,1,Duxbury,single-town
00830000,East Bridgewater,1,East Bridgewater,single-town
00850000,Eastham,1,Eastham,single-town
00860000,Easthampton,1,Easthampton,single-town
00870000,East Longmeadow,1,East Longmeadow,single-town
00880000,Easton,1,Easton,single-town
00890000,Edgartown,1,Edgartown,single-town
00910000,Erving,1,Erving,single-town
00930000,Everett,1,Everett,single-town
00940000,Fairhaven,1,Fairhaven,single-town
00950000,Fall River,1,Fall River,single-town
00960000,Falmouth,1,Falmouth,single-town
00970000,Fitchburg,1,Fitchburg,single-town
00980000,Florida,1,Florida,single-town
00990000,Foxborough,1,Foxborough,single-town
01000000,Framingham,1,Framingham,single-town
01010000,Franklin,1,Franklin,single-town
01030000,Gardner,1,Gardner,single-town
01050000,Georgetown,1,Georgetown,single-town
01070000,Gloucester,1,Gloucester,single-town
01100000,Grafton,1,Grafton,single-town
01110000,Granby,1,Granby,single-town
01140000,Greenfield,1,Greenfield,single-town
01170000,Hadley,1,Hadley,single-town
01180000,Halifax,1,Halifax,single-town
01210000,Hancock,1,Hancock,single-town
01220000,Hanover,1,Hanover,single-town
01250000,Harvard,1,Harvard,single-town
01270000,Hatfield,1,Hatfield,single-town
01280000,Haverhill,1,Haverhill,single-town
01310000,Hingham,1,Hingham,single-town
01330000,Holbrook,1,Holbrook,single-town
01350000,Holland,1,Holland,single-town
01360000,Holliston,1,Holliston,single-town
01370000,Holyoke,1,Holyoke,single-town
01380000,Hopedale,1,Hopedale,single-town
01390000,Hopkinton,1,Hopkinton,single-town
01410000,Hudson,1,Hudson,single-town
01420000,Hull,1,Hull,single-town
01440000,Ipswich,1,Ipswich,single-town
01450000,Kingston,1,Kingston,single-town
01490000,Lawrence,1,Lawrence,single-town
01500000,Lee,1,Lee,single-town
01510000,Leicester,1,Leicester,single-town
01520000,Lenox,1,Lenox,single-town
01530000,Leominster,1,Leominster,single-town
01540000,Leverett,1,Leverett,single-town
01550000,Lexington,1,Lexington,single-town
01570000,Lincoln,1,Lincoln,single-town
01580000,Littleton,1,Littleton,single-town
01590000,Longmeadow,1,Longmeadow,single-town
01600000,Lowell,1,Lowell,single-town
01610000,Ludlow,1,Ludlow,single-town
01620000,Lunenburg,1,Lunenburg,single-town
01630000,Lynn,1,Lynn,single-town
01640000,Lynnfield,1,Lynnfield,single-town
01650000,Malden,1,Malden,single-town
01670000,Mansfield,1,Mansfield,single-town
01680000,Marblehead,1,Marblehead,single-town
01690000,Marion,1,Marion,single-town
01700000,Marlborough,1,Marlborough,single-town
01710000,Marshfield,1,Marshfield,single-town
01720000,Mashpee,1,Mashpee,single-town
01730000,Mattapoisett,1,Mattapoisett,single-town
01740000,Maynard,1,Maynard,single-town
01750000,Medfield,1,Medfield,single-town
01760000,Medford,1,Medford,single-town
01770000,Medway,1,Medway,single-town
01780000,Melrose,1,Melrose,single-town
01810000,Methuen,1,Methuen,single-town
01820000,Middleborough,1,Middleborough,single-town
01840000,Middleton,1,Middleton,single-town
01850000,Milford,1,Milford,single-town
01860000,Millbury,1,Millbury,single-town
01870000,Millis,1,Millis,single-town
01890000,Milton,1,Milton,single-town
01910000,Monson,1,Monson,single-town
01960000,Nahant,1,Nahant,single-town
01970000,Nantucket,1,Nantucket,single-town
01980000,Natick,1,Natick,single-town
01990000,Needham,1,Needham,single-town
02010000,New Bedford,1,New Bedford,single-town
02040000,Newburyport,1,Newburyport,single-town
02070000,Newton,1,Newton,single-town
02080000,Norfolk,1,Norfolk,single-town
02090000,North Adams,1,North Adams,single-town
02100000,Northampton,1,Northampton,single-town
02110000,North Andover,1,North Andover,single-town
02120000,North Attleborough,1,North Attleborough,single-town
02130000,Northborough,1,Northborough,single-town
02140000,Northbridge,1,Northbridge,single-town
02150000,North Brookfield,1,North Brookfield,single-town
02170000,North Reading,1,North Reading,single-town
02180000,Norton,1,Norton,single-town
02190000,Norwell,1,Norwell,single-town
02200000,Norwood,1,Norwood,single-town
02210000,Oak Bluffs,1,Oak Bluffs,single-town
02230000,Orange,1,Orange,single-town
02240000,Orleans,1,Orleans,single-town
02260000,Oxford,1,Oxford,single-town
02270000,Palmer,1,Palmer,single-town
02290000,Peabody,1,Peabody,single-town
02300000,Pelham,1,Pelham,single-town
02310000,Pembroke,1,Pembroke,single-town
02340000,Petersham,1,Petersham,single-town
02360000,Pittsfield,1,Pittsfield,single-town
02380000,Plainville,2,Chelsea;Plainville,regional/voc-tech
02390000,Plymouth,1,Plymouth,single-town
02400000,Plympton,1,Plympton,single-town
02420000,Provincetown,1,Provincetown,single-town
02430000,Quincy,1,Quincy,single-town
02440000,Randolph,1,Randolph,single-town
02460000,Reading,1,Reading,single-town
02480000,Revere,1,Revere,single-town
02490000,Richmond,1,Richmond,single-town
02500000,Rochester,1,Rochester,single-town
02510000,Rockland,1,Rockland,single-town
02520000,Rockport,1,Rockport,single-town
02530000,Rowe,1,Rowe,single-town
02580000,Salem,1,Salem,single-town
02610000,Sandwich,1,Sandwich,single-town
02620000,Saugus,1,Saugus,single-town
02630000,Savoy,1,Savoy,single-town
02640000,Scituate,1,Scituate,single-town
02650000,Seekonk,1,Seekonk,single-town
02660000,Sharon,1,Sharon,single-town
02690000,Sherborn,1,Sherborn,single-town
02710000,Shrewsbury,1,Shrewsbury,single-town
02720000,Shutesbury,1,Shutesbury,single-town
02730000,Somerset,1,Somerset,single-town
02740000,Somerville,1,Somerville,single-town
02750000,Southampton,1,Southampton,single-town
02760000,Southborough,1,Southborough,single-town
02770000,Southbridge,1,Southbridge,single-town
02780000,South Hadley,1,South Hadley,single-town
02810000,Springfield,1,Springfield,single-town
02840000,Stoneham,1,Stoneham,single-town
02850000,Stoughton,1,Stoughton,single-town
02870000,Sturbridge,1,Sturbridge,single-town
02880000,Sudbury,1,Sudbury,single-town
02890000,Sunderland,1,Sunderland,single-town
02900000,Sutton,1,Sutton,single-town
02910000,Swampscott,1,Swampscott,single-town
02920000,Swansea,1,Swansea,single-town
02930000,Taunton,1,Taunton,single-town
02950000,Tewksbury,1,Tewksbury,single-town
02960000,Tisbury,1,Tisbury,single-town
02980000,Topsfield,1,Topsfield,single-town
03000000,Truro,1,Truro,single-town
03010000,Tyngsborough,1,Tyngsborough,single-town
03040000,Uxbridge,1,Uxbridge,single-town
03050000,Wakefield,1,Wakefield,single-town
03060000,Wales,1,Wales,single-town
03070000,Walpole,1,Walpole,single-town
03080000,Waltham,1,Waltham,single-town
03090000,Ware,1,Ware,single-town
03100000,Wareham,1,Wareham,single-town
03120000,Warwick,1,Warwick,single-town
03140000,Watertown,1,Watertown,single-town
03150000,Wayland,1,Wayland,single-town
03160000,Webster,1,Webster,single-town
03170000,Wellesley,1,Wellesley,single-town
03180000,Wellfleet,1,Wellfleet,single-town
03210000,Westborough,1,Westborough,single-town
03220000,West Boylston,1,West Boylston,single-town
03230000,West Bridgewater,1,West Bridgewater,single-town
03250000,Westfield,1,Westfield,single-town
03260000,Westford,1,Westford,single-town
03270000,Westhampton,1,Westhampton,single-town
03300000,Weston,1,Weston,single-town
03310000,Westport,1,Westport,single-town
03320000,West Springfield,1,West Springfield,single-town
03350000,Westwood,1,Westwood,single-town
03360000,Weymouth,1,Weymouth,single-town
03370000,Whately,1,Whately,single-town
03400000,Williamsburg,1,Williamsburg,single-town
03420000,Wilmington,1,Wilmington,single-town
03430000,Winchendon,1,Winchendon,single-town
03440000,Winchester,1,Winchester,single-town
03460000,Winthrop,1,Winthrop,single-town
03470000,Woburn,1,Woburn,single-town
03480000,Worcester,1,Worcester,single-town
03490000,Worthington,1,Worthington,single-town
03500000,Wrentham,1,Wrentham,single-town
04060000,Northampton-Smith Vocational Agricultural,1,Northampton,single-town
04680000,Ma Academy for Math and Science,34,Acton;Andover;Auburn;Berlin;Boylston;Canton;Charlton;Dudley;Framingham;Franklin;Grafton;Harvard;Holden;Hopkinton;Hudson;Leominster;Lexington;Mendon;Milford;Needham;North Attleborough;Northborough;Oxford;Princeton;Shrewsbury;Southborough;Sutton;Upton;Uxbridge;West Boylston;Westborough;Westford;Worcester;Wrentham,regional/voc-tech
06000000,Acton-Boxborough,2,Acton;Boxborough,regional/voc-tech
06030000,Hoosac Valley Regional,2,Adams;Cheshire,regional/voc-tech
06050000,Amherst-Pelham,4,Amherst;Leverett;Pelham;Shutesbury,regional/voc-tech
06100000,Ashburnham-Westminster,2,Ashburnham;Westminster,regional/voc-tech
06150000,Athol-Royalston,2,Athol;Royalston,regional/voc-tech
06160000,Ayer Shirley School District,2,Ayer;Shirley,regional/voc-tech
06180000,Berkshire Hills,3,Great Barrington;Stockbridge;West Stockbridge,regional/voc-tech
06200000,Berlin-Boylston,2,Berlin;Boylston,regional/voc-tech
06220000,Blackstone-Millville,2,Blackstone;Millville,regional/voc-tech
06250000,Bridgewater-Raynham,2,Bridgewater;Raynham,regional/voc-tech
06320000,Chesterfield-Goshen,2,Chesterfield;Goshen,regional/voc-tech
06350000,Central Berkshire,7,Becket;Cummington;Dalton;Hinsdale;Peru;Washington;Windsor,regional/voc-tech
06400000,Concord-Carlisle,2,Carlisle;Concord,regional/voc-tech
06450000,Dennis-Yarmouth,2,Dennis;Yarmouth,regional/voc-tech
06500000,Dighton-Rehoboth,2,Dighton;Rehoboth,regional/voc-tech
06550000,Dover-Sherborn,2,Dover;Sherborn,regional/voc-tech
06580000,Dudley-Charlton Reg,2,Charlton;Dudley,regional/voc-tech
06600000,Nauset,4,Brewster;Eastham;Orleans;Wellfleet,regional/voc-tech
06620000,Farmington River Reg,2,Otis;Sandisfield,regional/voc-tech
06650000,Freetown-Lakeville,2,Freetown;Lakeville,regional/voc-tech
06700000,Frontier,4,Conway;Deerfield;Sunderland;Whately,regional/voc-tech
06720000,Gateway,6,Blandford;Chester;Huntington;Middlefield;Montgomery;Russell,regional/voc-tech
06730000,Groton-Dunstable,2,Dunstable;Groton,regional/voc-tech
06740000,Gill-Montague,2,Gill;Montague,regional/voc-tech
06750000,Hamilton-Wenham,2,Hamilton;Wenham,regional/voc-tech
06800000,Hampden-Wilbraham,2,Hampden;Wilbraham,regional/voc-tech
06830000,Hampshire,5,Chesterfield;Goshen;Southampton;Westhampton;Williamsburg,regional/voc-tech
06850000,Hawlemont,2,Charlemont;Hawley,regional/voc-tech
06900000,King Philip,3,Norfolk;Plainville;Wrentham,regional/voc-tech
06950000,Lincoln-Sudbury,2,Lincoln;Sudbury,regional/voc-tech
06980000,Manchester Essex Regional,2,Essex;Manchester,regional/voc-tech
07000000,Martha's Vineyard,6,Aquinnah;Chilmark;Edgartown;Oak Bluffs;Tisbury;West Tisbury,regional/voc-tech
07050000,Masconomet,3,Boxford;Middleton;Topsfield,regional/voc-tech
07100000,Mendon-Upton,2,Mendon;Upton,regional/voc-tech
