City,Website,Status,MML_Slug,Phone,Population,NextElection,Officials
Abbeville,https://www.abbeville.ms.gov/,OK,Abbeville,(662) 259-2878,391,06/2029,Mayor: Scott Fricker | Alderwoman: Jennifer Hankins | Alderman: Will Kent | Alderwoman: Joy Klepzig | Alderman: Donald Ward | Alderman: Ronald Williams | City Clerk: Ginger Kesler
Aberdeen,https://www.cityofaberdeenms.com/,OK,Aberdeen,(662) 369-8588,"4,961",04/2028,Mayor: Johnny Stevens | Alderman: Nicholas Holliday | Alderwoman: Rhonda  Moore | Alderman: James Ivory | Alderman: Jeremy Belle | Alderman: John Cain | City Clerk: Melissa Moore
Ackerman,http://www.townofackerman.com/,OK,Ackerman,(662) 285-6251,1594,06/2029,Mayor: Lauren Carson | Alderwoman: Casey Brasher | Alderman At-Large: Nora Cain | Alderman: Johnathan Tuck | Alderwoman: Felecia Miller Baber | Alderman: James Robinson | City Clerk: Deborah Boley
Algoma,,"PAGE FOUND, NO WEB LINK",Algoma,(662) 489-3200,705,06/2029,Mayor: Noel McWhirter | Alderman: Thomas Caldwell | Alderman: Landis Fair | Alderwoman: Billie Mize | Alderman: Todd Seales | Alderwoman: Sue Weeks | City Clerk: Emily Newell
Alligator,,"PAGE FOUND, NO WEB LINK",Alligator,(662) 624-5737,187,06/2029,Mayor: Tommie Brown | Alderman: Ricardo Butler | Alderman: Robert  Fava | City Clerk: Glenda Ross
Amory,http://www.cityofamoryms.com/,OK,Amory,(662) 256-5721,6666,06/2029,"Mayor: Zack McGonagill | Alderman At-Large: Bobby ""Joe"" McGonagill | Alderman: Mike Edgeworth | Alderman: Barry Woods | Alderman: Mark Mitchell | Alderwoman: Diane Hunt | City Clerk: Jamie  Morgan | City Clerk/Court Clerk: Jennie Smithey"
Anguilla,,"PAGE FOUND, NO WEB LINK",Anguilla,(662) 873-4978,530,06/2029,Mayor: Evelyn Maxey | Alderman: Corderyl Davis | Alderman: King Evans | Alderwoman: Francy Johnson | Alderwoman: Brenda Lovette | Alderwoman: Sara Thomas | City Clerk: Erica Davis
Arcola,,"PAGE FOUND, NO WEB LINK",Arcola,(662) 827-2063,304,06/2029,Mayor: Jacqueline Mccoy | Alderman: Ronnie Cooper | Alderman: Charles McCoy | Alderman: Amanda Scott | Alderman: Elton Wilkins | Alderman: Rickie Williams | City Clerk/Court Clerk: Annette Morris
Artesia,,"PAGE FOUND, NO WEB LINK",Artesia,(662) 272-5104,496,06/2029,Mayor: Jimmy Sanders | Alderwoman: Shekita Armstead | Alderman: Ellis Burnett | Alderwoman: Mattie James | Alderwoman: Mamie Johnson | Alderman: Ronnie Randle | City Clerk: Tresa Sanders
Ashland,http://www.ashland.ms/,OK,Ashland,(662) 224-6282,560,06/2029,Mayor: Mitch Carroll | Alderman: Don Daniel | Alderman: Brian Jeanes | Alderman: Tommy McMullen | Alderman: Greg Thompson | Alderman: Tony  Tidwell | City Clerk: Trina Thompson
