cad_name,county_names,county_slugs,website,population
Angelina CAD,Angelina,angelina,http://www.angelinacad.org,86395
Bastrop CAD,Bastrop,bastrop,http://www.bastropcad.org,97216
Bell CAD,Bell,bell,http://www.bellcad.org,370647
Bexar AD,Bexar,bexar,http://www.bcad.org,2009324
Bowie CAD,Bowie,bowie,http://www.bowieappraisal.com,92893
Brazoria CAD,Brazoria,brazoria,http://www.brazoriacad.org,372031
Brazos CAD,Brazos,brazos,http://www.brazoscad.org,233849
Cameron CAD,Cameron,cameron,http://www.cameroncad.org,421017
Collin CAD,Collin,collin,http://www.collincad.org,1064465
Comal AD,Comal,comal,http://www.comalad.org,161501
Coryell CAD,Coryell,coryell,http://www.coryellcad.org,83093
Dallas CAD,Dallas,dallas,http://www.dallascad.org,2613539
Denton CAD,Denton,denton,http://www.dentoncad.com,906422
Ector CAD,Ector,ector,http://www.ectorcad.org,165171
El Paso CAD,El Paso,el-paso,http://www.epcad.org,865657
Ellis CAD,Ellis,ellis,http://www.elliscad.com,192455
Fort Bend CAD,Fort Bend,fort-bend,http://www.fbcad.org,822779
Galveston CAD,Galveston,galveston,http://www.galvestoncad.org,350682
Grayson CAD,Grayson,grayson,http://www.graysonappraisal.org,135543
Gregg CAD,Gregg,gregg,http://www.gcad.org,124239
Guadalupe AD,Guadalupe,guadalupe,http://www.guadalupead.org,172706
Harris CAD,Harris,harris,http://www.hcad.org,4731145
Hays CAD,Hays,hays,http://www.hayscad.com,241067
Henderson CAD,Henderson,henderson,http://www.henderson-cad.org,82150
Hidalgo CAD,Hidalgo,hidalgo,http://www.hidalgoad.org,870781
Hunt CAD,Hunt,hunt,http://www.hunt-cad.org,99956
Jefferson CAD,Jefferson,jefferson,http://www.jcad.org,256526
Johnson CAD,Johnson,johnson,http://www.johnsoncad.net,179927
Kaufman CAD,Kaufman,kaufman,http://www.kaufman-cad.org,145310
Liberty CAD,Liberty,liberty,http://www.libertycad.com,91628
Lubbock CAD,Lubbock,lubbock,http://www.lubbockcad.org,310639
McLennan CAD,McLennan,mclennan,http://www.mclennancad.org,260579
Midland CAD,Midland,midland,http://www.midcad.org,169983
Montgomery CAD,Montgomery,montgomery,http://www.mcad-tx.org,620443
Nueces CAD,Nueces,nueces,http://www.ncadistrict.com,353178
Orange CAD,Orange,orange,http://www.orangecad.net,84808
Parker CAD,Parker,parker,http://www.parkercad.org,148222
Potter/Randall CAD,Potter;Randall,potter;randall,http://www.prad.org,"Potter: 118,525; Randall: 140,753"
Rockwall CAD,Rockwall,rockwall,http://www.rockwallcad.com,107819
Smith CAD,Smith,smith,http://www.smithcad.org,233479
Tarrant AD,Tarrant,tarrant,http://www.tad.org,2110640
Taylor CAD,Taylor,taylor,http://www.taylor-cad.org,143208
Tom Green CAD,Tom Green,tom-green,http://www.tomgreencad.com,120003
Travis CAD,Travis,travis,http://www.traviscad.org,1290188
Victoria CAD,Victoria,victoria,http://www.victoriacad.org,91319
Walker CAD,Walker,walker,http://www.walkercad.org,76400
Webb CAD,Webb,webb,http://www.webbcad.org,267114
Wichita CAD,Wichita,wichita,http://www.wadtx.com,129350
Williamson CAD,Williamson,williamson,http://www.wcad.org,609017
