county_slug,post_id,director_name,role,term_start,source_title,source_url,retrieved
collin,collin-tx-cad/director-place-2,Sumbel Zeb,Director,,"Collin CAD Board of Directors page, confirmed elected At-Large Place 2 (Place 1 skipped: election-result search says Robert Philo won unopposed, but the district's own current board page lists that seat as appointed to Randal Shinn -- unresolved conflict)",https://collincad.org/district-information/board-of-directors/,2026-09-02
collin,collin-tx-cad/director-place-3,Andrew Cook,Director,,"Collin CAD Board of Directors page, confirmed elected At-Large Place 3",https://collincad.org/district-information/board-of-directors/,2026-09-02
denton,denton-tx-cad/director-place-1,Angie Cox,Director,,"Community Impact, May 4 2024 election: Cox 31095 votes (63.88%) vs Mungiguerra 18311 (37.06%)",https://communityimpact.com/dallas-fort-worth/frisco/election/2024/05/04/cox-mcentire-guzman-win-denton-central-appraisal-district-board-seats/,2026-09-02
denton,denton-tx-cad/director-place-2,Lisa McEntire,Director,,"Community Impact, May 4 2024 election: McEntire 29932 votes (61.69%) vs Anwar",https://communityimpact.com/dallas-fort-worth/frisco/election/2024/05/04/cox-mcentire-guzman-win-denton-central-appraisal-district-board-seats/,2026-09-02
denton,denton-tx-cad/director-place-3,Rick Guzman,Director,,"Community Impact, May 4 2024 election: Guzman 25599 votes (53.60%) vs Villarreal",https://communityimpact.com/dallas-fort-worth/frisco/election/2024/05/04/cox-mcentire-guzman-win-denton-central-appraisal-district-board-seats/,2026-09-02
hidalgo,hidalgo-tx-cad/director-place-1,Erica E. Canales,Director,,"Hidalgo Appraisal District Board of Directors listing, explicitly labeled Elected (by county voters), Place 1",https://www.taxcutter.us/us-tx/appraisal-district-hidalgo/,2026-09-02
hidalgo,hidalgo-tx-cad/director-place-2,Veronica "Ronnie" Ontiveros,Director,,"Hidalgo Appraisal District Board of Directors listing, explicitly labeled Elected (by county voters), Place 2",https://www.taxcutter.us/us-tx/appraisal-district-hidalgo/,2026-09-02
hidalgo,hidalgo-tx-cad/director-place-3,Karina Cardoza,Director,,"Hidalgo Appraisal District Board of Directors listing, explicitly labeled Elected (by county voters), Place 3",https://www.taxcutter.us/us-tx/appraisal-district-hidalgo/,2026-09-02
el-paso,el-paso-tx-cad/director-place-1,Alfred P. Gonzalez,Director,,"El Paso Matters news coverage, May 4 2024 special election: unopposed, certified elected, Place 1",https://elpasomatters.org/2024/04/04/el-paso-cad-central-appraisal-district-board-election-may-4/,2026-09-02
el-paso,el-paso-tx-cad/director-place-2,Melody Jimenez,Director,,"El Paso Matters news coverage, May 4 2024 special election: unopposed, certified elected, Place 2",https://elpasomatters.org/2024/04/04/el-paso-cad-central-appraisal-district-board-election-may-4/,2026-09-02
el-paso,el-paso-tx-cad/director-place-3,Silvia Serna,Director,,"El Paso Matters news coverage, May 4 2024 special election: unopposed, certified elected, Place 3",https://elpasomatters.org/2024/04/04/el-paso-cad-central-appraisal-district-board-election-may-4/,2026-09-02
fort-bend,fort-bend-tx-cad/director-place-1,Shaizad Chatriwala,Director,,"Fort Bend CAD election results (May 4 2024) plus confirmed on fbcad.org board page as At-Large Position No. 1",https://www.fbcad.org/board-members/,2026-09-02
fort-bend,fort-bend-tx-cad/director-place-2,Andrew Johnson,Director,,"Fort Bend CAD election results (May 4 2024) plus confirmed on fbcad.org board page as At-Large Position No. 2",https://www.fbcad.org/board-members/,2026-09-02
fort-bend,fort-bend-tx-cad/director-place-3,Larry Indermuehle,Director,,"Fort Bend CAD election results (May 4 2024, defeated Amer Kumar) plus confirmed on fbcad.org board page as At-Large Position No. 3",https://www.fbcad.org/board-members/,2026-09-02
