source,source_key,thecb_fice,ccd_name,source_url,policy_name,update_name,date_issued,local_text,heuristic_structure,fetch_status
tasb,125,006661,Angelina College,https://pol.tasb.org/PolicyOnline?key=125,BBB(LOCAL)-X,LDU 2024.01,3/15/2024,"Election Date The general election of Board members shall be on the May uniform election date in an even-numbered year. Membership The Board shall consist of seven members. Method of Election Election of Board members shall be at large. Terms and Election Schedule Board members shall be elected for six-year terms, with elections conducted biennially, as follows: Positions 3 and 4 The election for positions 3 and 4 shall be held in 2024, 2030, 2036, and in six-year intervals thereafter. Positions 5, 6, and 7 The election for positions 5, 6, and 7 shall be held in 2026, 2032, 2038, and in six-year intervals thereafter. Positions 1 and 2 The election for positions 1 and 2 shall be held in 2028, 2034, 2040, and in six-year intervals thereafter.",at_large,ok
tasb,155,003546,Coastal Bend College,https://pol.tasb.org/PolicyOnline?key=155,BBB(LOCAL)-X,UPDATE 44,12/6/2022,"Election Date The general election of Board members shall be on the May uniform election date in an even-numbered year. Membership The Board shall consist of seven members. Method of Election Election of Board members shall be at large. Terms and Election Schedule Board members shall be elected for six-year terms, with elections conducted biennially, as follows: Places 6 and 7 The election for places 6 and 7 shall be held in 2024, 2030, 2036, and in six-year intervals thereafter. Places 1 and 3 The election for places 1 and 3 shall be held in 2026, 2032, 2038, and in six-year intervals thereafter. Places 2, 4, and 5 The election for places 2, 4, and 5 shall be held in 2028, 2034, 2040, and in six-year intervals thereafter.",at_large,ok
tasb,161,003627,Temple College,https://pol.tasb.org/PolicyOnline?key=161,BBB(LOCAL)-X,LDU 2024.01,4/2/2024,"Election Date The general election of Board members shall be on the May uniform election date in an even-numbered year. Membership The Board shall consist of nine members. Method of Election Election of Board members shall be at large. At each election, candidates shall be voted upon separately for each position on the Board. Terms and Election Schedule Board members shall be elected for six-year terms, with elections conducted biennially, as follows: The election for three positions shall be held in 2024, 2030, 2036, and in six-year intervals thereafter. The election for three positions shall be held in 2026, 2032, 2038, and in six-year intervals thereafter. The election for three positions shall be held in 2028, 2034, 2040, and in six-year intervals thereafter.",at_large,ok
tasb,200,003628,Texarkana College,https://pol.tasb.org/PolicyOnline?key=200,BBB(LOCAL)-X,UPDATE 44,12/13/2022,"Election Date The general election of Board members shall be on the November uniform election date in an even-numbered year. Membership The Board shall consist of seven members. Method of Election Election of Board members shall be a combination of at large and by single-member districts. Terms and Election Schedule The Board shall be elected for six-year terms, with four Board members elected by single-member districts to align with the four Bowie County Commissioner precincts, and three Board members elected at large. Elections are conducted biennially, as follows: Single-Member Districts Places 3 and 4 The election for places 3 and 4 shall be held in 2024, 2030, 2036, and in six-year intervals thereafter. Places 1 and 2 The election for places 1 and 2 shall be held in 2028, 2034, 2040, and in six-year intervals thereafter. At Large Places 5, 6, and 7 The election for places 5, 6, and 7 shall be held in 2026, 2032, 2038, and in six-year intervals thereafter.",hybrid_smd_and_at_large,ok
tasb,214,003539,Alvin Community College,https://pol.tasb.org/PolicyOnline?key=214,BBB(LOCAL)-X,UPDATE 44,12/6/2022,"Election Date The general election of Board members shall be on the May uniform election date in an even-numbered year. Membership The Board shall consist of nine members. Method of Election Election of Board members shall be at large. Terms and Election Schedule Board members shall be elected for six-year terms, with elections conducted biennially, as follows: Positions 1, 2, and 3 The election for positions 1, 2, and 3 shall be held in 2024, 2030, 2036, and in six-year intervals thereafter. Positions 4, 5, and 6 The election for positions 4, 5, and 6 shall be held in 2026, 2032, 2038, and in six-year intervals thereafter. Positions 7, 8, and 9 The election for positions 7, 8, and 9 shall be held in 2028, 2034, 2040, and in six-year intervals thereafter.",at_large,ok
tasb,215,007857,Brazosport College,https://pol.tasb.org/PolicyOnline?key=215,BBB(LOCAL)-X,UPDATE 44,12/14/2022,"Election Date The general election of Board members shall be on the May uniform election date in an even-numbered year. Membership The Board shall consist of nine members. Method of Election Election of Board members shall be at large. Voting Precincts Voting precincts for the College District shall be as adopted by the Brazoria County commissioner's court. Terms and Election Schedule Board members shall be elected for six-year terms, with elections conducted biennially, as follows: Positions 1, 2, and 3 The election for positions 1, 2, and 3 shall be held in 2024, 2030, 2036, and in six-year intervals thereafter. Positions 4, 5, and 6 The election for positions 4, 5, and 6 shall be held in 2026, 2032, 2038, and in six-year intervals thereafter. Positions 7, 8, and 9 The election for positions 7, 8, and 9 shall be held in 2028, 2034, 2040, and in six-year intervals thereafter.",at_large,ok
tasb,253,003643,Texas Southmost College,https://pol.tasb.org/PolicyOnline?key=253,BBB(LOCAL)-X,LDU 2025.04,5/1/2025,"Election Date The general election of Board members shall be on the May uniform election date in an even-numbered year. Membership The Board shall consist of seven members. Method of Election Election of Board members shall be at large. Terms and Election Schedule Board members shall be elected for six-year terms, with elections conducted biennially, as follows: Places 6 and 7 The election for places 6 and 7 shall be held in 2030, 2036, 2042, and in six-year intervals thereafter. Places 1 and 2 The election for places 1 and 2 shall be held in 2026, 2032, 2038, and in six-year intervals thereafter. Places 3, 4, and 5 The election for places 3, 4, and 5 shall be held in 2028, 2034, 2040, and in six-year intervals thereafter.",at_large,ok
tasb,304,023614,Collin County Community College District,https://pol.tasb.org/PolicyOnline?key=304,BBB(LOCAL)-X,UPDATE 44,12/21/2022,"Election Date The general election of Board members will be on the May uniform election date in an odd-numbered year. Membership The Board will consist of nine members. Method of Election Election of Board members will be at large. Terms and Election Schedule Board members will be elected for six-year terms, with elections conducted biennially, as follows: Places 1, 2, and 3 The election for places 1, 2, and 3 will be held in 2023, 2029, 2035, and in six-year intervals thereafter. Places 4, 5, and 6 The election for places 4, 5, and 6 will be held in 2025, 2031, 2037, and in six-year intervals thereafter. Places 7, 8, and 9 The election for places 7, 8, and 9 will be held in 2027, 2033, 2039, and in six-year intervals thereafter.",at_large,ok
tasb,335,003558,North Central Texas College,https://pol.tasb.org/PolicyOnline?key=335,BBB(LOCAL)-X,UPDATE 44,1/5/2023,"Election Date The general election of Board members shall be on the May uniform election date in an odd-numbered year. Membership The Board shall consist of seven members. Method of Election Election of Board members shall be at large. Terms and Election Schedule Board members shall be elected for six-year terms, with elections conducted biennially, as follows: Places 6 and 7 The election for places 6 and 7 shall be held in 2023, 2029, 2035, and in six-year intervals thereafter. Places 1 and 2 The election for places 1 and 2 shall be held in 2025, 2031, 2037, and in six-year intervals thereafter. Places 3, 4, and 5 The election for places 3, 4, and 5 shall be held in 2027, 2033, 2039, and in six-year intervals thereafter.",at_large,ok
tasb,358,009331,Dallas College,https://pol.tasb.org/PolicyOnline?key=358,BBB(LOCAL)-X,LDU 2024.03,10/16/2024,"Election Date Unless otherwise provided or permitted by law, the general election of Board members shall be on the May uniform election date in an even-numbered year. Membership The Board shall consist of seven members. Method of Election Election of Board members shall be by single-member districts. Terms and Election Schedule Board members shall be elected by single-member districts for six-year terms, with elections conducted biennially, as follows: Districts 1 and 7 The election for single-member district numbers 1 and 7 shall be held in 2024, 2030, 2036, and in six-year intervals thereafter. Districts 5 and 6 The election for single-member district numbers 5 and 6 shall be held in 2026, 2032, 2038, and in six-year intervals thereafter. Districts 2, 3, and 4 The election for single-member district numbers 2, 3, and 4 shall be held in 2028, 2034, 2040, and in six-year intervals thereafter.",single_member_district,ok
