tasb_key,tasb_name,thecb_fice,ccd_name,tasb_url
125,Angelina College,006661,Angelina College,https://pol.tasb.org/PolicyOnline?key=125
155,Coastal Bend College,003546,Coastal Bend College,https://pol.tasb.org/PolicyOnline?key=155
161,Temple College,003627,Temple College,https://pol.tasb.org/PolicyOnline?key=161
200,Texarkana College,003628,Texarkana College,https://pol.tasb.org/PolicyOnline?key=200
214,Alvin College,003539,Alvin Community College,https://pol.tasb.org/PolicyOnline?key=214
215,Brazosport College,007857,Brazosport College,https://pol.tasb.org/PolicyOnline?key=215
253,Texas Southmost College,003643,Texas Southmost College,https://pol.tasb.org/PolicyOnline?key=253
304,Collin College,023614,Collin County Community College District,https://pol.tasb.org/PolicyOnline?key=304
335,North Central Texas College,003558,North Central Texas College,https://pol.tasb.org/PolicyOnline?key=335
358,Dallas College,009331,Dallas College,https://pol.tasb.org/PolicyOnline?key=358
405,Clarendon College,003554,Clarendon College,https://pol.tasb.org/PolicyOnline?key=405
413,Ranger College,003603,Ranger College,https://pol.tasb.org/PolicyOnline?key=413
420,Odessa College,003596,Odessa College,https://pol.tasb.org/PolicyOnline?key=420
435,El Paso County Community College District,010387,El Paso Community College District,https://pol.tasb.org/PolicyOnline?key=435
496,Galveston College,006662,Galveston College,https://pol.tasb.org/PolicyOnline?key=496
497,College of the Mainland,007096,College of the Mainland Community College District,https://pol.tasb.org/PolicyOnline?key=497
523,Grayson College,003570,Grayson College,https://pol.tasb.org/PolicyOnline?key=523
537,Kilgore College,003580,Kilgore College,https://pol.tasb.org/PolicyOnline?key=537
579,Lee College,003583,Lee College,https://pol.tasb.org/PolicyOnline?key=579
580,San Jacinto College,029137,San Jacinto Community College District,https://pol.tasb.org/PolicyOnline?key=580
581,Houston City College,010633,Houston City College,https://pol.tasb.org/PolicyOnline?key=581
623,Trinity Valley Community College,003572,Trinity Valley Community College,https://pol.tasb.org/PolicyOnline?key=623
632,South Texas College,031034,South Texas College,https://pol.tasb.org/PolicyOnline?key=632
649,Hill College,003573,Hill College,https://pol.tasb.org/PolicyOnline?key=649
662,South Plains College,003611,South Plains College,https://pol.tasb.org/PolicyOnline?key=662
702,Frank Phillips College,003568,Frank Phillips College,https://pol.tasb.org/PolicyOnline?key=702
783,Paris Junior College,003601,Paris Junior College,https://pol.tasb.org/PolicyOnline?key=783
858,McLennan Community College,003590,McLennan Community College,https://pol.tasb.org/PolicyOnline?key=858
885,Midland College,009797,Midland College,https://pol.tasb.org/PolicyOnline?key=885
977,Panola College,003600,Panola College,https://pol.tasb.org/PolicyOnline?key=977
981,Weatherford College,003664,Weatherford College,https://pol.tasb.org/PolicyOnline?key=981
1003,Amarillo College,003540,Amarillo College,https://pol.tasb.org/PolicyOnline?key=1003
1062,Western Texas College,009549,Western Texas College,https://pol.tasb.org/PolicyOnline?key=1062
1076,Tyler Junior College,003648,Tyler Junior College,https://pol.tasb.org/PolicyOnline?key=1076
1097,Tarrant County College,003626,Tarrant County College District,https://pol.tasb.org/PolicyOnline?key=1097
1132,Northeast Texas Community College,023154,Northeast Texas Community College,https://pol.tasb.org/PolicyOnline?key=1132
1145,Austin Community College,012015,Austin Community College,https://pol.tasb.org/PolicyOnline?key=1145
1174,Southwest Texas College,003614,Southwest Texas College,https://pol.tasb.org/PolicyOnline?key=1174
1189,Victoria College,003662,Victoria College,https://pol.tasb.org/PolicyOnline?key=1189
1204,Blinn College District,003549,Blinn College District,https://pol.tasb.org/PolicyOnline?key=1204
1207,Laredo College,003582,Laredo College,https://pol.tasb.org/PolicyOnline?key=1207
1212,Wharton County Junior College,003668,Wharton County Junior College,https://pol.tasb.org/PolicyOnline?key=1212
1231,Vernon College,010060,Vernon College,https://pol.tasb.org/PolicyOnline?key=1231
