thecb_fice,name,city,website,campus_count,slug
003607,Alamo Community College District,San Antonio,www.alamo.edu,6,alamo
003539,Alvin Community College,Alvin,www.alvincollege.edu,1,alvin
003540,Amarillo College,Amarillo,www.actx.edu,1,amarillo
006661,Angelina College,Lufkin,www.angelina.edu,1,angelina
012015,Austin Community College,Austin,www.austincc.edu,1,austin
003549,Blinn College District,Brenham,www.blinn.edu,1,blinn
007857,Brazosport College,Lake Jackson,www.brazosport.edu,1,brazosport
004003,Central Texas College,Killeen,www.ctcd.edu,1,central-texas
003553,Cisco College,Cisco,www.cisco.edu,1,cisco
003554,Clarendon College,Clarendon,www.clarendoncollege.edu,1,clarendon
003546,Coastal Bend College,Beeville,www.coastalbend.edu,1,coastal-bend
007096,College of the Mainland Community College District,Texas City,www.com.edu,1,college-of-the-mainland
023614,Collin County Community College District,McKinney,www.collin.edu,1,collin
009331,Dallas College,Dallas,www.dcccd.edu,1,dallas
003563,Del Mar College,Corpus Christi,www.delmar.edu,1,del-mar
010387,El Paso Community College District,El Paso,www.epcc.edu,1,el-paso
003568,Frank Phillips College,Borger,www.fpctx.edu,1,frank-phillips
006662,Galveston College,Galveston,www.gc.edu,1,galveston
003570,Grayson College,Denison,www.grayson.edu,1,grayson
003573,Hill College,Hillsboro,www.hillcollege.edu,1,hill
010633,Houston City College,Houston,www.hccs.edu,1,houston-city
103574,Howard County Junior College District,Big Spring,www.howardcollege.edu,3,howard
003580,Kilgore College,Kilgore,www.kilgore.edu,1,kilgore
003582,Laredo College,Laredo,www.laredo.edu,1,laredo
003583,Lee College,Baytown,www.lee.edu,1,lee
011145,Lone Star College System,The Woodlands,www.lonestar.edu/,9,lone-star
003590,McLennan Community College,Waco,www.mclennan.edu,1,mclennan
009797,Midland College,Midland,www.midland.edu,1,midland
003593,Navarro College,Corsicana,www.navarrocollege.edu,1,navarro
003558,North Central Texas College,Gainesville,www.nctc.edu,1,north-central-texas
023154,Northeast Texas Community College,Mount Pleasant,www.ntcc.edu,1,northeast-texas
003596,Odessa College,Odessa,www.odessa.edu,1,odessa
003600,Panola College,Carthage,www.panola.edu,1,panola
003601,Paris Junior College,Paris,www.parisjc.edu,1,paris
003603,Ranger College,Ranger,www.rangercollege.edu,1,ranger
029137,San Jacinto Community College District,Pasadena,www.sanjac.edu/,1,san-jacinto
003611,South Plains College,Levelland,www.southplainscollege.edu,1,south-plains
031034,South Texas College,McAllen,www.southtexascollege.edu,1,south-texas
003614,Southwest Texas College,Uvalde,www.swtjc.edu,1,southwest-texas
003626,Tarrant County College District,Fort Worth,www.tccd.edu,1,tarrant-county
003627,Temple College,Temple,www.templejc.edu,1,temple
003628,Texarkana College,Texarkana,www.texarkanacollege.edu,1,texarkana
003643,Texas Southmost College,Brownsville,www.tsc.edu,1,texas-southmost
003572,Trinity Valley Community College,Athens,www.tvcc.edu,1,trinity-valley
003648,Tyler Junior College,Tyler,www.tjc.edu,1,tyler
010060,Vernon College,Vernon,www.vernoncollege.edu,1,vernon
003662,Victoria College,Victoria,www.victoriacollege.edu,1,victoria
003664,Weatherford College,Weatherford,www.wc.edu,1,weatherford
009549,Western Texas College,Snyder,www.wtc.edu,1,western-texas
003668,Wharton County Junior College,Wharton,www.wcjc.edu,1,wharton-county
