name,county,entity_type,status,website,report_year,spd_id,notes
Angleton Drainage District,Brazoria County,Drainage District,ACTIVE,https://www.angletondrainagedistrict.org,2026,103225598,
Brazoria County Conservation And Reclamation District #3,Brazoria County,Drainage District,ACTIVE,https://bccd3.com,2026,103225885,
Brazoria County Drainage District #5,Brazoria County,Drainage District,ACTIVE,https://bcdd5.com,2026,103228316,
Brazoria Drainage District #4,Brazoria County,Drainage District,ACTIVE,https://www.bdd4.org,2026,103227600,
Brookshire-Katy Drainage District,Waller County,Drainage District,ACTIVE,https://www.bkdd.dst.tx.us,2026,103225621,
Cameron County Drainage District #1,Cameron County,Drainage District,ACTIVE,,2026,103227777,
Cameron County Drainage District #3,Cameron County,Drainage District,ACTIVE,https://www.ccdd3.org,2026,103227468,
Cameron County Drainage District #5,Cameron County,Drainage District,ACTIVE,https://www.ccdd5.org,2026,103227460,
Centex Drainage District,Bastrop County,Drainage District,ACTIVE,https://www.utilitytaxservice.com/DistrictDetail/CDD,2026,103228594,
DeWitt County Drainage District,Dewitt County,Drainage District,ACTIVE,https://www.greenddd.com,2026,103227481,
Galveston County Consolidated Drainage District,Galveston County,Drainage District,ACTIVE,https://www.gccdd.dst.tx.us,2026,103226378,
Galveston County Drainage District No. 2,Galveston County,Drainage District,ACTIVE,https://gcdd2.org,2026,103228299,
Grand Lakes Water Control and Improvement District,Fort Bend County,Drainage District,ACTIVE,,2026,103226024,
Hidalgo County Drainage District #1,Hidalgo County,Drainage District,ACTIVE,https://www.hcdd1.org,2026,103227737,
"Jackson County, County Wide Drainage District",Jackson County,Drainage District,ACTIVE,https://jccwdd.com,2026,103227693,
Jefferson County Drainage District #6,Jefferson County,Drainage District,ACTIVE,https://dd6.org,2026,103228080,
Jefferson County Drainage District #7,Jefferson County,Drainage District,ACTIVE,https://www.dd7.org,2026,103227093,
Matagorda County Conservation and Reclamation District #1,Matagorda County,Drainage District,ACTIVE,https://matagorda-crd.org/,2026,103227326,
Matagorda County Drainage District #2,Matagorda County,Drainage District,ACTIVE,https://matagorda-dd2.org/,2026,103227304,
Montgomery County Drainage District #6,Montgomery County,Drainage District,ACTIVE,https://districtdirectory.org/montgomery-county/montgomery-county-drainage-district-no-6/,2026,103227000,
Orange County Drainage District,Orange County,Drainage District,ACTIVE,https://www.ocddtx.com,2026,103225638,
Refugio County Drainage District #1,Refugio County,Drainage District,ACTIVE,,2026,103227626,
Velasco Drainage District,Brazoria County,Drainage District,ACTIVE,http://www.velascodrainagedistrict.com/,2026,103227591,
Webb County Drainage District #1,Webb County,Drainage District,ACTIVE,https://webbcountydrainage.com,2026,103227513,
Willacy County Drainage District #1,Willacy County,Drainage District,ACTIVE,https://www.willacycdd1.org,2026,103227464,
Willacy County Drainage District #2,Willacy County,Drainage District,ACTIVE,https://www.willacycdd2.org,2026,103227465,
Willow Fork Drainage District,Fort Bend County,Drainage District,ACTIVE,https://www.willowforkdrainagedistrict.com,2026,103226494,
