name,county,entity_type,status,website,report_year,spd_id,notes
Angelina County Fresh Water District #1,Angelina County,Fresh Water Supply District,ACTIVE,https://www.acfwater.org,2026,103227802,
Bandera County Fresh Water Supply District #1,Bandera County,Fresh Water Supply District,ACTIVE,https://banderacountyfreshwater.myruralwater.com,2026,103226645,
Bayview Municipal Utility District,Galveston County,Fresh Water Supply District,ACTIVE,https://bayviewmud.com,2026,103227369,
Beeville Water Supply District,Bee County,Fresh Water Supply District,ACTIVE,https://WWW.BEEVILLETX.ORG,2026,103226337,
Belmont Fresh Water Supply District,Denton County,Fresh Water Supply District,ACTIVE,https://www.belmontfwsd1.com,2026,103226723,
Belmont Fresh Water Supply District #2 of Denton County,Denton County,Fresh Water Supply District,ACTIVE,https://www.belmontfwsd2.com,2026,103227772,
Brazoria County Fresh Water Supply District #2,Brazoria County,Fresh Water Supply District,ACTIVE,,2026,103227614,
Denton County Fresh Water Supply District #1-A,Denton County,Fresh Water Supply District,INACTIVE,https://www.dentoncountyfwsd.com,2021,103225854,
Denton County Fresh Water Supply District #1-B,Denton County,Fresh Water Supply District,INACTIVE,,2021,103226751,
Denton County Fresh Water Supply District #1-C,Denton County,Fresh Water Supply District,INACTIVE,,2021,103226524,
Denton County Fresh Water Supply District #1-D,Denton County,Fresh Water Supply District,INACTIVE,https://www.dentoncountyfwsd.com,2021,103226526,
Denton County Fresh Water Supply District #1-E,Denton County,Fresh Water Supply District,INACTIVE,https://www.dentoncountyfwsd.com,2021,103226530,
Denton County Fresh Water Supply District #1-F,Denton County,Fresh Water Supply District,INACTIVE,https://www.dentoncountyfwsd.com,2021,103226539,
Denton County Fresh Water Supply District #1-G,Denton County,Fresh Water Supply District,INACTIVE,https://www.dentoncountyfwsd.com,2021,103226543,
Denton County Fresh Water Supply District #11-A,Denton County,Fresh Water Supply District,ACTIVE,https://11a.palomacreek.org,2026,103226741,
Denton County Fresh Water Supply District #11-B,Denton County,Fresh Water Supply District,ACTIVE,https://11b.palomacreek.org,2026,103226742,
Denton County Fresh Water Supply District #11-C,Denton County,Fresh Water Supply District,ACTIVE,https://11c.palomacreek.org,2026,103226743,
Denton County Fresh Water Supply District #4-A,Denton County,Fresh Water Supply District,ACTIVE,https://www.districtdata.org/denton-county/denton-county-fresh-water-supply-district-no-4a,2026,103226733,
Denton County Fresh Water Supply District #6,Denton County,Fresh Water Supply District,ACTIVE,https://www.districtdata.org/denton-county/denton-county-fresh-water-supply-district-no-6,2026,103226735,
