name,county,entity_type,status,website,report_year,spd_id,notes
Adams Gardens Irrigation District #19,Cameron County,Irrigation District,INACTIVE,,2019,103225553,
Bayview Irrigation District #11,Cameron County,Irrigation District,ACTIVE,https://bvid11.com/,2026,103227466,
Brownsville Irrigation District,Cameron County,Irrigation District,ACTIVE,,2021,103225523,
Brownsville Irrigation District,Cameron County,Irrigation District,ACTIVE,,2026,103228571,
Cameron County Irrigation District #2,Cameron County,Irrigation District,ACTIVE,https://ccid2.org,2026,103225712,
Cameron County Irrigation District #6,Cameron County,Irrigation District,ACTIVE,,2026,103226392,
Cameron County Irrigation District 16,Cameron County,Irrigation District,INACTIVE,,2019,103226638,
Delta Lake Irrigation District,Hidalgo County,Irrigation District,ACTIVE,https://www.deltalakeid.org,2026,103225579,
Engelman Irrigation District,Hidalgo County,Irrigation District,INACTIVE,,2018,103226995,
Harlingen Irrigation District Cameron County #1,Cameron County,Irrigation District,ACTIVE,https://www.hidcc1.org,2026,103225552,
Hidalgo County Irrigation District #1,Hidalgo County,Irrigation District,ACTIVE,,2024,103227452,
Hidalgo County Irrigation District #16,Hidalgo County,Irrigation District,ACTIVE,,2026,103225549,
Hidalgo County Irrigation District #2,Hidalgo County,Irrigation District,ACTIVE,https://hcid2.org,2026,103226196,
Hidalgo County Irrigation District No.6,Hidalgo County,Irrigation District,ACTIVE,https://hcid6.org,2026,103228188,
Hidalgo and Cameron Counties Irrigation District #9,Hidalgo County,Irrigation District,ACTIVE,,2026,103226563,
La Feria Irrigation District Cameron County #3,Cameron County,Irrigation District,ACTIVE,,2025,103225789,
Santa Cruz Irrigation District #15,Hidalgo County,Irrigation District,ACTIVE,https://www.santacruz15.com,2023,103225808,
United Irrigation District,Hidalgo County,Irrigation District,ACTIVE,https://united-irrigation.com,2026,103225541,
