tasb_key,tea_cdn,tea_district_name,tasb_url,policy_name,update_name,date_issued,local_text,heuristic_structure,fetch_status
117,001902,CAYUGA ISD,https://pol.tasb.org/PolicyOnline?key=117,BBB(LOCAL)-X,UPDATE 110,2/9/2018,"Membership The Board shall consist of seven members. Method of Election Election of Board members shall be by position. Election Date General election of Board members shall be on the November uniform election date. Terms and Election Schedule Board members shall be elected for four-year terms, with elections conducted biennially, as follows: Positions 3, 4, and 5 The election for positions 3, 4, and 5 shall be held in 2018, 2022, 2026, and in four-year intervals thereafter. Positions 1, 2, 6, and 7 The election for positions 1, 2, 6, and 7 shall be held in 2020, 2024, 2028, and in four-year intervals thereafter. Method of Voting Plurality To be elected, a candidate must receive more votes than any other candidate for the position.",at_large_by_position,ok
118,001903,ELKHART ISD,https://pol.tasb.org/PolicyOnline?key=118,BBB(LOCAL)-X,LDU 2026.01,3/13/2026,"Membership The Board shall consist of seven members. Method of Election Election of Board members shall be by position. Election Date General election of Board members shall be on the May uniform election date. Terms and Election Schedule Board members shall be elected for three-year terms, with elections conducted annually, as follows: Positions 4 and 5 The election for positions 4 and 5 shall be held in 2026, 2029, 2032, and in three-year intervals thereafter. Positions 6 and 7 The election for positions 6 and 7 shall be held in 2027, 2030, 2033, and in three-year intervals thereafter. Positions 1, 2, and 3 The election for positions 1, 2, and 3 shall be held in 2028, 2031, 2034, and in three-year intervals thereafter. Method of Voting Plurality To be elected, a candidate must receive more votes than any other candidate for the position.",at_large_by_position,ok
119,001904,FRANKSTON ISD,https://pol.tasb.org/PolicyOnline?key=119,BBB(LOCAL)-X,UPDATE 110,2/13/2018,"Membership The Board shall consist of seven members. Method of Election Election of Board members shall be by place. Election Date General election of Board members shall be on the May uniform election date. Terms and Election Schedule Board members shall be elected for four-year terms, with elections conducted biennially, as follows: Places 2, 6, and 7 The election for places 2, 6, and 7 shall be held in 2019, 2023, 2027, and in four-year intervals thereafter. Places 1, 3, 4, and 5 The election for places 1, 3, 4, and 5 shall be held in 2021, 2025, 2029, and in four-year intervals thereafter. Method of Voting Plurality To be elected, a candidate must receive more votes than any other candidate for the place.",at_large_by_position,ok
120,001906,NECHES ISD,https://pol.tasb.org/PolicyOnline?key=120,BBB(LOCAL)-X,LDU 2023.02,4/6/2023,"Membership The Board shall consist of seven members. Method of Election Election of Board members shall be by position. Election Date General election of Board members shall be on the November uniform election date. Terms and Election Schedule Board members shall be elected for four-year terms, with elections conducted biennially, as follows: Positions 1, 2,and 3 The election for positions 1, 2, and 3 shall be held in 2026, 2030, 2034, and in four-year intervals thereafter. Positions 4, 5, 6, and 7 The election for positions 4, 5, 6, and 7 shall be held in 2024, 2028, 2032, and in four-year intervals thereafter. Method of Voting Plurality To be elected, a candidate must receive more votes than any other candidate for the position.",at_large_by_position,ok
121,001907,PALESTINE ISD,https://pol.tasb.org/PolicyOnline?key=121,BBB(LOCAL)-X,UPDATE 110,1/29/2018,"Membership The Board shall consist of seven members. Method of Election Election of Board members shall be by place. Election Date General election of board members shall be on the May uniform election date. Terms and Election Schedule Board members shall be elected for three-year terms, with elections conducted annually, as follows: Places 1 and 2 The election for places 1 and 2 shall be held in 2018, 2021, 2024, and in three-year intervals thereafter. Places 3, 4, and 5 The election for places 3, 4, and 5 shall be held in 2019, 2022, 2025, and in three-year intervals thereafter. Places 6 and 7 The election for places 6 and 7 shall be held in 2020, 2023, 2026, and in three-year intervals thereafter. Method of Voting Plurality To be elected, a candidate must receive more votes than any other candidate for the place.",at_large_by_position,ok
122,001908,WESTWOOD ISD,https://pol.tasb.org/PolicyOnline?key=122,BBB(LOCAL)-X,UPDATE 110,2/25/2018,"Court Order The District shall conduct its Board member elections in accordance with the Agreed Settlement in CA. No. TY-83-440-CA, United States District Court, Eastern District of Texas, Tyler Division, as long as such court order or other binding legal determination is in effect. A copy of the court order or other binding legal determination may be obtained from the Superintendent's office. Membership The Board shall consist of seven members. Method of Election Election of Board members shall be by single-member districts. Election Date General election of Board members shall be on the May uniform election date. Terms and Election Schedule Board members shall be elected for three-year terms, with elections conducted annually, as follows: Districts 1 and 4 The election for single-member districts 1 and 4 shall be held in 2018, 2021, 2024, and in three-year intervals thereafter. Districts 3 and 7 The election for single-member districts 3 and 7 shall be held in 2019, 2022, 2025, and in three-year intervals thereafter. Districts 2, 5, and 6 The election for single-member districts 2, 5, and 6 shall be held in 2020, 2023, 2026, and in three-year intervals thereafter. Method of Voting Plurality To be elected, a candidate must receive more votes than any other candidate for the single-member district.",single_member_district,ok
123,001909,SLOCUM ISD,https://pol.tasb.org/PolicyOnline?key=123,BBB(LOCAL)-X,UPDATE 110,2/23/2018,"Membership The Board shall consist of seven members. Method of Election Election of Board members shall be by position. Election Date General election of Board members shall be on the November uniform election date. Terms and Election Schedule Board members shall be elected for four-year terms, with elections conducted biennially, as follows: Positions 3, 4, and 5 The election for positions 3, 4, and 5 shall be held in 2018, 2022, 2026, and in four-year intervals thereafter. Positions 1, 2, 6, and 7 The election for positions 1, 2, 6, and 7 shall be held in 2020, 2024, 2028, and in four-year intervals thereafter. Method of Voting Plurality To be elected, a candidate must receive more votes than any other candidate for the position.",at_large_by_position,ok
124,002901,ANDREWS ISD,https://pol.tasb.org/PolicyOnline?key=124,BBB(LOCAL)-X,UPDATE 120,1/12/2023,"Membership The Board shall consist of seven members. Method of Election Election of Board members shall be at large. Election Date General election of board members shall be on the May uniform election date. Terms and Election Schedule Board members shall be elected for three-year terms, with elections conducted annually, as follows: The election of two Board members shall be held in 2024, 2027, 2030, and in three-year intervals thereafter. The election of three Board members shall be held in 2025, 2028, 2031, and in three-year intervals thereafter. The election of two Board members shall be held in 2023, 2026, 2029, and in three-year intervals thereafter. Method of Voting Cumulative Voting The District shall use cumulative voting, under which a voter is entitled to cast a number of votes equal to the number of seats in the election for one or more candidates in any combination. The candidates receiving the highest number of votes for the number of seats with expiring terms shall be elected.",at_large_cumulative,ok
126,003902,HUDSON ISD,https://pol.tasb.org/PolicyOnline?key=126,BBB(LOCAL)-X,UPDATE 110,2/1/2018,"Membership The Board shall consist of seven members. Method of Election Election of Board members shall be by place. Election Date General election of board members shall be on the May uniform election date. Terms and Election Schedule Board members shall be elected for three-year terms, with elections conducted annually, as follows: Places 6 and 7 The election for places 6 and 7 shall be held in 2018, 2021, 2024, and in three-year intervals thereafter. Places 1, 2, and 3 The election for places 1, 2, and 3 shall be held in 2019, 2022, 2025, and in three-year intervals thereafter. Places 4 and 5 The election for places 4 and 5 shall be held in 2020, 2023, 2026, and in three-year intervals thereafter. Method of Voting Plurality To be elected, a candidate must receive more votes than any other candidate for the place.",at_large_by_position,ok
127,003903,LUFKIN ISD,https://pol.tasb.org/PolicyOnline?key=127,BBB(LOCAL)-X,LDU 2024.04,1/16/2025,"Membership The Board shall consist of seven members. Method of Election Election of Board members shall be at large. Election Date General election of Board members shall be on the May uniform election date. Terms and Election Schedule Board members shall be elected for three-year terms, with elections conducted annually, as follows: The election of three Board members shall be held in 2027, 2030, 2033, and in three-year intervals thereafter. The election of two Board members shall be held in 2025, 2028, 2031, and in three-year intervals thereafter. The election of two Board members shall be held in 2026, 2029, 2032, and in three-year intervals thereafter. Method of Voting Plurality The candidates receiving the highest number of votes for the number of seats with expiring terms shall be elected.",at_large,ok
128,003904,HUNTINGTON ISD,https://pol.tasb.org/PolicyOnline?key=128,BBB(LOCAL)-X,UPDATE 110,2/23/2018,"Membership The Board shall consist of seven members. Method of Election Election of Board members shall be by position. Election Date General election of Board members shall be on the May uniform election date. Terms and Election Schedule Board members shall be elected for three-year terms, with elections conducted annually, as follows: Positions 3, 4, and 5 The election for positions 3, 4, and 5 shall be held in 2018, 2021, 2024, and in three-year intervals thereafter. Positions 2 and 6 The election for positions 2 and 6 shall be held in 2019, 2022, 2025, and in three-year intervals thereafter. Positions 1 and 7 The election for positions 1 and 7 shall be held in 2020, 2023, 2026, and in three-year intervals thereafter. Method of Voting Plurality To be elected, a candidate must receive more votes than any other candidate for the position.",at_large_by_position,ok
129,003905,DIBOLL ISD,https://pol.tasb.org/PolicyOnline?key=129,BBB(LOCAL)-X,LDU 2026.01,2/17/2026,"Membership The Board shall consist of seven members. Method of Election Election of Board members shall be at large. Election Date General election of Board members shall be on the May uniform election date. Terms and Election Schedule Board members shall be elected for three-year terms, with elections conducted annually, as follows: The election of two Board members shall be held in 2027, 2030, 2033, and in three-year intervals thereafter. The election of two Board members shall be held in 2028, 2031, 2034, and in three-year intervals thereafter. The election of three Board members shall be held in 2026, 2029, 2032, and in three-year intervals thereafter. Method of Voting Plurality The candidates receiving the highest number of votes for the number of seats with expiring terms shall be elected.",at_large,ok
130,003906,ZAVALLA ISD,https://pol.tasb.org/PolicyOnline?key=130,BBB(LOCAL)-X,UPDATE 120,12/19/2022,"Membership The Board shall consist of seven members. Method of Election Election of Board members shall be at large. Election Date General election of Board members shall be on the May uniform election date. Terms and Election Schedule Board members shall be elected for three-year terms, with elections conducted annually, as follows: The election of two Board members shall be held in 2024, 2027, 2030, and in three-year intervals thereafter. The election of three Board members shall be held in 2025, 2028, 2031, and in three-year intervals thereafter. The election of two Board members shall be held in 2023, 2026, 2029, and in three-year intervals thereafter. Method of Voting Plurality The candidates receiving the highest number of votes for the number of seats with expiring terms shall be elected.",at_large,ok
131,003907,CENTRAL ISD,https://pol.tasb.org/PolicyOnline?key=131,BBB(LOCAL)-X,LDU 2019.02,7/3/2019,"Membership The Board shall consist of seven members. Method of Election Election of Board members shall be by position. Election Date General election of Board members shall be on the May uniform election date. Terms and Election Schedule Board members shall be elected for three-year terms, with elections conducted annually, as follows: Positions 3, 4, and 5 The election for positions 3, 4, and 5 shall be held in 2021, 2024, 2027, and in three-year intervals thereafter. Positions 6 and 7 The election for positions 6 and 7 shall be held in 2022, 2025, 2028, and in three-year intervals thereafter. Positions 1 and 2 The election for positions 1 and 2 shall be held in 2020, 2023, 2026, and in three-year intervals thereafter. Method of Voting Majority Vote To be elected, a candidate must receive a majority of the votes cast for the position.",at_large_by_position,ok
