tea_cdn,district_name,category,reason
001908,Westwood ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
007902,Jourdanton ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
007904,Lytle ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
007905,Pleasanton ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
009901,Muleshoe ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
011902,Elgin ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
014903,Belton ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
014909,Temple ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
015904,Harlandale ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
015907,San Antonio ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
015908,South San Antonio ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
015909,Somerset ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
015910,North East ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
015911,East Central ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
