tea_cdn,isd_name,county,category,reason,seated,board_size,seat_structure,jurisdiction_id,website,board_page_result_url,board_page_result_title,board_page_domain_match,Seat mapping
22901,Alpine ISD Board of Trustees,Brewster County,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Single-Member District,ocd-jurisdiction/country:us/state:tx/school_district:alpine/school,http://www.alpine.esc18.net/,https://alpine.esc18.net/meet-the-board,Meet the Board — Alpine Independent School District,Yes,
227901,Austin ISD Board of Trustees,Travis County,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=9, at_large=2, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts",0,9,Hybrid (at-large + SMD),ocd-jurisdiction/country:us/state:tx/school_district:austin/school,http://www.austinisd.org,https://www.austinisd.org/board,Board of Trustees,Yes,
200901,Ballinger ISD Board of Trustees,Runnels County,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Single-Member District,ocd-jurisdiction/country:us/state:tx/school_district:ballinger/school,http://www.ballingerisd.net,https://www.ballingerisd.net/,Ballinger ISD,Yes,
123910,Beaumont ISD Board of Trustees,Jefferson County,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Hybrid (at-large + SMD),ocd-jurisdiction/country:us/state:tx/school_district:beaumont/school,http://www.bmtisd.com/,https://www.bmtisd.com/about-bisd/board/board,https://www.bmtisd.com/about-bisd/board/board,Yes,
14903,Belton ISD Board of Trustees,Bell County,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Hybrid (at-large + SMD),ocd-jurisdiction/country:us/state:tx/school_district:belton/school,http://www.bisd.net,https://www.bisd.net/about-us/board-of-trustees,Board of Trustees,Yes,
114901,Big Spring ISD Board of Trustees,Howard County,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Single-Member District,ocd-jurisdiction/country:us/state:tx/school_district:big-spring/school,http://www.bsisd.esc18.net,https://www.bsisd.esc18.net/about-bsisd/board-of-trustees,Board of Trustees - Big Spring Independent School District,Yes,
160901,Brady ISD Board of Trustees,Mcculloch County,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Single-Member District,ocd-jurisdiction/country:us/state:tx/school_district:brady/school,http://www.bradyisd.org,https://www.bradyisd.org/school-board,Brady ISD - School Board,Yes,
20905,Brazosport ISD Board of Trustees,Brazoria County,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Single-Member District,ocd-jurisdiction/country:us/state:tx/school_district:brazosport/school,http://www.brazosportisd.net,https://www.brazosportisd.net/district/board_of_trustees,Board of Trustees - Brazosport Independent School District,Yes,https://www.brazosportisd.net/district/board_of_trustees/election_information
24901,Brooks County ISD Board of Trustees,Brooks County,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=3, smd_seats=4 (districts [1, 2, 3, 4]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Hybrid (at-large + SMD),ocd-jurisdiction/country:us/state:tx/school_district:brooks-county/school,http://www.bcisd.us,https://www.bcisd.us/board,Board - Brooks County Independent School ...,Yes,
25902,Brownwood ISD Board of Trustees,Brown County,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Single-Member District,ocd-jurisdiction/country:us/state:tx/school_district:brownwood/school,http://www.brownwoodisd.org,https://www.brownwoodisd.org/members,BROWNWOOD ISD - Members,Yes,
21902,Bryan ISD Board of Trustees,Brazos County,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Hybrid (at-large + SMD),ocd-jurisdiction/country:us/state:tx/school_district:bryan/school,http://www.bryanisd.org,https://www.bryanisd.org/page/board-of-trustees,Board of Trustees,Yes,
29901,Calhoun County ISD Board of Trustees,Calhoun County,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=1, smd_seats=6 (districts [1, 2, 3, 4, 5, 6]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Hybrid (at-large + SMD),ocd-jurisdiction/country:us/state:tx/school_district:calhoun-county/school,http://www.calcoisd.org,https://www.calcoisd.org/246919_2,Calhoun County ISD - Board Home,Yes,
183902,Carthage ISD Board of Trustees,Panola County,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Hybrid (at-large + SMD),ocd-jurisdiction/country:us/state:tx/school_district:carthage/school,http://www.carthageisd.org,https://www.carthageisd.org/page/school-board,School Board | Carthage ISD,Yes,
84910,Clear Creek ISD Board of Trustees,Galveston County,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Hybrid (at-large + SMD),ocd-jurisdiction/country:us/state:tx/school_district:clear-creek/school,http://www.ccisd.net,https://www.ccisd.net/boardoftrustees,Board of Trustees - Clear Creek Independent School District,Yes,
71901,Clint ISD Board of Trustees,El Paso County,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Hybrid (at-large + SMD),ocd-jurisdiction/country:us/state:tx/school_district:clint/school,http://www.clintweb.net,https://www.clintweb.net/board-of-trustees/clint-isd-board-of-trustees,Clint ISD Board of Trustees,Yes,
168901,Colorado ISD Board of Trustees,Mitchell County,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Single-Member District,ocd-jurisdiction/country:us/state:tx/school_district:colorado/school,http://www.ccity.esc14.net/,https://www.ccity.esc14.net/page/board-roster,Board Roster | Colorado ISD,Yes,
46902,Comal ISD Board of Trustees,Comal County,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Single-Member District,ocd-jurisdiction/country:us/state:tx/school_district:comal/school,http://www.comalisd.org,https://www.comalisd.org/apps/pages/board-of-trustees,Board of Trustees,Yes,
