tasb_key,tasb_name,tea_cdn,tea_district_name,district_type,match_method,tasb_url
117,Cayuga ISD,001902,CAYUGA ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=117
118,Elkhart ISD,001903,ELKHART ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=118
119,Frankston ISD,001904,FRANKSTON ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=119
120,Neches ISD,001906,NECHES ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=120
121,Palestine ISD,001907,PALESTINE ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=121
122,Westwood ISD,001908,WESTWOOD ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=122
123,Slocum ISD,001909,SLOCUM ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=123
124,Andrews ISD,002901,ANDREWS ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=124
126,Hudson ISD,003902,HUDSON ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=126
127,Lufkin ISD,003903,LUFKIN ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=127
128,Huntington ISD,003904,HUNTINGTON ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=128
129,Diboll ISD,003905,DIBOLL ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=129
130,Zavalla ISD,003906,ZAVALLA ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=130
131,Central ISD,003907,CENTRAL ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=131
132,Rockport-Fulton ISD,004901,ROCKPORT-FULTON ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=132
133,Archer City ISD,005901,ARCHER CITY ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=133
134,Holliday ISD,005902,HOLLIDAY ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=134
136,Windthorst ISD,005904,WINDTHORST ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=136
137,Claude ISD,006902,CLAUDE ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=137
138,Charlotte ISD,007901,CHARLOTTE ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=138
139,Jourdanton ISD,007902,JOURDANTON ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=139
140,Lytle ISD,007904,LYTLE ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=140
141,Pleasanton ISD,007905,PLEASANTON ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=141
142,Poteet ISD,007906,POTEET ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=142
143,Bellville ISD,008901,BELLVILLE ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=143
144,Sealy ISD,008902,SEALY ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=144
145,Brazos ISD,008903,BRAZOS ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=145
146,Muleshoe ISD,009901,MULESHOE ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=146
148,Medina ISD,010901,MEDINA ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=148
149,Bandera ISD,010902,BANDERA ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=149
150,Bastrop ISD,011901,BASTROP ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=150
151,Elgin ISD,011902,ELGIN ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=151
152,Smithville ISD,011904,SMITHVILLE ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=152
153,McDade ISD,011905,MCDADE ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=153
154,Seymour ISD,012901,SEYMOUR ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=154
156,Beeville ISD,013901,BEEVILLE ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=156
157,Pawnee ISD,013902,PAWNEE ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=157
158,Pettus ISD,013903,PETTUS ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=158
159,Skidmore-Tynan ISD,013905,SKIDMORE-TYNAN ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=159
162,Academy ISD,014901,ACADEMY ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=162
163,Bartlett ISD,014902,BARTLETT ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=163
164,Belton ISD,014903,BELTON ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=164
165,Holland ISD,014905,HOLLAND ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=165
166,Killeen ISD,014906,KILLEEN ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=166
167,Rogers ISD,014907,ROGERS ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=167
168,Salado ISD,014908,SALADO ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=168
169,Temple ISD,014909,TEMPLE ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=169
170,Troy ISD,014910,TROY ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=170
