cdn,district_name
031505,UNIVERSITY OF TEXAS RIO GRANDE VALLEY
031505,UNIVERSITY OF TEXAS RIO GRANDE VALLEY
061501,UNIVERSITY OF NORTH TEXAS
061501,UNIVERSITY OF NORTH TEXAS
123503,TEXAS ACADEMY OF LEADERSHIP IN THE HUMANITIES
123503,TEXAS ACADEMY OF LEADERSHIP IN THE HUMANITIES
152504,TEXAS TECH UNIVERSITY K-12
152504,TEXAS TECH UNIVERSITY K-12
227506,UNIVERSITY OF TEXAS AT AUSTIN H S
227506,UNIVERSITY OF TEXAS AT AUSTIN H S
227506,UNIVERSITY OF TEXAS AT AUSTIN H S
227506,UNIVERSITY OF TEXAS AT AUSTIN H S
227506,UNIVERSITY OF TEXAS AT AUSTIN H S
227506,UNIVERSITY OF TEXAS AT AUSTIN H S
227506,UNIVERSITY OF TEXAS AT AUSTIN H S
236903,WINDHAM SCHOOL DISTRICT
236903,WINDHAM SCHOOL DISTRICT
236903,WINDHAM SCHOOL DISTRICT
236903,WINDHAM SCHOOL DISTRICT
236903,WINDHAM SCHOOL DISTRICT
236903,WINDHAM SCHOOL DISTRICT
236903,WINDHAM SCHOOL DISTRICT
236903,WINDHAM SCHOOL DISTRICT
236903,WINDHAM SCHOOL DISTRICT
240503,TEXAS A&M INTERNATIONAL UNIVERSITY ISD
240503,TEXAS A&M INTERNATIONAL UNIVERSITY ISD
