name,county,entity_type,status,website,report_year,spd_id,notes
AGUA Special Utility District,Hidalgo County,Special Utility District,ACTIVE,https://aguasud.com/,2025,103228131,
Ables Springs Special Utility District,Kaufman County,Special Utility District,ACTIVE,https://myh2odistrict.com,2026,103226224,
Ables Springs Special Utility District,Kaufman County,Special Utility District,INACTIVE,https://myh2odistrict.com,2023,103228312,
Bear Creek Special Utility District,Collin County,Special Utility District,ACTIVE,https://www.bearcreeksud.com,2026,103227144,
Bright Star-Salem Special Utility District,Wood County,Special Utility District,ACTIVE,https://brightstarwater.com,2026,103227763,
Buena Vista-Bethel Special Utility District,Ellis County,Special Utility District,ACTIVE,https://bvbsud.com,2026,103227745,
Caddo Basin Special Utility District,Hunt County,Special Utility District,ACTIVE,https://www.caddobasin.com,2026,103225578,
Cash Special Utility District,Hunt County,Special Utility District,ACTIVE,https://www.cashwater.org,2026,103226631,
Chalk Hill Special Utility District,Rusk County,Special Utility District,ACTIVE,https://www.chalkhillsud.org,2026,103225672,
Clear Lake City Water Authority,Harris County,Special Utility District,ACTIVE,https://www.clcwa.org,2026,103226370,
College Mound Special Utility District,Kaufman County,Special Utility District,ACTIVE,https://www.collegemoundwater.com,2026,103227274,
Combined Consumers Special Utility District,Hunt County,Special Utility District,ACTIVE,https://www.ccsud.com,2026,103225542,
Commodore Cove Improvement District,Brazoria County,Special Utility District,ACTIVE,https://commodorecoveimprovementdistrict.gov,2026,103226159,
County Line Special Utility District,Hays County,Special Utility District,ACTIVE,https://clsud.com,2026,103225606,
Crystal Clear Special Utility District,Guadalupe County,Special Utility District,ACTIVE,https://www.crystalclearsud.org,2026,103226409,
Cypresswood Utility District,Harris County,Special Utility District,ACTIVE,https://www.districtdata.org/harris-county/cypresswood-utility-district/,2026,103226120,
DIANA SPECIAL UTILITY DISTRICT,Upshur County,Special Utility District,ACTIVE,https://www.dianasud.org,2025,103228008,
Dallas County Utility and Reclamation District,Dallas County,Special Utility District,ACTIVE,https://www.dcurd.org,2026,103225765,
East Central Special Utility District,Bexar County,Special Utility District,ACTIVE,https://www.eastcentralsudtx.gov,2026,103227301,
East Fork Special Utility District,Collin County,Special Utility District,ACTIVE,https://eastforksud.com,2026,103226559,
East Medina County Special Utility District,Medina County,Special Utility District,ACTIVE,https://www.emcsud.dst.tx.us,2026,103226509,
Fort Griffin Special Utility District,Shackelford County,Special Utility District,ACTIVE,https://www.fortgriffinsud.net,2026,103225746,
Four Way Special Utility District,Angelina County,Special Utility District,ACTIVE,https://www.fourwaywater.com,2026,103226967,
Gastonia Scurry Special Utility District,Kaufman County,Special Utility District,ACTIVE,https://www.gssud.com,2026,103226211,
Greater Texoma Utility Authority,Grayson County,Special Utility District,ACTIVE,https://gtua.org,2026,103226401,
Green Valley Special Utility District,Guadalupe County,Special Utility District,ACTIVE,https://www.gvsud.org,2026,103227769,
HMW Special Utility District,Harris County,Special Utility District,ACTIVE,https://hmw-sud.com,2026,103226756,
Irving Flood Control District Section #1,Dallas County,Special Utility District,ACTIVE,,2026,103225788,
Irving Flood Control District Section #3,Dallas County,Special Utility District,ACTIVE,https://www.ifcd3.org,2026,103225790,
Johnson County Special Utility District,Johnson County,Special Utility District,ACTIVE,https://www.jcsud.com,2026,103227939,
Jonah Water Special Utility District,Williamson County,Special Utility District,ACTIVE,https://www.jonahwater.com,2026,103228433,
Lake Kiowa Special Utility District,Cooke County,Special Utility District,ACTIVE,https://LKSUD.ORG,2026,103226896,
Lilly Grove Speciality Utility District,Nacogdoches County,Special Utility District,ACTIVE,https://www.lillygrovesud.com,2026,103227770,
Luella Special Utility District,Grayson County,Special Utility District,ACTIVE,https://LuellaSUD.org,2026,103226468,
MacBee Special Utility District,Van Zandt County,Special Utility District,ACTIVE,https://macbeewater.com,2026,103226788,
Marilee Special Utility District,Collin County,Special Utility District,INACTIVE,https://www.marileewater.com,2021,103227744,
Maxwell SUD,Caldwell County,Special Utility District,ACTIVE,,2026,103228120,
Mustang Special Utility District,Denton County,Special Utility District,ACTIVE,https://www.mustangwater.com,2026,103227550,
Nevada Special Utility District,Collin County,Special Utility District,ACTIVE,https://nevadawater.org,2026,103225561,
New Hope Special Utility District,Wood County,Special Utility District,ACTIVE,,2026,103225683,
Parker County Special Utility District,Parker County,Special Utility District,ACTIVE,https://www.parkercountywater.com,2026,103225731,
Phelps Special Utility District,Walker County,Special Utility District,ACTIVE,https://PhelpsWater.net,2026,103225558,
Porter Special Utility District,Montgomery County,Special Utility District,ACTIVE,https://portersud.com/,2026,103226066,
Riverside Special Utility District,Walker County,Special Utility District,ACTIVE,https://riversidewatersupply.com,2026,103227375,
Robstown Utility System,Nueces County,Special Utility District,ACTIVE,,2026,103228441,
Rockett Special Utility District,Ellis County,Special Utility District,ACTIVE,https://www.rockettwater.com,2026,103227067,
Rose Hill Special Utility District,Kaufman County,Special Utility District,ACTIVE,https://www.rhsud.com,2026,103226600,
Sabine River Authority of Texas,Orange County,Special Utility District,ACTIVE,https://WWW.SRATX.ORG,2026,103227820,
Shady Grove Special Utility District,Hunt County,Special Utility District,ACTIVE,https://www.shadygrovesud.com,2026,103225838,
South Rains Special Utility District,Rains County,Special Utility District,ACTIVE,https://www.southrainssud.com,2026,103225896,
Southwest Fannin Special Utility District,Fannin County,Special Utility District,ACTIVE,https://www.swfanninsud.org,2026,103226465,
Springs Hill Special Utility District,Guadalupe County,Special Utility District,ACTIVE,https://springshill.org,2026,103228721,
Stephens Regional Special Utility District,Stephens County,Special Utility District,ACTIVE,https://www.stephensregionalsud.com,2026,103227740,
Talty Special Utility District,Kaufman County,Special Utility District,INACTIVE,https://www.taltysud.com,2019,103227176,
Talty Special Utility District,Kaufman County,Special Utility District,ACTIVE,https://www.taltysud.com,2026,103227954,
Tri Special Utility District,Titus County,Special Utility District,ACTIVE,https://www.trisud.com,2026,103227938,
Tri-County Special Utility District,Falls County,Special Utility District,ACTIVE,https://tricountysud.com,2026,103227762,
Tryon Road Special Utility District,Gregg County,Special Utility District,ACTIVE,https://www.tryonroadsud.org,2026,103227629,
Two Way Special Utility District,Grayson County,Special Utility District,ACTIVE,https://www.twowaysud.com,2026,103227194,
Tyler County Special Utility District,Hardin County,Special Utility District,ACTIVE,,2025,103227359,
Walnut Creek Special Utility District,Parker County,Special Utility District,ACTIVE,https://walnutcreeksud.org,2026,103226576,
Wellborn Special Utility District,Brazos County,Special Utility District,ACTIVE,https://www.wellbornsud.com,2025,103227789,
West Gregg Special Utility District,Gregg County,Special Utility District,INACTIVE,https://westgreggsud.com,2020,103226234,
West Gregg Special Utility District,Gregg County,Special Utility District,ACTIVE,https://westgreggsud.com,2026,103228082,
West Wise Special Utility District,Wise County,Special Utility District,ACTIVE,https://www.westwisesud.com,2026,103227191,
Wylie Northeast Special Utility District,Collin County,Special Utility District,ACTIVE,https://www.wylienortheastwater.com,2026,103227751,
