name,county,entity_type,status,website,report_year,spd_id,notes
Alpha Ranch Fresh Water Supply District #1,Denton County,Water Control and Improvement District,ACTIVE,https://www.winsteadspecialdistricts.com/denton-county/alpha-ranch-water-control-and-improvement-dis,2026,103226558,
Angelina County Water Control and Improvement District No. 4,Angelina County,Water Control and Improvement District,ACTIVE,,2024,103227736,
Angelina and Nacogdoches Counties Water Control and Improvement District #1,Rusk County,Water Control and Improvement District,ACTIVE,https://www.lakestriker.com,2026,103225817,
Audubon Water Control and Improvement District,Montgomery County,Water Control and Improvement District,ACTIVE,,2026,103228364,
Bastrop County Water Control & Improvement District No. 3,Bastrop County,Water Control and Improvement District,ACTIVE,https://BastropWCID3.org,2026,103227792,
Bastrop Water Control and Improvement District No. 2,Bastrop County,Water Control and Improvement District,ACTIVE,,2026,103228295,
Beach City Water Control and Improvement District,Chambers County,Water Control and Improvement District,ACTIVE,https://www.sklawdistrictdata.org,2026,103226458,
Bell County Water Control and Improvement District #1,Bell County,Water Control and Improvement District,ACTIVE,https://www.wcid1.org,2025,103225534,
Bell County Water Control and Improvement District #2,Bell County,Water Control and Improvement District,ACTIVE,,2026,103226969,
Bell County Water Control and Improvement District #3,Bell County,Water Control and Improvement District,ACTIVE,https://wcid3.com,2026,103225719,
Bell County Water Control and Improvement District #5,Bell County,Water Control and Improvement District,ACTIVE,https://www.bellcowcid5.com,2024,103226107,
Benbrook Water Authority,Tarrant County,Water Control and Improvement District,ACTIVE,https://www.benbrookwater.com,2026,103227248,
Bexar Medina Atascosa Counties Water Control and Improvement District  #1,Medina County,Water Control and Improvement District,ACTIVE,https://bmawater.org,2026,103225764,
Brookfield Fresh Water Supply District #1,Denton County,Water Control and Improvement District,ACTIVE,https://www.winsteadspecialdistricts.com/denton-county/brookfield-water-control-and-improvement-dist,2026,103226953,
Canyon Falls Water Control and Improvement District #2,Denton County,Water Control and Improvement District,ACTIVE,https://canyonfallswcid2.com,2026,103226724,
Castleman Creek Watershed Association,Mclennan County,Water Control and Improvement District,ACTIVE,https://castlemancreekwatershedassociation.org,2026,103226997,
Central Water Control and Improvement District,Angelina County,Water Control and Improvement District,ACTIVE,https://centralwatercontrol.com,2026,103225950,
Collin County Water Control and Improvement District #3,Collin County,Water Control and Improvement District,ACTIVE,,2026,103226879,
Comal County Water Control and Improvement District #6,Comal County,Water Control and Improvement District,ACTIVE,https://www.utilitytaxservice.com/DistrictDetail/WCI6,2026,103225929,
Crane County Water District,Crane County,Water Control and Improvement District,ACTIVE,,2026,103227582,
Cypress Ranch Water Control and Improvement District #1,Travis County,Water Control and Improvement District,ACTIVE,https://cypressranchwcid.org/,2026,103225766,
Deerhaven Water Control and Improvement District,Llano County,Water Control and Improvement District,ACTIVE,,2026,103226972,
Denton County Fresh Water Supply District #1-H,Denton County,Water Control and Improvement District,INACTIVE,https://www.dentoncountyfwsd.com,2021,103226546,
Denton County Fresh Water Supply District #10,Denton County,Water Control and Improvement District,ACTIVE,https://www.elmridgetx.org,2026,103226740,
Denton County Fresh Water Supply District No. 12,Denton County,Water Control and Improvement District,INACTIVE,,2022,103228010,
Double Platinum Ranch Water Control and Improvement District #1,Grayson County,Water Control and Improvement District,ACTIVE,,2025,103227546,
El Paso County Water Control and Improvement District #4,El Paso County,Water Control and Improvement District,ACTIVE,https://epcwcid4.myruralwater.com/,2026,103228005,
Far Hills Utility District,Montgomery County,Water Control and Improvement District,ACTIVE,,2026,103226047,
Fayette County Water Control and Improvement District -Monument Hill,Fayette County,Water Control and Improvement District,ACTIVE,https://www.monumenthillwater.com,2026,103225677,
Fort Bend County Water Control and Improvement District #10,Fort Bend County,Water Control and Improvement District,INACTIVE,https://www.sklawdistrictdata.org,2020,103226136,
