name,county,entity_type,status,website,report_year,spd_id,notes
Brown County Water Improvement District #1,Brown County,Water Improvement District,ACTIVE,https://bcwid.org,2026,103225864,
Chambers County Improvement District No. 2,Chambers County,Water Improvement District,ACTIVE,,2026,103227787,
Comal County Master Water Improvement District,Comal County,Water Improvement District,ACTIVE,https://www.utilitytaxservice.com/DistrictDetail/WCM,2026,103227829,
Comal County Water Improvement District #1A,Comal County,Water Improvement District,ACTIVE,https://www.utilitytaxservice.com/DistrictDocsList/WC1A,2026,103227414,
Comal County Water Improvement District #2,Comal County,Water Improvement District,ACTIVE,,2026,103227393,
Comal County Water Improvement District No. 1B,Comal County,Water Improvement District,ACTIVE,https://www.utilitytaxservice.com/DistrictDocsList/WC1B,2026,103227830,
Comal County Water Improvement District No. 1D,Comal County,Water Improvement District,ACTIVE,https://www.utilitytaxservice.com/DistrictDetail/WC1D,2026,103228344,
Comal County Water Improvement District No. 3 Master District,Harris County,Water Improvement District,INACTIVE,,2025,103228488,
Comal County Water Improvement District No. 3 Master District,Comal County,Water Improvement District,ACTIVE,,2025,103228489,
Comal County Water Improvement District No. 3 Master District,Comal County,Water Improvement District,ACTIVE,https://www.mayfairwids.org/ccwid-3a/about/,2026,103228681,
Comal County Water Improvement District No. 3A,Comal County,Water Improvement District,ACTIVE,https://www.mayfairwids.org/ccwid-3a/about/,2026,103228475,
Comal County Water Improvement District no. 3,Comal County,Water Improvement District,INACTIVE,,2024,103228206,
El Paso County Tornillo Water Improvement District,El Paso County,Water Improvement District,ACTIVE,https://www.epctwid.com,2026,103227579,
Harris County Improvement District #18,Harris County,Water Improvement District,ACTIVE,http://www.hcid18.com/,2026,103226226,
Harris County Water Control and Improvement District #74,Harris County,Water Improvement District,ACTIVE,https://www.harriscowcid74.org/,2026,103227267,
Loving County Water Improvement District #1,Loving County,Water Improvement District,ACTIVE,http://www.lovingcowid.org,2026,103226772,
Meadow Road Improvement District,Denton County,Water Improvement District,ACTIVE,https://www.winsteadspecialdistricts.com/denton-county/meadow-road-improvement-district/,2026,103226951,
Port O'Connor Improvement District,Calhoun County,Water Improvement District,ACTIVE,https://www.pocid.org,2026,103227289,
Port OConnor Improvement District Defined Area,Calhoun County,Water Improvement District,ACTIVE,https://pocid.org,2026,103227290,
Rabhicks property management llc,Tarrant County,Water Improvement District,INACTIVE,,2023,103228191,
Travis County Water Control and Improvement District #18,Travis County,Water Improvement District,ACTIVE,,2026,103227480,
Waller County Improvement District #2,Waller County,Water Improvement District,ACTIVE,https://districtdirectory.org/waller-county/waller-county-improvement-district-no-2/,2026,103225917,
